Gene_ID	Level.x	Level.y	Size..aa.	Final.Description	X.1st.BLASTp.hit...if.blank..see.next.column.	X.1st.BLASTp.hit...blank.are.real.orphans..	KO.	Name.KEGG	Annotation	X.GO.Terms	GO.Terms	Enzyme.Code	SignalP	Gene_ID.y	B_T1_Rep1	B_T1_Rep2	B_T1_Rep3	B_T1_Rep4	B_T2_Rep1	B_T2_Rep2	B_T2_Rep3	B_T2_Rep4	protein_ID	transcript_ID
gene_2071	2.56585519859471	2.00310074686035	204	Dynactin subunit 6	Grosmannia clavigera	Ophiostoma piceae	K10428	DCTN6; dynactin 6	transferase hexapeptide domain-containing protein	3	F:transferase activity; P:biological_process; C:cellular_component		N	gene_2084	12	0	8	22	0	0	0	4	1980644	1980898
gene_2190	3.21175656509626	2.3077710506688	279	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_4564	3	P:RNA metabolic process; F:catalytic activity; C:intracellular		N	gene_2203	0	6	2	3	2	0	0	0	1980763	1981017
gene_2204	7.53476855654942	2.52343214883344	229	PITH domain-containing protein CG6153	Thielavia terrestris	Ophiostoma piceae			duf1000 domain protein	0	-		N	gene_2217	4	12	8	10	0	2	0	8	1980777	1981031
gene_2230	5.82827934072652	2.50719901484372	361	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_4588	0	-		N	gene_2243	30	0	28	24	4	0	0	2	1980803	1981057
gene_2296	3.1364252915446	2.27641714025772	512	Meiosis-specific serine/threonine-protein kinase mek1	Neurospora crassa	Ophiostoma piceae	K12776	MEK1; meiosis-specific serine/threonine-protein kinase MEK1 [EC:2.7.11.1]	camk camk1 protein kinase	1	F:transferase activity, transferring phosphorus-containing groups	-	N	gene_2306	2	6	0	2	2	0	0	0	1980866	1981120
gene_2419	6.85751212124871	2.01354989997537	1 315	ATP-dependent DNA helicase UvrD1	Grosmannia clavigera	Ophiostoma piceae	K03657	uvrD, pcrA; DNA helicase II / ATP-dependent DNA helicase PcrA [EC:3.6.4.12]	atp-dependent dna helicase srs2	6	F:helicase activity; F:ATP binding; F:hydrolase activity; F:ATP-dependent DNA helicase activity; F:DNA binding; P:termination of G-protein coupled receptor signaling pathway		N	gene_2431	20	0	36	36	0	0	0	20	1980991	1981245
gene_2677	13.9281473519099	3.54074397093077	326	RNA polymerase 2 elongator complex subunit	Grosmannia clavigera	Ophiostoma piceae	K15456	KTI12; protein KTI12	rna polymerase 2 elongator complex subunit	0	-		N	gene_2686	16	22	16	22	0	4	0	0	1981246	1981500
gene_2697	7.29455076049322	2.23947212618977	570	Vacuolar membrane amino acid uptake transporter fnx2	Grosmannia clavigera	Ophiostoma piceae			mfs multidrug transporter	2	C:membrane; P:transport	-	N	gene_2706	10	8	14	22	2	0	0	14	1981266	1981520
gene_2812	11.3225927940701	3.03572565851161	84	Putative uncharacterized protein	 	Ophiostoma piceae			---NA---	0	-		N	gene_2821	33	4	11	138	4	0	0	8	1981381	1981635
gene_2934	406.580407440463	2.16156817267556	641	Glucoamylase	Aspergillus fumigatus	Ophiostoma piceae	K01178	E3.2.1.3; glucoamylase [EC:3.2.1.3]	glucan -alpha-	3	F:glucan 1,4-alpha-glucosidase activity; P:polysaccharide catabolic process; F:starch binding	EC:3.2.1.3	Y	gene_2946	953	10	1614	3213	237	211	14	125	1981506	1981760
gene_3191	27.7507406275977	2.40714515779313	825	Sialidase (Major surface antigen/Neuraminidase)	Fusarium oxysporum	Ophiostoma piceae			hypothetical protein FOXB_05684	2	P:cell adhesion; C:extracellular region		N	gene_3203	92	0	115	197	2	8	0	47	1981763	1982017
gene_3361	4.83914685151661	2.72978122544307	74	Putative uncharacterized protein	 				---NA---	0	-		N	gene_3372	7	0	0	102	0	0	0	5	1981932	1982186
gene_3401	2.08400902939595	2.03187235163443	413	Uncharacterized aminotransferase C777.03c	Capronia coronata	Ophiostoma piceae			nifs possible cysteine desulfurase	1	F:catalytic activity	-	N	gene_3413	0	4	2	0	0	0	0	2	1981973	1982227
gene_3464	35.0824079339567	2.69794772044582	224	Acetyl xylan esterase	Grosmannia clavigera	Ophiostoma piceae			acetylxylan esterase 2	2	P:metabolic process; F:hydrolase activity	-	Y	gene_3477	217	0	111	175	9	18	0	6	1982037	1982291
gene_3479	15.2029327766014	2.40376592861199	558	Ectomycorrhiza-induced ankyrin-domain nacht-domain containing protein	Grosmannia clavigera	Grosmannia clavigera			ectomycorrhiza-induced ankyrin-domain nacht-domain containing protein	0	-		N	gene_3492	24	20	20	20	3	6	0	14	1982052	1982306
gene_35	16.625154816157	2.23130395663345	427	Ubiquitin and WLM domain-containing protein	Neurospora tetrasperma	Ophiostoma piceae			ubiquitin metalloprotease fusion protein	3	P:proteolysis; F:metallopeptidase activity; F:peptidase activity		N	gene_37	8	24	18	28	8	6	0	14	1978597	1978851
gene_3527	57.0884556973461	2.30558886750031	413	Alternative sulfate transporter	Trichosporon asahii	Ophiostoma piceae			alternative sulfate transporter	2	P:transmembrane transport; C:integral to membrane	-	N	gene_3538	124	0	128	716	7	28	2	53	1982098	1982352
gene_3531	4.06531791331352	2.18053764906945	439	Putative uncharacterized protein	 	Ophiostoma piceae			---NA---	0	-		N	gene_3541	4	0	0	84	4	0	0	0	1982101	1982355
gene_3565	3.3205064438452	2.93376389365238	651	CAMK family protein kinase	Ajellomyces capsulatus	Ophiostoma piceae			camk family protein kinase	12	F:transferase activity; F:protein serine/threonine kinase activity; P:phosphorylation; F:protein kinase activity; P:protein phosphorylation; F:nucleotide binding; F:ATP binding; F:kinase activity; F:transferase activity, transferring phosphorus-containing groups; F:sequence-specific DNA binding transcription factor activity; F:DNA binding; P:regulation of transcription, DNA-dependent		N	gene_3577	13	0	0	61	0	0	0	0	1982137	1982391
gene_3571	4.32030754679639	2.25853568262915	299	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_2898	0	-		N	gene_3583	26	0	12	29	2	0	0	4	1982143	1982397
gene_3669	14.6977892554678	3.07452861229074	659	Alkaline phosphatase	Pestalotiopsis fici	Ophiostoma piceae	K01077	E3.1.3.1, phoA, phoB; alkaline phosphatase [EC:3.1.3.1]	alkaline phosphatase	2	P:dephosphorylation; F:phosphatase activity	EC:3.1.3.0	Y	gene_3682	101	0	6	157	0	0	0	22	1982242	1982496
gene_3874.1	6.23476740599325	2.00206057841109	315	Putative uncharacterized protein	 	Ophiostoma piceae			---NA---	0	-		N	gene_3891	15	0	7	92	4	0	0	10	1982451	1982705
gene_4000	1.69220514015021	2.13238280780103	122	Putative uncharacterized protein	 				---NA---	0	-		N	gene_4018	0	0	0	42	0	0	0	0	1982578	1982832
gene_4029	5.81665968583609	2.63256836998803	318	4-phosphopantetheinyl transferase	Grosmannia clavigera	Ophiostoma piceae			phosphopantetheinyl transferase	5	F:holo-[acyl-carrier-protein] synthase activity; F:transferase activity; F:magnesium ion binding; P:macromolecule biosynthetic process; C:cellular_component		N	gene_4047	12	8	8	7	0	2	0	2	1982607	1982861
gene_4066	20.7585436772956	2.55491807947745	1 331	Serine/threonine-protein kinase	Grosmannia clavigera	Ophiostoma piceae	K02515	HSL1; serine/threonine-protein kinase HSL1,negative regulator of Swe1 kinase [EC:2.7.11.-]	camk camkl gin4 protein kinase	1	F:kinase activity	-	N	gene_4086	63	24	9	57	18	0	0	15	1982646	1982900
gene_4207	4.68708505682341	2.19152429530913	525	Major facilitator superfamily transporter sugar	Grosmannia clavigera	Ophiostoma piceae			plastidic glucose transporter 4	4	F:substrate-specific transmembrane transporter activity; C:integral to membrane; P:transmembrane transport; P:carbohydrate transport	-	N	gene_4228	7	8	0	2	4	0	0	2	1982788	1983042
gene_4454	13.1941118719116	2.4123320104856	331	Putative uncharacterized protein	Podospora anserina	Ophiostoma piceae			dna-binding protein	2	F:chromatin binding; F:DNA binding		N	gene_4474	72	3	35	59	0	9	0	4	1983034	1983288
gene_4743	31.9818263242075	5.50227744643026	1 004	Agglutinin-like protein 2	Nectria haematococca	Nectria haematococca			cell surface spherulin 4-like	1	P:cell adhesion		Y	gene_4765	436	0	4	62	0	0	0	4	1983325	1983579
gene_4851	2.2818558564789	2.47604766771242	351	Putative vacuolar protein sorting-associated protein TDA6 (Topoisomerase I damage affected protein 6)	Aureobasidium pullulans	Ophiostoma piceae			hypothetical protein DICSQDRAFT_142837	0	-		Y	gene_4873	18	0	12	2	0	0	0	0	1983433	1983687
gene_4856	10.8264895665609	2.97418494479392	269	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_348	2	F:molecular_function; C:cellular_component		N	gene_4878	57	8	15	33	6	0	0	4	1983438	1983692
gene_4970	8.29594095235656	3.011420410977	654	NOL1 NOP2 SUN domain containing protein	Grosmannia clavigera	Ophiostoma piceae	K15264	NSUN5, WBSCR20; putative methyltransferase [EC:2.1.1.-]	nol1 nop2 sun family protein	0	-		N	gene_4990	4	12	18	14	2	0	0	6	1983550	1983804
gene_5044	13.3960838523777	2.02592198930913	423	Histidinol-phosphate aminotransferase	Grosmannia clavigera	Ophiostoma piceae	K00817	hisC; histidinol-phosphate aminotransferase [EC:2.6.1.9]	histidinol-phosphate aminotransferase	3	F:histidinol-phosphate transaminase activity; F:pyridoxal phosphate binding; P:histidine biosynthetic process	EC:2.6.1.9	N	gene_5063	12	16	24	25	4	6	0	17	1983623	1983877
gene_5051	2.16366400869872	2.07751716887868	587	Meiosis-specific transcription factor NDT80	Grosmannia clavigera	Ophiostoma piceae	K12769	NDT80; meiosis-specific transcription factor NDT80	p53-like transcription partial	3	P:regulation of transcription, DNA-dependent; F:sequence-specific DNA binding transcription factor activity; F:DNA binding		N	gene_5070	9	0	3	30	0	0	0	2	1983630	1983884
gene_5071	17.24388089225	2.38558479248548	825	Ferric reductase transmembrane component 4 (Ferric-chelate reductase 4)	Aspergillus niger	Ophiostoma piceae			ferric reductase transmembrane component 4 precursor	1	F:catalytic activity	-	Y	gene_5090	168	4	0	46	14	2	0	12	1983650	1983904
gene_5088	65.9512318694843	2.41659199621073	1 165	Calcium-transporting ATPase 3	Chaetomium globosum	Ophiostoma piceae	K01537	E3.6.3.8; Ca2+-transporting ATPase [EC:3.6.3.8]	potassium sodium efflux p-type atpase	2	F:binding; F:hydrolase activity	-	N	gene_5107	97	8	116	896	10	14	2	107	1983667	1983921
gene_521	8.95033263657323	2.45079341938156	624	Quinidine resistance protein 1	Gaeumannomyces graminis	Gaeumannomyces graminis			major facilitator superfamily transporter	2	C:integral to membrane; P:transmembrane transport		N	gene_522	84	0	0	58	10	0	0	0	1979082	1979336
gene_5210	14.1421770865858	3.77642877098826	2 276	Separin (Cell division-associated protein bimB)	Grosmannia clavigera	Ophiostoma piceae	K02365	ESP1; separase [EC:3.4.22.49]	separin	3	P:proteolysis; F:peptidase activity; C:nucleus		N	gene_5228	20	24	4	27	0	0	0	10	1983788	1984042
gene_5390	105.754133079097	6.40882375010228	409	Cuticle-degrading protease (Chymoelastase)	Scedosporium apiospermum	Ophiostoma piceae	K13050	PCSK9; proprotein convertase subtilisin/kexin type 9 [EC:3.4.21.-]	subtilisin-like protease pr1a	2	P:metabolic process; F:serine-type peptidase activity	-	Y	gene_5407	1153	10	95	397	0	0	0	14	1983967	1984221
gene_545	11.0093786275975	2.26304514818987	797	Engulfment and cell motility protein 3	Grosmannia clavigera	Ophiostoma piceae			elmo ced-12 family protein	2	C:cytoskeleton; P:phagocytosis	-	N	gene_547	28	10	10	55	9	0	0	12	1979107	1979361
gene_5494	1.70166017547614	2.13859180723595	533	Amidase	Pestalotiopsis fici	Ophiostoma piceae	K01426	E3.5.1.4, amiE; amidase [EC:3.5.1.4]	amidase signature enzyme	1	F:carbon-nitrogen ligase activity, with glutamine as amido-N-donor		N	gene_5515	13	0	10	0	0	0	0	0	1984075	1984329
gene_5638	62.7105571097563	2.28405413151913	797	Beta-glucosidase	Grosmannia clavigera	Ophiostoma piceae			glycoside hydrolase family 3 protein	2	F:hydrolase activity, acting on glycosyl bonds; P:metabolic process	-	Y	gene_5659	34	10	392	315	44	24	0	32	1984219	1984473
gene_5682	5.00738944806022	2.61974502284558	267	Putative uncharacterized protein	Metarhizium acridum	Metarhizium acridum			hypothetical protein MAC_08729	0	-		N	gene_5706	26	0	0	73	0	2	0	0	1984266	1984520
gene_5688	28.924428117761	2.12468252314162	1 102	Putative uncharacterized protein	Neurospora crassa	Ophiostoma piceae			glycoside hydrolase family 115 protein	1	F:hydrolase activity		Y	gene_5712	96	0	93	240	6	18	2	8	1984272	1984526
gene_5764	4.70974056364397	2.00967049748067	2 161	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			related to glucan 4-alpha-glucosidase	0	-		N	gene_5786	14	0	25	26	0	0	0	12	1984346	1984600
gene_5848	4.61205816370328	2.15358480015969	495	SET domain-containing protein C1709.13c	Grosmannia clavigera	Ophiostoma piceae			set domain containing protein	2	F:molecular_function; P:biological_process		N	gene_5870	2	8	2	4	0	0	0	10	1984430	1984684
gene_5865	3.17679715431576	2.28295465362841	634	Nitrogen assimilation transcription factor nirA	Trichosporon asahii	Trichosporon asahii			c6 transcription factor	9	P:transcription from RNA polymerase II promoter; F:DNA binding; C:nucleus; F:zinc ion binding; P:regulation of transcription from RNA polymerase II promoter; F:sequence-specific DNA binding RNA polymerase II transcription factor activity; P:regulation of transcription, DNA-dependent; F:metal ion binding; P:transcription, DNA-dependent		N	gene_5887	0	4	8	12	0	0	0	4	1984447	1984701
gene_5960	2.28975642252933	2.14694343161917	291	Putative uncharacterized protein	Togninia minima	Ophiostoma piceae			hypothetical protein GGTG_02269	6	F:molecular_function; F:RNA polymerase II transcription cofactor activity; P:biological_process; C:mediator complex; P:regulation of transcription from RNA polymerase II promoter; C:cellular_component		N	gene_5985	15	0	6	17	0	0	0	2	1984545	1984799
gene_6126	3.67958073701484	2.03978943592872	644	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_392	0	-		N	gene_6150	33	0	8	10	4	0	0	0	1984710	1984964
gene_6192	4.23390495179154	2.17926526233484	318	Putative uncharacterized protein	Trichoderma virens	Trichoderma virens			hypothetical protein TRIVIDRAFT_223951	1	F:carbon-nitrogen ligase activity, with glutamine as amido-N-donor		N	gene_6216	0	0	0	94	0	2	0	2	1984776	1985030
gene_6279	35.3799948629536	2.51199132211897	136	Extracellular guanyl-specific ribonuclease	Trichoderma virens	Ophiostoma piceae			guanyl-specific ribonuclease	4	P:nucleic acid phosphodiester bond hydrolysis; F:RNA binding; F:ribonuclease T1 activity; F:endoribonuclease activity	EC:3.1.27.3	Y	gene_6300	367	0	16	118	8	8	4	15	1984860	1985114
gene_6346	541.941974615947	3.51242681678847	410	Alkaline proteinase	Trichoderma virens	Ophiostoma piceae	K14645	K14645; serine protease [EC:3.4.21.-]	alkaline proteinase	5	C:extracellular region; P:negative regulation of catalytic activity; P:proteolysis; F:identical protein binding; F:serine-type endopeptidase activity	EC:3.4.21.0	Y	gene_6367	4045	0	213	5271	294	18	7	118	1984927	1985181
gene_6354	18.6723293707263	2.31176079545949	443	Vegetative incompatibility protein Het-X	Bipolaris maydis	Bipolaris maydis			heterokaryon incompatibility protein	5	F:ATP binding; F:protein kinase activity; P:protein phosphorylation; F:transferase activity, transferring phosphorus-containing groups; F:protein serine/threonine kinase activity		N	gene_6375	120	0	4	188	12	6	0	10	1984935	1985189
gene_6355	41.9490975023794	2.48950603773322	635	Serine/threonine-protein kinase PEPKR2 (Protein PHOSPHOENOLPYRUVATE CARBOXYLASE-RELATED KINASE 2)	Colletotrichum gloeosporioides	Colletotrichum gloeosporioides			heterokaryon incompatibility protein	7	F:ATP binding; F:protein kinase activity; P:protein phosphorylation; F:transferase activity, transferring phosphorus-containing groups; F:protein serine/threonine kinase activity; F:kinase activity; P:phosphorylation		N	gene_6376	250	0	20	439	14	17	0	31	1984936	1985190
gene_6368	24.033238201799	2.06095820034744	510	Putative uncharacterized protein	 	Ophiostoma piceae			---NA---	0	-		N	gene_6390	46	4	62	239	24	4	0	22	1984950	1985204
gene_6369	4.90017319209188	3.12708787369231	481	Trichothecene 3-O-acetyltransferase, putative	Pleurotus ostreatus	Ophiostoma piceae			trichothecene 3-o-acetyltransferase	1	F:transferase activity	-	N	gene_6391	34	0	12	38	0	0	0	2	1984951	1985205
gene_6462	4.85300532731697	3.11417680356911	597	Multidrug efflux transporter Eurofung	Aspergillus nidulans	Ophiostoma piceae			mfs drug transporter	2	C:integral to membrane; P:transmembrane transport		N	gene_6491	52	0	2	28	0	0	0	2	1985051	1985305
gene_6663	5.9264606191335	2.05777789270027	361	Nicotinamide n-methyltransferase	Grosmannia clavigera	Ophiostoma piceae			phytanoyl- dioxygenase	1	F:catalytic activity	-	N	gene_6693	6	10	0	4	3	0	0	10	1985253	1985507
gene_7029	7.19246270794788	2.36616895794204	836	Vegetative incompatibility protein Het-X	Colletotrichum gloeosporioides	Ophiostoma piceae			heterokaryon incompatibility protein	4	F:ATP binding; F:protein kinase activity; P:protein phosphorylation; F:transferase activity, transferring phosphorus-containing groups		N	gene_7055	38	0	28	37	8	0	0	0	1985615	1985869
gene_7090	9.72442870881893	3.28565697683382	186	CFEM domain-containing protein	Colletotrichum graminicola	Ophiostoma piceae			cfem domain-containing protein	3	F:molecular_function; P:biological_process; C:cellular_component		Y	gene_7115	9	18	0	12	1	2	0	1	1985675	1985929
gene_7134	4.46512986578862	2.12120633802703	842	Putative uncharacterized protein	Ajellomyces capsulatus	Ajellomyces capsulatus			conserved hypothetical protein	0	-		N	gene_7159	14	0	10	54	4	0	0	2	1985719	1985973
gene_7382	3.06474905028786	2.833800518002	113	Putative uncharacterized protein	 	Ophiostoma piceae			---NA---	0	-		Y	gene_7403	4	6	1	0	0	0	0	0	1985963	1986217
gene_7561	5.80721433140122	3.35523215175856	685	WSC domain containing protein	Grosmannia clavigera	Ophiostoma piceae			wsc domain	0	-		Y	gene_7585	8	10	0	16	0	0	0	2	1986145	1986399
gene_7625	2.03019178306703	2.33924674222924	520	60 kDa chaperonin GroEL protein Protein Cpn60	Grosmannia clavigera	Ophiostoma piceae			heat shock protein mitochondrial precursor	1	P:cellular protein metabolic process	-	N	gene_7652	18	0	9	2	0	0	0	0	1986212	1986466
gene_7698	6.42987357749633	2.59904398166761	397	Demethylmenaquinone methyltransferase (Menaquinone biosynthesis methyltransferase ubiE)	Scedosporium apiospermum	Ophiostoma piceae			methyltransferase domain-containing protein	1	F:transferase activity	-	N	gene_7725	44	6	0	6	0	2	0	4	1986285	1986539
gene_7766	6.84466324013202	2.10875294116948	1 039	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_2054	1	F:microtubule binding		N	gene_7795	34	0	20	48	0	2	0	12	1986355	1986609
gene_7802	10.3884102480559	2.12175863126855	537	Major facilitator superfamily domain-containing protein 1	Eutypa lata	Ophiostoma piceae			hypothetical protein NECHADRAFT_44418	2	P:transmembrane transport; C:integral to membrane	-	N	gene_7827	57	6	14	27	7	0	0	17	1986387	1986641
gene_7812	5.13420828369284	2.20355104654283	645	Siderochrome-iron transporter	Togninia minima	Ophiostoma piceae			siderochrome-iron transporter	2	C:integral to membrane; P:transmembrane transport		N	gene_7837	4	9	0	5	0	1	0	8	1986397	1986651
gene_7813	106.134739077372	2.56943900768821	206	Secreted protein	Grosmannia clavigera	Grosmannia clavigera			bacterial-type extracellular deoxyribonuclease	0	-		Y	gene_7838	1060	6	22	404	17	20	17	29	1986398	1986652
gene_7857	7.58379537043634	2.15971868385362	306	Pectate lyase B	Stachybotrys chartarum	Ophiostoma piceae	K01728	E4.2.2.2, pel; pectate lyase [EC:4.2.2.2]	pectate lyase b	1	F:catalytic activity	-	Y	gene_7882	23	0	34	53	6	2	0	2	1986442	1986696
gene_7954	6.5611582553862	3.36178607855949	203	Alkali-sensitive linkage protein 1	Togninia minima	Ophiostoma piceae			glycoside hydrolase subgroup catalytic core	3	P:carbohydrate metabolic process; F:cation binding; F:catalytic activity	-	N	gene_7977	14	11	0	12	0	1	0	0	1986537	1986791
gene_7955.1	438.766084465958	2.13540904696477	816	Probable beta-glucosidase G (Cellobiase G/Gentiobiase G)	Grosmannia clavigera	Ophiostoma piceae	K05349	bglX; beta-glucosidase [EC:3.2.1.21]	beta-glucosidase 2	10	F:hydrolase activity, hydrolyzing O-glycosyl compounds; F:hydrolase activity; P:metabolic process; P:carbohydrate metabolic process; F:hydrolase activity, acting on glycosyl bonds; P:cellulose catabolic process; P:polysaccharide catabolic process; F:beta-glucosidase activity; C:extracellular region; C:cellular_component	EC:3.2.1.21	Y	gene_7979	341	215	2048	1638	208	174	30	288	1986539	1986793
gene_8012	10.5721881077827	2.11513634961289	1 106	IBR domain containing protein	Grosmannia clavigera	Ophiostoma piceae			ibr domain-containing protein	3	F:zinc ion binding; F:metal ion binding; F:nucleic acid binding		N	gene_8040	20	0	0	188	12	0	0	8	1986600	1986854
