Gene_ID	Level	LogFC	Size..aa.	Final.Description	X.1st.BLASTp.hit...if.blank..see.next.column.	X.1st.BLASTp.hit...blank.are.real.orphans..	KO.	Name.KEGG	Annotation	X.GO.Terms	GO.Terms	Enzyme.Code	SignalP	Gene_ID.y	B_T1_Rep1	B_T1_Rep2	B_T1_Rep3	B_T1_Rep4	B_T2_Rep1	B_T2_Rep2	B_T2_Rep3	B_T2_Rep4	protein_ID	transcript_ID
gene_1012	2.73924898648665	0.129272520119154	303	Putative uncharacterized protein	Grosmannia clavigera	Sporothrix schenckii			hypothetical protein CMQ_417	0	-		N	gene_1015	9	0	3	15	4	2	0	10	1979575	1979829
gene_1013	43.6313987571206	-1.03939742701312	1 088	Cutinase transcription factor 1 alpha	Grosmannia clavigera	Ophiostoma piceae			cutinase transcription factor 1 alpha	2	P:transcription, DNA-dependent; F:binding	-	N	gene_1016	73	2	54	95	63	43	24	76	1979576	1979830
gene_1014	52.1264372345751	0.526682036461272	213	Putative uncharacterized protein	Togninia minima	Ophiostoma piceae			hypothetical protein CMQ_1231	3	F:molecular_function; P:biological_process; C:cellular_component		N	gene_1017	78	29	57	193	89	45	2	64	1979577	1979831
gene_1015	46.7398880909899	-0.179949615938198	1 176	Poly(A) RNA polymerase protein cid1	Grosmannia clavigera	Ophiostoma piceae			caffeine-induced death protein 1	1	F:nucleotidyltransferase activity		N	gene_1018	80	12	80	110	49	26	24	70	1979578	1979832
gene_1016	21.2178103393581	0.0145085676930358	759	Transcription initiation factor IIF subunit alpha (TFIIF large subunit)	Grosmannia clavigera	Ophiostoma piceae	K03138	TFIIF1, GTF2F1, TFG1; transcription initiation factor TFIIF subunit alpha	transcription initiation factor iif subunit alpha	2	F:nucleic acid binding; P:transcription, DNA-dependent	-	N	gene_1019	33	2	35	115	37	17	0	72	1979579	1979833
gene_1017	9.73347893096784	-0.925083288984577	534	Putative uncharacterized protein	Magnaporthe oryzae	Ophiostoma piceae			hypothetical protein MGG_01343	3	F:molecular_function; P:biological_process; C:cellular_component		N	gene_1020	8	0	16	33	12	4	6	32	1979580	1979834
gene_1018	6.70202798902727	-0.551269503503448	274	Serine/threonine-protein kinase BUD32	Grosmannia clavigera	Ophiostoma piceae	K08851	TP53RK, PRPK, BUD32; TP53 regulating kinase [EC:2.7.11.1]	bud32 protein kinase	7	P:lipopolysaccharide biosynthetic process; P:protein phosphorylation; F:protein tyrosine kinase activity; F:ATP binding; P:transcription, DNA-dependent; C:chromosome; C:membrane	EC:2.7.10.0	N	gene_1021	10	0	8	32	19	2	2	15	1979581	1979835
gene_1019	21.7900027775647	0.710538048549773	413	Glutamate-cysteine ligase modifier subunit	Togninia minima	Ophiostoma piceae	K11205	GCLM; glutamate--cysteine ligase regulatory subunit	glutamate-cysteine ligase modifier subunit	3	F:ligase activity; P:biological_process; C:cellular_component		N	gene_1022	62	2	62	85	36	10	0	51	1979582	1979836
gene_102	133.117836840668	0.297572778256386	544	Amino-acid permease	Grosmannia clavigera	Ophiostoma piceae	K16261	YAT; yeast amino acid transporter	amino-acid permease inda1	3	C:integral to membrane; F:amino acid transmembrane transporter activity; P:amino acid transmembrane transport	-	N	gene_105	597	16	145	358	175	62	26	346	1978665	1978919
gene_1020	9.96245513874756	-0.13879499639269	155	AP-1 complex subunit sigma-1 (Sigma1-adaptin)	Trichoderma reesei	Ophiostoma piceae	K12394	AP1S1_2; AP-1 complex subunit sigma 1/2	mitogen-activated protein kinase maf1	3	P:protein transport; F:protein transporter activity; P:transport		N	gene_1023	20	0	14	55	22	8	1	21	1979583	1979837
gene_1020.1	19.4442042502279	0.265290199274978	439	Mitogen-activated protein kinase maf1	Grosmannia clavigera	Ophiostoma piceae				4	F:kinase activity; P:negative regulation of transcription from RNA polymerase III promoter; P:phosphorylation; C:nucleus		N	gene_1024	58	0	49	67	16	10	2	84	1979584	1979838
gene_1021	20.6156447794811	0.448703763473752	987	Vacuolar fusion protein CCZ1 homolog	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_887	0	-		N	gene_1025	50	6	30	85	34	16	0	45	1979585	1979839
gene_1022	0	0	177	Expansin family protein	Grosmannia clavigera	Ophiostoma piceae			allergen asp f7	0	-		N	gene_1026	0	0	0	0	0	0	0	0	1979586	1979840
gene_1023	7.66490114303734	2.62107588257833	294	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			nicotinamide n-	3	F:methyltransferase activity; F:transferase activity; P:methylation		N	gene_1027	15	12	1	11	0	2	0	7	1979587	1979841
gene_1024	18.5209207759858	2.24299246358395	1 389	Axial budding pattern protein 2 (Bud site selection protein 10)	Grosmannia clavigera	Ophiostoma piceae			transmembrane glycoprotein	1	F:catalytic activity	-	Y	gene_1028	28	20	10	96	1	4	0	40	1979588	1979842
gene_1025	13.4340170912788	0.543661376757644	417	Putative uncharacterized protein	 	Ophiostoma piceae			---NA---	0	-		N	gene_1029	13	0	8	162	40	0	0	23	1979589	1979843
gene_1026	191.376252462194	0.127405851335766	827	Cell division control protein 48	Grosmannia clavigera	Ophiostoma piceae	K13525	VCP, CDC48; transitional endoplasmic reticulum ATPase	cell division control protein 48	4	F:nucleoside-triphosphatase activity; F:ATP binding; P:mycelium development; P:cell division	EC:3.6.1.15	N	gene_1030	378	69	251	560	196	94	65	445	1979590	1979844
gene_1027	3.39863419823821	-1.78350373323778	165	Putative uncharacterized protein	Grosmannia clavigera	Grosmannia clavigera			hypothetical protein CMQ_549	0	-		N	gene_1031	0	0	2	8	3	2	4	6	1979591	1979845
gene_1028	89.3092651569682	-0.00567070129637115	623	Protein phosphatase PP2A regulatory subunit A	Grosmannia clavigera	Ophiostoma piceae	K03456	PPP2R1; protein phosphatase 2 (formerly 2A), regulatory subunit A	protein phosphatase pp2a regulatory subunit a	2	P:biological_process; C:cellular_component		N	gene_1032	217	20	122	270	138	46	28	170	1979592	1979846
gene_1029	34.043235805129	0.971150388178372	1 004	Phosphoinositide 3-phosphatase (3.1.3.64)	Grosmannia clavigera	Ophiostoma piceae	K01104	E3.1.3.48; protein-tyrosine phosphatase [EC:3.1.3.48]	protein phosphatase	2	P:dephosphorylation; F:phosphatase activity	EC:3.1.3.0	N	gene_1033	78	22	36	113	26	22	2	74	1979593	1979847
gene_103	24.7734978177426	2.00401631915919	1 137	Putative uncharacterized protein	Scedosporium apiospermum	Scedosporium apiospermum			hypothetical protein NECHADRAFT_82115	0	-		N	gene_106	44	0	14	398	20	2	0	42	1978666	1978920
gene_1030	10.8864840786184	0.153795408934966	415	Diaminohydroxyphosphoribosylamino-pyrimidine deaminase (DRAP deaminase)	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_393	0	-		N	gene_1034	16	2	26	40	24	8	0	24	1979594	1979848
gene_1031	113.182193765125	-0.25986758530369	695	Long-chain-fatty-acid-CoA ligase 1 (Fatty acid activator 1)	Grosmannia clavigera	Ophiostoma piceae	K01897	ACSL, fadD; long-chain acyl-CoA synthetase [EC:6.2.1.3]	long-chain-fatty-acid- ligase 1	2	F:ligase activity; P:metabolic process	-	N	gene_1035	107	17	257	375	132	116	29	268	1979595	1979849
gene_1032	50.6321496187741	0.395035998951448	190	Calcium-binding protein NCS-1	Togninia minima	Ophiostoma piceae			neuronal calcium sensor 1	5	C:Golgi membrane; F:enzyme activator activity; F:calcium ion binding; P:regulation of signal transduction; P:positive regulation of catalytic activity	-	N	gene_1036	128	14	66	210	60	34	11	84	1979596	1979850
gene_1033	7.54613746578622	0.603689726622419	920	Cell division control protein 45 homolog (Suppressor of nda4 protein)	Grosmannia clavigera	Ophiostoma piceae	K06628	CDC45; cell division control protein 45	cell division control protein	3	P:translational initiation; P:DNA-dependent DNA replication initiation; F:translation initiation factor activity	-	N	gene_1037	28	0	17	34	7	4	0	28	1979597	1979851
gene_1034	10.4977571125688	-0.40517333721435	612	DNA replication initiation factor cdc45	Grosmannia clavigera	Ophiostoma piceae			dna replication initiation factor cdc45	6	P:translational initiation; P:DNA-dependent DNA replication initiation; F:translation initiation factor activity; F:molecular_function; P:biological_process; C:cellular_component		N	gene_1038	21	2	16	20	17	0	6	26	1979598	1979852
gene_1035	23.460445802902	0.223186685249463	485	Ribose-phosphate diphosphokinase	Togninia minima	Ophiostoma piceae	K00948	PRPS, prsA; ribose-phosphate pyrophosphokinase [EC:2.7.6.1]	ribose-phosphate pyrophosphokinase 1	6	P:nucleotide biosynthetic process; F:kinase activity; P:phosphorylation; P:ribonucleoside monophosphate biosynthetic process; F:ribose phosphate diphosphokinase activity; F:magnesium ion binding	EC:2.7.6.1	N	gene_1039	86	2	42	63	20	19	2	85	1979599	1979853
gene_1036	9.60064640115322	0.685101022696486	378	Pre-mRNA-splicing factor CWC26	Grosmannia clavigera	Ophiostoma piceae	K13106	BUD13, CWC26; pre-mRNA-splicing factor CWC26	pre-mrna-splicing factor cwc26	2	P:mycelium development; C:intracellular part	-	N	gene_1040	40	4	12	14	4	4	4	10	1979600	1979854
gene_1037	11.0436583872523	-0.226816159820745	195	Putative uncharacterized protein	Colletotrichum fioriniae	Ophiostoma piceae			4-carboxymuconolactone decarboxylase family protein	2	P:oxidation-reduction process; F:peroxiredoxin activity	EC:1.11.1.15	N	gene_1041	16	0	24	49	22	8	2	26	1979601	1979855
gene_1038	29.655302846741	1.07026650436449	531	Uncharacterized transporter C1683.12	Togninia minima	Ophiostoma piceae			pantothenate transporter liz1	2	P:transmembrane transport; C:integral to membrane	-	N	gene_1042	51	14	82	91	45	14	0	44	1979602	1979856
gene_1039	22.5951297520447	0.896407586509985	567	Amino acid permease	Grosmannia clavigera	Ophiostoma piceae			amino acid permease	3	C:integral to membrane; F:amino acid transmembrane transporter activity; P:amino acid transmembrane transport	-	N	gene_1043	84	18	0	28	49	10	0	18	1979603	1979857
gene_104	162.911501419602	-0.993208772282459	148	Hypersensitive response-inducing protein	Eutypa lata	Ophiostoma ulmi			22kda glycoprotein	0	-		Y	gene_107	113	33	172	433	258	94	74	565	1978667	1978921
gene_1040	0.905130092629347	1.49070370717408	481	Putative uncharacterized protein	 	Ophiostoma piceae			hypothetical protein PCYB_083920	0	-		Y	gene_1044	0	2	0	0	0	0	0	0	1979604	1979858
gene_1041	19.8757455426686	0.38031776970944	181	Protein orm1	Togninia minima	Ophiostoma piceae			protein orm1	4	C:integral to membrane; C:SPOTS complex; P:response to unfolded protein; P:negative regulation of sphingolipid biosynthetic process	-	N	gene_1045	32	6	67	21	23	9	5	42	1979605	1979859
gene_1042	32.0281036267179	0.0961351438671996	717	Arginine methyltransferase-interacting ring finger protein	Grosmannia clavigera	Ophiostoma piceae			arginine methyltransferase-interacting ring finger protein	7	F:nucleic acid binding; F:methyltransferase activity; F:transferase activity; F:zinc ion binding; P:methylation; P:biological_process; C:cellular_component		N	gene_1046	37	16	42	83	35	17	11	68	1979606	1979860
gene_1043	4.78954379760917	0.122062537776023	985	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_1727	3	F:molecular_function; P:biological_process; C:cellular_component		N	gene_1047	27	0	0	18	10	6	0	4	1979607	1979861
gene_1044	24.0793974046415	0.0429238408527424	1 289	Osmolarity two-component system protein sln1	Grosmannia clavigera	Ophiostoma piceae	K11231	SLN1; osomolarity two-component system, sensor histidine kinase SLN1 [EC:2.7.13.3]	histidine kinase group protein	9	F:two-component response regulator activity; P:two-component signal transduction system (phosphorelay); P:intracellular signal transduction; C:intracellular; P:regulation of transcription, DNA-dependent; P:signal transduction by phosphorylation; F:ATP binding; F:two-component sensor activity; C:membrane	-	N	gene_1048	26	10	28	90	38	23	2	57	1979608	1979862
gene_1045	0.710031063297128	1.27504408410275	629	Putative uncharacterized protein	 	Ophiostoma piceae			---NA---	0	-		N	gene_1049	2	0	4	6	0	0	0	0	1979609	1979863
gene_1046	27.5928735314355	-0.277865866483007	440	DUF124 domain containing protein	Grosmannia clavigera	Ophiostoma piceae			duf124 domain containing protein	0	-		N	gene_1050	55	0	58	97	35	23	12	34	1979610	1979864
gene_1047	7.62234720760894	0.076070258651522	277	Peptide alpha-n-acetyltransferase	Grosmannia clavigera	Ophiostoma piceae			peptide alpha-n-acetyltransferase	1	F:transferase activity		N	gene_1051	21	0	10	42	9	10	0	20	1979611	1979865
gene_1048	12.4256506773588	-0.488841865365435	756	Asparagine amidase a	Grosmannia clavigera	Ophiostoma piceae			peptide-n4-(n-acetyl-beta-glucosaminyl)asparagine amidase a	3	F:molecular_function; P:biological_process; C:cellular_component		N	gene_1052	47	0	10	28	2	16	8	10	1979612	1979866
gene_1049	8.09171187535165	-1.07498674304838	528	Maltose permease MAL61	Fusarium oxysporum	Fusarium oxysporum			maltose permease mal61	7	F:transmembrane transporter activity; C:integral to membrane; C:membrane; P:transmembrane transport; P:transport; F:transporter activity; P:carbohydrate transport		N	gene_1053	2	4	0	12	8	5	8	2	1979613	1979867
gene_105	22.3926837706104	0.190193851371298	1 202	Heat repeat protein	Grosmannia clavigera	Ophiostoma piceae			heat repeat protein	0	-		N	gene_108	46	14	24	14	42	6	8	22	1978668	1978922
gene_1050	1.44601412626262	1.2843220253173	928	Alpha-rhamnosidase Eurofung	Fusarium oxysporum	Ophiostoma piceae			tpa: alpha-rhamnosidase	1	F:catalytic activity	-	N	gene_1054	0	2	2	4	0	0	0	4	1979614	1979868
gene_1051	99.5787532696891	-1.59727520866993	287	Fumarylacetoacetate hydrolase domain-containing protein 2	Scedosporium apiospermum	Ophiostoma piceae	K01828	E5.3.3.-; unclassified metabolism	fumarylacetoacetate hydrolase	6	P:transcription, DNA-dependent; P:mycelium development; F:DNA binding; F:hydrolase activity; C:nucleus; F:zinc ion binding	-	N	gene_1055	50	12	104	174	91	103	81	167	1979615	1979869
gene_1052	20.0475236996564	-0.522926227901047	695	Copper amine oxidase 1	Togninia minima	Ophiostoma piceae	K00276	E1.4.3.21, AOC2, AOC3, tynA; primary-amine oxidase [EC:1.4.3.21]	copper amine oxidase 1	5	F:copper ion binding; P:oxidation-reduction process; F:quinone binding; F:primary amine oxidase activity; P:amine metabolic process	EC:1.4.3.21	N	gene_1056	78	0	18	36	24	16	9	44	1979616	1979870
gene_1053	6.28646461032423	1.20392087387428	616	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			c6 zinc finger domain containing protein	7	F:molecular_function; P:biological_process; C:cellular_component; P:transcription, DNA-dependent; F:zinc ion binding; C:nucleus; F:DNA binding		N	gene_1057	32	0	12	36	6	2	0	14	1979617	1979871
gene_1054	11.945940188577	0.470468059888652	611	tRNA pseudouridine synthase	Grosmannia clavigera	Ophiostoma piceae	K06173	truA, PUS1; tRNA pseudouridine38-40 synthase [EC:5.4.99.12]	trna pseudouridine synthase	1	P:RNA modification	-	N	gene_1058	16	6	30	18	4	10	0	53	1979618	1979872
gene_1055	6.13238790397928	-1.14346333791743	932	Ankyrin repeat-containing protein	Trichomonas vaginalis	Ophiostoma piceae	K10380	ANK; ankyrin		0	-		N	gene_1059	4	0	2	32	14	13	0	14	1979619	1979873
gene_1055.1	10.2637316519702	0.704136134314803	339	Metacaspase	Grosmannia clavigera	Ophiostoma piceae			mca1_debha ame: full=metacaspase-1 flags: precursor	5	P:proteolysis; F:cysteine-type endopeptidase activity; F:RNA polymerase II transcription cofactor activity; C:mediator complex; P:regulation of transcription from RNA polymerase II promoter		N	gene_1060	29	0	25	61	4	6	2	26	1979620	1979874
gene_1056	9.87802712913233	0.837784117753115	389	Fructosyl peptide oxidase (Octopine oxidase subunit B)	Grosmannia clavigera	Ophiostoma piceae			glycine d-amino acid deaminating	2	P:oxidation-reduction process; F:oxidoreductase activity		N	gene_1061	74	0	10	18	16	4	0	20	1979621	1979875
gene_1057	0.238708169160604	0.0623492278322673	134	Putative uncharacterized protein	Eutypa lata	Ophiostoma piceae			hypothetical protein MAC_07925	0	-		N	gene_1062	2	0	0	0	0	0	0	2	1979622	1979876
gene_1058	0.402905985750049	0.852647681353313	322	Arabinan endo-1,5-alpha-L-arabinosidase	Grosmannia clavigera	Ophiostoma piceae	K06113	abnA; arabinan endo-1,5-alpha-L-arabinosidase [EC:3.2.1.99]	extracellular endo- -alpha-l-	2	F:hydrolase activity, hydrolyzing O-glycosyl compounds; P:polysaccharide catabolic process	EC:3.2.1.0	Y	gene_1063	0	0	0	10	0	0	0	0	1979623	1979877
gene_1059	11.9764303040143	1.45704958359585	697	PdmS protein	Colletotrichum sublineola	Ophiostoma piceae			glycosyltransferase (n-glycosyltransferase) (n-glycosyl transferase ngt)	7	P:lipid glycosylation; F:transferase activity; P:metabolic process; P:carbohydrate metabolic process; P:antibiotic metabolic process; F:transferase activity, transferring hexosyl groups; F:transferase activity, transferring glycosyl groups		N	gene_1064	34	8	22	32	12	2	0	26	1979624	1979878
gene_106	8.40293759319207	-0.0127430752257477	316	DUF1749 domain containing protein	Grosmannia clavigera	Ophiostoma piceae			dolichol-phosphate mannosyltransferase	4	F:transferase activity; P:biological_process; F:transferase activity, transferring glycosyl groups; C:cellular_component		N	gene_109	28	0	20	16	24	3	0	23	1978669	1978923
gene_1060	8.72148550738389	0.453792212987062	473	Serine/threonine-protein kinase RIO1	Grosmannia clavigera	Ophiostoma piceae	K07178	RIOK1; RIO kinase 1 [EC:2.7.11.1]	serine threonine-protein kinase rio1	1	F:kinase activity	-	N	gene_1065	20	2	20	30	11	2	0	40	1979625	1979879
gene_1061	2.70108372857915	2.0698906761376	482	Lipase 5	Chaetomium globosum	Ophiostoma piceae			lipase 1 precursor	4	P:lipid catabolic process; F:triglyceride lipase activity; F:hydrolase activity; F:retinyl-palmitate esterase activity		Y	gene_1066	24	0	3	16	0	0	0	4	1979626	1979880
gene_1062	0.0805811971500098	0.215569754346076	99	FAD binding domain-containing protein	Magnaporthe oryzae	Sporothrix schenckii			fad binding domain-containing protein	6	P:oxidation-reduction process; F:oxidoreductase activity; F:UDP-N-acetylmuramate dehydrogenase activity; F:catalytic activity; F:oxidoreductase activity, acting on CH-OH group of donors; F:flavin adenine dinucleotide binding		N	gene_1067	0	0	0	2	0	0	0	0	1979627	1979881
gene_1063	14.1736267969514	-0.320347347694091	276	Extradiol ring-cleavage class 3 subunit b	Grosmannia clavigera	Ophiostoma piceae	K15777	DOPA; 4,5-DOPA dioxygenase extradiol [EC:1.13.11.-]	extradiol ring-cleavage class 3 subunit b	4	F:ferrous iron binding; P:cellular aromatic compound metabolic process; P:oxidation-reduction process; F:oxidoreductase activity, acting on single donors with incorporation of molecular oxygen	-	N	gene_1068	38	0	18	55	16	23	2	26	1979628	1979882
gene_1064	116.527523425375	-1.03132933610463	451	6-hydroxynicotinate 3-monooxygenase	Pestalotiopsis fici	Ophiostoma piceae			salicylate hydroxylase	2	P:metabolic process; F:oxidoreductase activity	-	N	gene_1069	39	14	212	283	86	124	81	172	1979629	1979883
gene_1065	142.410123999405	-1.39950190421159	557	Cycloheximide resistance protein	Pestalotiopsis fici	Ophiostoma piceae			cycloheximide resistance	1	P:cellular process	-	N	gene_1070	52	16	202	280	60	188	98	335	1979630	1979884
gene_1066	2.19549680234499	-0.00950090384471125	333	Putative uncharacterized protein	 	Ophiostoma piceae			---NA---	0	-		N	gene_1071	2	0	10	3	1	4	0	6	1979631	1979885
gene_1067	1.03271978070349	0.503991336317921	374	Kinase activator protein	Grosmannia clavigera	Ophiostoma piceae			kinase activator protein	3	F:kinase activity; P:autophagy; P:phosphorylation		N	gene_1072	8	0	0	4	0	2	0	0	1979632	1979886
gene_1068	13.884219699873	-0.786307992061044	366	Ribosomal large subunit biogenesis protein	Grosmannia clavigera	Ophiostoma piceae	K14831	MAK16; protein MAK16	ribosomal large subunit biogenesis protein	3	C:nucleolus; P:ribosomal large subunit biogenesis; P:rRNA processing	-	N	gene_1073	24	0	20	42	2	6	8	72	1979633	1979887
gene_1069	32.8913360624086	-0.0956814580265313	358	1-aminocyclopropane-1-carboxylate deaminase	Togninia minima	Ophiostoma piceae	K01505	E3.5.99.7; 1-aminocyclopropane-1-carboxylate deaminase [EC:3.5.99.7]	1-aminocyclopropane-1-carboxylate deaminase	8	P:amine catabolic process; F:1-aminocyclopropane-1-carboxylate deaminase activity; P:regulation of transcription from RNA polymerase II promoter; F:zinc ion binding; F:sequence-specific DNA binding RNA polymerase II transcription factor activity; F:DNA binding; F:pyridoxal phosphate binding; C:nucleus	EC:3.5.99.7	N	gene_1074	79	0	50	160	55	22	10	51	1979634	1979888
gene_107	2.41623692503627	0.280103341204551	263	Sterol isomerase	Grosmannia clavigera	Ophiostoma piceae	K01824	EBP; cholestenol delta-isomerase [EC:5.3.3.5]	ebp domain containing protein	5	C:integral to membrane; C:endoplasmic reticulum; P:sterol metabolic process; F:cholestenol delta-isomerase activity; F:isomerase activity		N	gene_110	2	2	4	0	8	0	0	4	1978670	1978924
gene_1070	63.512868446791	-1.51617147790602	849	Protein phosphatase regulatory subunit	Grosmannia clavigera	Ophiostoma piceae	K07189	PPP1R3; protein phosphatase 1, regulatory (inhibitor) subunit 3	carbohydrate-binding module family 21 protein	0	-		N	gene_1075	72	4	59	116	74	76	30	229	1979635	1979889
gene_1071	0	0	42	Putative uncharacterized protein	 				---NA---	0	-		N	gene_1076	0	0	0	0	0	0	0	0	1979636	1979890
gene_1072	1.53545724910859	0.301280155075894	327	Putative uncharacterized protein	 	Ophiostoma piceae			---NA---	0	-		Y	gene_1077	0	0	4	14	0	0	0	12	1979637	1979891
gene_1073	5.12068361390285	-0.000948349925390264	609	Autophagy-related protein 17	Grosmannia clavigera	Ophiostoma piceae	K08329	ATG17; autophagy-related protein 17	kinase activator	1	P:cellular metabolic process	-	N	gene_1078	5	2	10	12	4	7	0	18	1979638	1979892
gene_1074	28.5945175215242	1.22843095227034	292	Carbohydrate esterase family 1 protein 	Pestalotiopsis fici	Sporothrix schenckii			probable acetylxylan esterase	5	C:extracellular region; F:hydrolase activity, hydrolyzing O-glycosyl compounds; F:polysaccharide binding; F:carbohydrate binding; P:carbohydrate metabolic process		Y	gene_1079	22	2	106	223	2	22	0	83	1979639	1979893
gene_1075	21.2605806301308	-0.0177959971652464	395	Cyclin-dependent protein kinase complex component	Grosmannia clavigera	Ophiostoma piceae			cyclin-dependent protein kinase complex component	4	F:protein kinase binding; F:kinase activity; P:phosphorylation; P:regulation of cyclin-dependent protein kinase activity		N	gene_1080	50	0	46	84	36	25	0	51	1979640	1979894
