Gene_ID	Level.x	Level.y	Size..aa.	Final.Description	X.1st.BLASTp.hit...if.blank..see.next.column.	X.1st.BLASTp.hit...blank.are.real.orphans..	KO.	Name.KEGG	Annotation	X.GO.Terms	GO.Terms	Enzyme.Code	SignalP	Gene_ID.y	B_T1_Rep1	B_T1_Rep2	B_T1_Rep3	B_T1_Rep4	B_T2_Rep1	B_T2_Rep2	B_T2_Rep3	B_T2_Rep4	protein_ID	transcript_ID
gene_2021	3.04150745180872	-2.8243635779156	501	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_869	2	F:molecular_function; C:cellular_component		N	gene_2035	0	0	0	0	15	0	0	28	1980595	1980849
gene_2119	8.06181942635718	-2.7374883946771	659	Transcriptional regulatory protein moc3 (Multicopy suppressor of overexpressed cyr1 protein 3)	Gaeumannomyces graminis	Ophiostoma piceae			c6 zinc finger domain containing protein	12	P:regulation of transcription, DNA-dependent; P:transcription from RNA polymerase II promoter; F:sequence-specific DNA binding RNA polymerase II transcription factor activity; F:zinc ion binding; P:regulation of transcription from RNA polymerase II promoter; C:nucleus; F:flavin adenine dinucleotide binding; P:oxidation-reduction process; F:oxidoreductase activity; F:catalytic activity; F:oxidoreductase activity, acting on CH-OH group of donors; F:UDP-N-acetylmuramate dehydrogenase activity		N	gene_2132	4	0	4	2	0	6	0	120	1980692	1980946
gene_2547	20.1478434245544	-2.28083260008047	576	Phosphate/H+ symporter	Grosmannia clavigera	Ophiostoma piceae	K08176	PHO84; MFS transporter, PHS family, inorganic phosphate transporter	phosphate h+ symporter	4	P:phosphate ion transport; C:integral to membrane; F:inorganic phosphate transmembrane transporter activity; P:transmembrane transport	-	N	gene_2559	17	0	2	45	9	16	24	33	1981119	1981373
gene_2742	1.58959192794006	-2.06322122890006	330	Glucan endo-1,3-beta-glucosidase A1-like protein	Metarhizium anisopliae	Ophiostoma piceae			glucan endo- -beta-glucosidase a1-like protein	1	P:mycelium development	-	Y	gene_2751	0	0	0	0	0	0	0	30	1981311	1981565
gene_2764	14.859052727348	-2.2213256299199	232	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_2358	0	-		N	gene_2774	0	4	2	8	10	7	20	12	1981334	1981588
gene_2971	8.15180036776764	-2.51849966002026	136	Putative uncharacterized protein	 	Ophiostoma piceae			---NA---	0	-		Y	gene_2983	8	0	2	4	31	18	0	19	1981543	1981797
gene_3081	6.49710187786973	-2.08020078224076	853	Molybdenum cofactor sulfurase	Pestalotiopsis fici	Ophiostoma piceae	K15631	ABA3; molybdenum cofactor sulfurtransferase [EC:2.8.1.9]	molybdenum cofactor sulfurase	3	F:binding; P:metabolic process; F:catalytic activity	-	N	gene_3094	8	0	0	10	4	12	4	22	1981654	1981908
gene_3153	3.68955265891095	-2.30635565390473	183	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_4403	0	-		N	gene_3165	0	0	2	3	10	0	4	8	1981725	1981979
gene_3262	7.33256031296145	-2.50005564108604	564	Steroid monooxygenase	Togninia minima	Ophiostoma piceae			steroid monooxygenase	4	F:flavin adenine dinucleotide binding; F:N,N-dimethylaniline monooxygenase activity; P:oxidation-reduction process; F:NADP binding	EC:1.14.13.8	N	gene_3274	0	0	8	2	6	18	4	18	1981834	1982088
gene_33	4.18974977563345	-2.84841477083699	545	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_6511	3	F:molecular_function; P:biological_process; C:cellular_component		Y	gene_35	2	0	0	0	18	6	0	22	1978595	1978849
gene_3312	8.12324445073291	-2.17023770484541	390	Mitochondrial carrier protein rim2	Grosmannia clavigera	Ophiostoma piceae	K15116	SLC25A33_36, RIM2; solute carrier family 25, member 33/36	mitochondrial carrier protein rim2	2	P:transmembrane transport; C:integral to membrane	-	N	gene_3323	4	0	2	18	16	7	4	41	1981883	1982137
gene_3323	17.7293256190378	-3.24296961048796	279	Putative uncharacterized protein	Neurospora crassa	Ophiostoma piceae			hypothetical protein NCU06983	0	-		Y	gene_3334	0	0	0	32	4	2	0	296	1981894	1982148
gene_3358	54.3803598751362	-2.23786119644548	334	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_5251	0	-		N	gene_3369	31	0	36	102	170	92	0	224	1981929	1982183
gene_3417	20.6797714598105	-3.23017796552696	563	Putative metal chaperone YciC	Fusarium oxysporum	Ophiostoma piceae			cobw domain-containing protein	0	-		N	gene_3429	4	0	10	12	10	94	4	2	1981989	1982243
gene_3426	30.1941272076047	-2.61825594271647	661	Tripeptidyl-peptidase sed1 (Sedolisin-A)	Grosmannia clavigera	Ophiostoma piceae			alkaline serine protease	2	F:serine-type endopeptidase activity; P:proteolysis	EC:3.4.21.0	Y	gene_3437	32	0	16	10	38	52	22	54	1981997	1982251
gene_3427	85.483254389101	-2.41185131396894	450	Histidinol dehydrogenase 2	Grosmannia clavigera	Ophiostoma piceae	K00013	hisD; histidinol dehydrogenase [EC:1.1.1.23]	histidinol dehydrogenase	5	F:histidinol dehydrogenase activity; F:NAD binding; P:histidine biosynthetic process; F:zinc ion binding; P:oxidation-reduction process	EC:1.1.1.23	N	gene_3438	16	20	26	22	104	48	92	165	1981998	1982252
gene_3429	275.215748917103	-3.0780455988089	714	3-hydroxybenzoate 6-hydroxylase 1	Fusarium fujikuroi	Ophiostoma piceae			fad binding domain containing protein	4	F:oxidoreductase activity; P:oxidation-reduction process; F:carboxy-lyase activity; F:nucleotide binding	EC:4.1.1.0	N	gene_3440	48	28	96	120	258	158	343	501	1982000	1982254
gene_3431	60.0194955564799	-2.23611917636076	483	6-hydroxy-D-nicotine oxidase (6-HDNO)	Fusarium fujikuroi	Ophiostoma piceae			fad binding domain protein	3	F:flavin adenine dinucleotide binding; P:oxidation-reduction process; F:UDP-N-acetylmuramate dehydrogenase activity	EC:1.1.1.158	N	gene_3442	10	8	54	34	136	64	36	139	1982002	1982256
gene_3435	58.3520566541739	-2.43143950118622	286	Aromatic ring-opening dioxygenase family protein	Macrophomina phaseolina	Ophiostoma piceae			aromatic ring-opening dioxygenase family protein	5	F:ferrous iron binding; P:cellular aromatic compound metabolic process; F:oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen; P:oxidation-reduction process; F:zinc ion binding	EC:1.13.11.0	N	gene_3446	16	12	10	36	102	30	56	127	1982006	1982260
gene_3437	21.2996377087524	-2.36840673160575	120	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_395	0	-		N	gene_3448	5	0	14	40	23	24	20	38	1982008	1982262
gene_3438	39.6973513491074	-2.90174930380095	500	Aldehyde dehydrogenase	Grosmannia clavigera	Ophiostoma piceae			aldehyde dehydrogenase	2	F:oxidoreductase activity; P:metabolic process	-	N	gene_3449	18	0	14	48	60	44	34	98	1982009	1982263
gene_3439	129.614105565907	-2.01997294311849	555	Major facilitator superfamily transporter	Eutypa lata	Ophiostoma piceae			mfs transporter	2	C:integral to membrane; P:transmembrane transport		N	gene_3450	35	24	80	135	168	141	86	399	1982010	1982264
gene_3457	2.83307512701001	-2.33855091286861	530	Lactose permease	Fusarium pseudograminearum	Ophiostoma piceae			hexose transporter	6	F:transmembrane transporter activity; F:substrate-specific transmembrane transporter activity; C:integral to membrane; C:membrane; P:transmembrane transport; P:transport		N	gene_3470	2	0	0	0	26	0	0	0	1982030	1982284
gene_4004	4.04558102166302	-2.18508089890783	196	Putative uncharacterized protein	Gaeumannomyces graminis	Ophiostoma piceae			hypothetical protein, variant	0	-		N	gene_4022	0	0	2	6	6	12	2	0	1982582	1982836
gene_4034.1	4.28456809053975	-2.32778480191591	303	Putative uncharacterized protein	 	Ophiostoma piceae				0	-		N	gene_4053	2	0	1	4	0	4	6	6	1982613	1982867
gene_4127	2.47994184324043	-2.16987295685776	504	Isotrichodermin/trichothecene C-15 hydroxylase (CYP65CE1)	Sordaria macrospora	Sporothrix schenckii			cytochrome p450	2	F:oxidoreductase activity; F:binding	-	N	gene_4147	2	0	0	0	14	4	0	4	1982707	1982961
gene_4375	2.77479573939515	-2.01582198689231	492	Putative uncharacterized protein	Glarea lozoyensis	Ophiostoma piceae			hypothetical protein BDDG_04419	0	-		N	gene_4395	0	0	2	2	8	0	0	32	1982955	1983209
gene_4392	27.2614279790915	-2.95316164623941	441	Tetracycline resistance protein from transposon Tn4351/Tn4400	Togninia minima	Ophiostoma piceae			tetracycline resistance protein from transposon	3	P:oxidation-reduction process; F:oxidoreductase activity; P:metabolic process		N	gene_4412	0	0	22	22	18	34	30	44	1982972	1983226
gene_4402	91.0714952933219	-2.3034885886435	539	Putative aldehyde dehydrogenase-like protein C922.07c	Togninia minima	Sporothrix schenckii			aldehyde dehydrogenase	2	P:metabolic process; F:oxidoreductase activity	-	N	gene_4422	22	6	84	94	67	101	86	193	1982982	1983236
gene_4570	2.14102108149499	-2.14082193261595	457	Lipase 5	Grosmannia clavigera	Ophiostoma piceae			secretory lipase family protein	2	P:lipid catabolic process; F:triglyceride lipase activity		Y	gene_4590	0	0	0	2	10	6	0	0	1983150	1983404
gene_4646	12.2214915659518	-3.24832171709545	1 054	Sodium/potassium-transporting ATPase subunit alpha-A 	Colletotrichum gloeosporioides	Ophiostoma piceae	K01539	ATP1A; sodium/potassium-transporting ATPase subunit alpha [EC:3.6.3.9]	k antiporter p-type atpase	5	P:ion transport; F:hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances; F:nucleotide binding; P:metabolic process; C:membrane	EC:3.6.3.0	N	gene_4666	4	0	3	6	16	9	14	28	1983226	1983480
gene_4694	52.6601233672054	-2.27455176876309	565	Allantoate permease	Grosmannia clavigera	Ophiostoma piceae			allantoate permease	2	P:transmembrane transport; C:integral to membrane	-	N	gene_4715	46	4	0	95	112	14	50	108	1983275	1983529
gene_4696	2.70033975304541	-2.67822507199224	656	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_149	0	-		N	gene_4717	0	0	0	0	26	0	0	0	1983277	1983531
gene_4704	11.645280217284	-2.89633054517333	323	Putative uncharacterized protein	Togninia minima	Ophiostoma piceae			hypothetical protein M7I_1462	2	F:molecular_function; C:cellular_component		Y	gene_4726	4	0	2	14	73	6	4	2	1983286	1983540
gene_4738	14.3979443284497	-2.29380786054859	309	Protein GCY	Aspergillus niger	Ophiostoma piceae	K00100	E1.1.1.-; genes in multiple pathways	aldo-keto reductase	10	C:cytoplasm; F:mRNA binding; F:carbonyl reductase (NADPH) activity; P:cellular response to oxidative stress; P:D-xylose catabolic process; F:alditol:NADP+ 1-oxidoreductase activity; P:arabinose catabolic process; F:glucose 1-dehydrogenase (NADP+) activity; C:nucleus; P:oxidation-reduction process	EC:1.1.1.184; EC:1.1.1.21; EC:1.1.1.119	N	gene_4760	8	0	14	10	18	27	6	55	1983320	1983574
gene_483	2.29124358973658	-2.48090803281322	343	Retinol dehydrogenase 11 	Togninia minima	Ophiostoma piceae	K11152	RDH11; retinol dehydrogenase 11 [EC:1.1.1.-]	short-chain dehydrogenase	4	P:oxidation-reduction process; F:oxidoreductase activity; P:metabolic process; F:nucleotide binding		N	gene_484	0	0	0	0	19	0	0	6	1979044	1979298
gene_4849	17.5477755912363	-3.01885203225729	295	Clock-controlled pheromone ccg-4 (Pheromone ccg-4)	Togninia minima	Ophiostoma piceae			pheromone precursor	4	F:pheromone activity; P:response to pheromone; C:extracellular region; F:mating pheromone activity		Y	gene_4871	0	0	14	9	28	20	0	183	1983431	1983685
gene_4869	45.9299311610099	-2.8852186569875	392	Alpha-ketoglutarate-dependent taurine dioxygenase	Fusarium oxysporum	Ophiostoma piceae			alpha-ketoglutarate-dependent sulfonate dioxygenase	2	P:oxidation-reduction process; F:oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen	EC:1.13.11.0	N	gene_4891	28	0	4	72	128	19	46	38	1983451	1983705
gene_4929	1.86946598287759	-2.24456194913845	489	Pantothenate transporter liz1	Nectria haematococca	Ophiostoma piceae			pantothenate transporter	2	P:transmembrane transport; C:integral to membrane	-	N	gene_4949	0	0	0	0	18	0	0	0	1983509	1983763
gene_4986	8.88633151480769	-2.75874862161517	602	N amino acid transport system protein (Methyltryptophan resistance protein)	Byssochlamys spectabilis	Ophiostoma piceae			amino acid	1	C:integral to membrane	-	N	gene_5006	8	0	0	6	6	27	4	18	1983566	1983820
gene_5157	4.04081966062201	-2.94155109052409	276	Putative uncharacterized protein	Gaeumannomyces graminis	Sporothrix schenckii			hypothetical protein GGTG_11509	0	-		N	gene_5175	0	0	0	2	12	9	2	4	1983735	1983989
gene_5349	22.8119725615825	-2.22625183650176	60	Putative uncharacterized protein	 				---NA---	0	-		N	gene_5365	52	0	0	6	44	36	6	104	1983925	1984179
gene_5364	4.41379713977519	-2.01139837047291	407	Putative uncharacterized protein	Dactylellina haptotyla	Ophiostoma piceae			protein	4	C:integral to membrane; F:molecular_function; P:biological_process; C:cellular_component		Y	gene_5380	2	0	0	11	25	2	0	17	1983940	1984194
gene_5489	4.6637877636532	-2.90334060536099	186	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_4050	0	-		N	gene_5510	0	0	2	0	4	2	4	34	1984070	1984324
gene_5492	69.1228023509936	-2.38041302220707	694	Protease s8 tripeptidyl peptidase (Aorsin)	Grosmannia clavigera	Ophiostoma piceae			protease s8 tripeptidyl peptidase	1	F:serine-type peptidase activity	-	Y	gene_5513	128	0	14	28	34	62	88	30	1984073	1984327
gene_5935	5.44587220119853	-2.05693037726902	530	Acetylcholinesterase	Thielavia terrestris	Ophiostoma piceae			camp-regulated d2 protein	1	F:carboxylic ester hydrolase activity	EC:3.1.1.0	Y	gene_5960	4	0	0	12	34	0	0	22	1984520	1984774
gene_6078	5.57760051183062	-2.78076380431893	346	Glycine rich secreted cement protein	Ixodes scapularis	Ophiostoma piceae			glycine rich secreted cement	2	F:nucleic acid binding; C:nucleus		Y	gene_6102	0	0	4	0	16	12	0	29	1984662	1984916
gene_6268	10.5110702138421	-2.1804901765691	436	Acetate kinase	Grosmannia clavigera	Ophiostoma piceae	K00925	ackA; acetate kinase [EC:2.7.2.1]	acetate kinase	5	F:acetate kinase activity; F:ATP binding; P:organic acid metabolic process; P:phosphorylation; C:intracellular	EC:2.7.2.1	N	gene_6290	14	0	2	12	40	10	0	58	1984850	1985104
gene_6356	10.3522764839361	-2.20071183508348	444	Putative 8-amino-7-oxononanoate synthase (L-alanine-pimeloyl-CoA ligase)	Pseudogymnoascus destructans	Ophiostoma piceae	K00652	bioF; 8-amino-7-oxononanoate synthase [EC:2.3.1.47]	8-amino-7-oxononanoate synthase	1	F:catalytic activity	-	N	gene_6377	12	0	2	14	16	8	10	18	1984937	1985191
gene_6376	16.1476671142203	-2.48740434508162	492	Thiol-specific monooxygenase (Flavin-dependent monooxygenase)	Grosmannia clavigera	Ophiostoma piceae			fad dependent oxidoreductase	2	F:monooxygenase activity; F:coenzyme binding	-	N	gene_6398	0	0	0	52	18	2	24	4	1984958	1985212
gene_6417	1.62856419091627	-2.08988059799849	587	Laccase	Pestalotiopsis fici	Ophiostoma piceae	K00423	E1.10.3.3; L-ascorbate oxidase [EC:1.10.3.3]	extracellular dihydrogeodin oxidase	7	F:metal ion binding; P:oxidation-reduction process; F:oxidoreductase activity; F:copper ion binding; F:hydroquinone:oxygen oxidoreductase activity; P:lignin catabolic process; C:extracellular region		Y	gene_6443	0	0	0	0	12	1	0	4	1985003	1985257
gene_6439	4.90208200253328	-2.47792754418577	457	Putative ZnII2Cys6 transcription factor Eurofung	Capronia coronata	Ophiostoma piceae			fungal specific transcription factor domain-containing protein	1	P:transcription, DNA-dependent	-	N	gene_6468	6	0	0	0	4	6	6	3	1985028	1985282
gene_6476	23.390499350883	-2.17662308479278	535	Pantothenate transporter liz1	Aureobasidium pullulans	Ophiostoma piceae			allantoate permease	2	P:transmembrane transport; C:integral to membrane	-	N	gene_6505	22	0	0	61	89	2	18	22	1985065	1985319
gene_6508	2.12427654042044	-2.13135613598028	151	Putative uncharacterized protein	Togninia minima	Ophiostoma piceae			transcription factor cmr1	0	-		N	gene_6537	0	0	0	2	0	12	0	0	1985097	1985351
gene_6530	8.78596021309927	-2.22551406037359	384	Serine/threonine-protein kinase PknG	Myceliophthora thermophila	Sporothrix schenckii			serine threonine-protein kinase	4	F:ATP binding; F:protein kinase activity; P:protein phosphorylation; F:transferase activity, transferring phosphorus-containing groups		N	gene_6558	6	0	6	8	16	11	0	76	1985118	1985372
gene_6531	96.4170926433861	-3.94974901591048	429	FAD binding domain protein	Colletotrichum gloeosporioides	Colletotrichum gloeosporioides			fad binding domain protein	4	P:oxidation-reduction process; F:oxidoreductase activity; P:metabolic process; F:monooxygenase activity		N	gene_6559	22	0	16	65	197	227	4	565	1985119	1985373
gene_6551	32.4702220058404	-2.60548269822777	533	Flavohemoprotein	Grosmannia clavigera	Ophiostoma piceae	K05916	hmp, YHB1; nitric oxide dioxygenase [EC:1.14.12.17]	globin-like protein	1	F:binding	-	N	gene_6581	10	2	23	18	18	32	34	84	1985141	1985395
gene_6648	3.528185109168	-2.04938119875092	326	Aldehyde reductase 1	Grosmannia clavigera	Ophiostoma piceae	K00002	E1.1.1.2, adh; alcohol dehydrogenase (NADP+) [EC:1.1.1.2]	aldehyde reductase i	1	F:oxidoreductase activity	-	N	gene_6678	2	0	2	2	8	8	0	18	1985238	1985492
gene_6960	2.06447427092371	-2.09703331564682	286	Putative uncharacterized protein	 	Ophiostoma piceae			---NA---	0	-		N	gene_6987	0	0	0	2	14	0	0	10	1985547	1985801
gene_6986	28.804245422233	-2.86588998876655	471	Uncharacterized membrane protein C6F6.04c	Colletotrichum fioriniae	Ophiostoma piceae			major facilitator superfamily transporter	2	P:transmembrane transport; C:integral to membrane	-	N	gene_7012	17	0	10	28	58	20	29	42	1985572	1985826
gene_6987	24.598879512872	-2.24736767753781	583	Putative sterigmatocystin biosynthesis monooxygenase stcW	Nectria haematococca	Ophiostoma piceae			flavin-binding monooxygenase	1	F:monooxygenase activity		N	gene_7013	28	0	0	52	47	2	28	35	1985573	1985827
gene_6988	5.03092003475925	-3.23077616804681	721	Urea active transporter	Pestalotiopsis fici	Ophiostoma piceae			sodium solute symporter	4	F:hydrolase activity; P:transmembrane transport; C:integral to membrane; F:transporter activity	-	N	gene_7014	0	0	0	2	29	0	4	0	1985574	1985828
gene_7074	3.39379278832151	-2.18092968953473	210	Putative uncharacterized protein	Colletotrichum fioriniae	Ophiostoma piceae			hypothetical protein CH063_03867	0	-		N	gene_7099	2	0	0	4	2	0	4	18	1985659	1985913
gene_7165	15.1816790151653	-4.04435659963165	513	Probable transporter SEO1	Capronia epimyces	Ophiostoma piceae			mfs transporter	2	C:integral to membrane; P:transmembrane transport		N	gene_7190	2	0	3	1	14	75	0	10	1985750	1986004
gene_7169	4.8724598827736	-2.46936164809901	387	GPI anchored cell wall protein	Grosmannia clavigera	Ophiostoma piceae			gpi anchored	4	F:ferric iron binding; P:cellular aromatic compound metabolic process; F:oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen; P:oxidation-reduction process	EC:1.13.11.0	Y	gene_7194	6	0	0	0	14	0	0	57	1985754	1986008
gene_7186	1.9384214207509	-2.28594748161323	172	Putative uncharacterized protein	Chaetomium thermophilum	Ophiostoma piceae			hypothetical protein CTHT_0004220	3	F:molecular_function; P:biological_process; C:cellular_component		N	gene_7211	0	0	0	0	0	0	4	0	1985771	1986025
gene_7298	5.70089208179198	-2.39465864615981	992	Multidrug resistance protein CDR2	Grosmannia clavigera	Ophiostoma piceae			abc transporter	5	P:transport; C:integral to membrane; F:ATPase activity, coupled to transmembrane movement of substances; P:ATP catabolic process; F:ATP binding	-	N	gene_7322	0	0	2	10	8	24	0	4	1985882	1986136
gene_7303	159.990728466174	-6.4545551635345	413	Sterigmatocystin 8-O-methyltransferase	Setosphaeria turcica	Setosphaeria turcica			sterigmatocystin 8-o-methyltransferase	7	F:methyltransferase activity; F:transferase activity; P:methylation; F:O-methyltransferase activity; P:oxidation-reduction process; F:oxidoreductase activity; P:metabolic process		N	gene_7327	10	0	2	12	1452	12	0	110	1985887	1986141
gene_7305	112.265085347522	-7.30183052459484	304	Putative uncharacterized protein	Scedosporium apiospermum	Scedosporium apiospermum			n-terminal domain protein	0	-		N	gene_7329	2	0	0	2	997	35	0	48	1985889	1986143
gene_7306	119.425494533038	-6.52185729154596	415	Sterigmatocystin 8-O-methyltransferase	Scedosporium apiospermum	Scedosporium apiospermum			o-methyltransferase	4	F:methyltransferase activity; F:transferase activity; P:methylation; F:O-methyltransferase activity		N	gene_7330	12	0	0	0	1103	4	0	64	1985890	1986144
gene_7307	24.5572617980222	-5.01737144362616	494	Uncharacterized monooxygenase	Scedosporium apiospermum	Scedosporium apiospermum			fad binding domain protein	4	P:oxidation-reduction process; F:oxidoreductase activity; P:metabolic process; F:monooxygenase activity		N	gene_7331	4	0	0	0	225	2	0	11	1985891	1986145
gene_7308	51.3360662962407	-6.07405764903046	570	Major facilitator superfamily (MFS) transporter	Scedosporium apiospermum	Scedosporium apiospermum			major facilitator superfamily transporter	2	C:integral to membrane; P:transmembrane transport		N	gene_7332	4	0	0	0	405	14	0	125	1985892	1986146
gene_7309	4.89696887876981	-2.68434059975517	368	Putative uncharacterized protein	Fusarium fujikuroi	Fusarium fujikuroi			hypothetical protein VDAG_05636	6	P:regulation of transcription, DNA-dependent; P:transcription from RNA polymerase II promoter; F:sequence-specific DNA binding RNA polymerase II transcription factor activity; F:zinc ion binding; P:regulation of transcription from RNA polymerase II promoter; C:nucleus		N	gene_7333	2	0	0	4	39	2	0	4	1985893	1986147
gene_7310	34.3809688205039	-5.6029038386199	292	Peptidase S15	Scedosporium apiospermum	Scedosporium apiospermum			n-terminal domain protein	0	-		N	gene_7334	2	0	0	2	321	3	0	6	1985894	1986148
gene_7311	45.5959895400941	-5.66893382337872	351	Protein TOXD	Scedosporium apiospermum	Scedosporium apiospermum			zinc-binding dehydrogenase family	6	P:oxidation-reduction process; F:oxidoreductase activity; F:nucleotide binding; F:zinc ion binding; F:enoyl-[acyl-carrier-protein] reductase (NADPH, B-specific) activity; F:alcohol dehydrogenase (NAD) activity		N	gene_7335	6	0	0	0	426	0	0	18	1985895	1986149
