Protein_ID	subject_id	Gene_ID	exprLevel_log	LogFC	transcript_ID	goTermId	goName	gotermType	goAcc
649249	Potri.009G132100.1	WUAT02022099.1	8.583742098	2.493850036	649249	2494	amine transmembrane transporter activity	molecular_function	GO:0005275
759085	Potri.004G086100.1	WUAT02002755.1	10.51752536	2.047923874	759085	1941	protein serine/threonine kinase activity	molecular_function	GO:0004674
759085	Potri.004G086100.1	WUAT02002755.1	10.51752536	2.047923874	759085	1939	protein kinase activity	molecular_function	GO:0004672
759085	Potri.004G086100.1	WUAT02002755.1	10.51752536	2.047923874	759085	1979	protein tyrosine kinase activity	molecular_function	GO:0004713
759085	Potri.004G086100.1	WUAT02002755.1	10.51752536	2.047923874	759085	3551	protein phosphorylation	biological_process	GO:0006468
759085	Potri.004G086100.1	WUAT02002755.1	10.51752536	2.047923874	759085	2653	ATP binding	molecular_function	GO:0005524
773254	Potri.012G105500.1	WUAT02001530.1	5.457772689	3.439644524	773254	3588	proteolysis	biological_process	GO:0006508
773254	Potri.012G105500.1	WUAT02001530.1	5.457772689	3.439644524	773254	1170	catalytic activity	molecular_function	GO:0003824
773254	Potri.012G105500.1	WUAT02001530.1	5.457772689	3.439644524	773254	1515	obsolete carboxypeptidase D activity	molecular_function	GO:0004187
773254	Potri.012G105500.1	WUAT02001530.1	5.457772689	3.439644524	773254	1513	serine-type carboxypeptidase activity	molecular_function	GO:0004185
806207	Potri.012G039300.1	WUAT02016170.1	4.793506431	2.6511282	806207	2757	nucleus	cellular_component	GO:0005634
806207	Potri.012G039300.1	WUAT02016170.1	4.793506431	2.6511282	806207	1056	DNA binding	molecular_function	GO:0003677
806207	Potri.012G039300.1	WUAT02016170.1	4.793506431	2.6511282	806207	1233	DNA-directed DNA polymerase activity	molecular_function	GO:0003887
806207	Potri.012G039300.1	WUAT02016170.1	4.793506431	2.6511282	806207	3359	DNA replication	biological_process	GO:0006260
806207	Potri.012G039300.1	WUAT02008419.1	2.917060729	2.127001222	806207	2757	nucleus	cellular_component	GO:0005634
806207	Potri.012G039300.1	WUAT02008419.1	2.917060729	2.127001222	806207	1056	DNA binding	molecular_function	GO:0003677
806207	Potri.012G039300.1	WUAT02008419.1	2.917060729	2.127001222	806207	1233	DNA-directed DNA polymerase activity	molecular_function	GO:0003887
806207	Potri.012G039300.1	WUAT02008419.1	2.917060729	2.127001222	806207	3359	DNA replication	biological_process	GO:0006260
828220	Potri.018G068400.1	WUAT02000393.1	7.821539434	2.300172726	828220	2742	cell wall	cellular_component	GO:0005618
828220	Potri.018G068400.1	WUAT02000393.1	7.821539434	2.300172726	828220	11394	pectinesterase activity	molecular_function	GO:0030599
828220	Potri.018G068400.1	WUAT02000393.1	7.821539434	2.300172726	828220	13102	cell wall modification	biological_process	GO:0042545
