Gene_ID	Level	logFC	Size..aa.	Final.Description	X.1st.BLASTp.hit...if.blank..see.next.column.	X.1st.BLASTp.hit...blank.are.real.orphans..	KO.	Name.KEGG	Annotation	X.GO.Terms	GO.Terms	Enzyme.Code	SignalP	E_T1_Rep1	E_T1_Rep2	E_T1_Rep3	E_T1_Rep4	E_T2_Rep1	E_T2_Rep2	E_T2_Rep3	E_T2_Rep4
gene_1380	32.1062207151227	2.00738234300451	785	Glycoside hydrolase family 55 protein	Grosmannia clavigera	Ophiostoma piceae			glycoside hydrolase family 55 protein	1	F:hydrolase activity	-	Y	62	169	126	22	10	0	18	30
gene_1382	4.7027142049205	2.04830484373744	709	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_7653	0	-		N	14	8	17	9	2	0	4	0
gene_1395	35.6233133853874	2.55817351869748	567	Iron transport multicopper oxidase FET3	Grosmannia clavigera	Ophiostoma piceae			iron transport multicopper oxidase fet3	3	F:oxidoreductase activity; P:oxidation-reduction process; F:copper ion binding	-	Y	104	175	98	37	19	0	18	8
gene_1397	3.75517498157356	2.03972200370566	415	Transcription factor	Grosmannia clavigera	Ophiostoma piceae			transcription factor	7	P:regulation of transcription, DNA-dependent; P:transcription from RNA polymerase II promoter; F:sequence-specific DNA binding RNA polymerase II transcription factor activity; F:zinc ion binding; P:regulation of transcription from RNA polymerase II promoter; C:nucleus; F:sequence-specific DNA binding transcription factor activity		N	8	12	2	11	0	0	0	4
gene_1398	52.2342033340488	2.42403447607333	269	Hydroxynaphthalene reductase	Pseudallescheria boydii	Ophiostoma piceae	K11610	mabA; beta-ketoacyl ACP reductase [EC:1.1.1.100]	versicolorin reductase	3	F:oxidoreductase activity; P:oxidation-reduction process; F:nucleotide binding	-	N	100	212	126	98	32	0	34	8
gene_1425	5.42201223077054	2.06742462803872	161	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_7410	1	C:membrane	-	Y	14	40	14	2	0	0	8	0
gene_1426	11.6730883546968	3.20860713716547	266	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_2083	4	C:integral to membrane; C:endoplasmic reticulum; P:sterol metabolic process; F:cholestenol delta-isomerase activity		N	24	13	42	35	0	0	8	0
gene_1470	1.61723917059792	2.08218425033075	550	General amino acid permease AGP2	Grosmannia clavigera	Ophiostoma piceae			general amino acid permease	3	C:integral to membrane; F:amino acid transmembrane transporter activity; P:amino acid transmembrane transport	-	N	14	0	8	0	0	0	0	0
gene_1471	5.29358647009792	3.53445671277017	371	Catechol 1,2-dioxygenase (1,2-CTD)	Fusarium verticillioides	Ophiostoma piceae			intradiol ring-cleavage dioxygenase-like protein	4	F:ferric iron binding; P:cellular aromatic compound metabolic process; F:oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen; P:oxidation-reduction process	EC:1.13.11.0	Y	18	0	53	5	0	0	0	0
gene_1475	4.67644032793122	2.351061230462	489	glycoside hydrolase family 28 protein 	Thielavia terrestris	Ophiostoma piceae			endo-rhamnogalacturonase f	4	P:carbohydrate metabolic process; C:extracellular region; F:polygalacturonase activity; P:cellular cell wall organization	EC:3.2.1.15	Y	4	8	8	18	0	0	0	4
gene_1478	23.7364427272903	2.52227269149055	554	Major facilitator superfamily transporter	Colletotrichum gloeosporioides	Ophiostoma piceae			major facilitator superfamily transporter	3	C:integral to membrane; F:catalytic activity; P:transmembrane transport	-	N	72	26	96	46	14	0	2	12
gene_1484	8.77638949700976	3.05070566798377	583	Serine-type peptidase	Grosmannia clavigera	Ophiostoma piceae	K09649	PRSS16; protease, serine, 16 (thymus) [EC:3.4.-.-]	serine peptidase	1	F:peptidase activity	-	Y	26	26	21	20	0	0	6	0
gene_1505	103.181211714375	3.54489173459868	545	Aminopeptidase Y	Grosmannia clavigera	Ophiostoma piceae	K01264	E3.4.11.15, APE3; aminopeptidase Y [EC:3.4.11.15]	aminopeptidase y precursor	2	F:peptidase activity; P:protein metabolic process	-	Y	434	117	340	200	21	4	18	4
gene_1514	32.554706106202	4.0023217280329	848	Peptidase s41 family protein	Grosmannia clavigera	Ophiostoma piceae			pyridine nucleotide-disulfide oxidoreductase family protein	2	P:proteolysis; F:serine-type peptidase activity		Y	170	72	100	42	2	0	4	8
gene_1590	29.0073079335996	2.29651252432048	364	Putative uncharacterized protein	Togninia minima	Ophiostoma piceae			hypothetical protein CMQ_2207	1	P:mycelium development	-	Y	66	61	92	61	24	0	17	1
gene_1599	1.50896134825006	2.0064498073642	325	Putative uncharacterized protein	Thielavia terrestris	Ophiostoma piceae			hypothetical protein THITE_2119145	0	-		Y	2	2	10	4	0	0	0	0
gene_1660	4.14437639750758	2.70445664207336	459	Putative uncharacterized protein	Pestalotiopsis fici	Ophiostoma piceae			duf1766-domain-containing protein	2	F:molecular_function; P:biological_process		N	6	4	22	12	0	0	2	0
gene_1678	15.1361376554067	2.14204832052351	809	Beta-glucosidase M (Cellobiase M/Gentiobiase M)	Grosmannia clavigera	Ophiostoma piceae			glycoside hydrolase family 3 protein	2	F:hydrolase activity, acting on glycosyl bonds; P:metabolic process	-	Y	37	76	45	15	4	0	10	10
gene_1734	50.9323940658923	2.20098103148805	471	Subtilisin-like protease	Colletotrichum gloeosporioides	Ophiostoma piceae			serine protease	2	P:metabolic process; F:serine-type peptidase activity	-	Y	114	108	189	94	28	0	20	33
gene_1751	35.4637525487214	2.80294876439205	573	Quinate permease (Quinate transporter)	Trichoderma reesei	Ophiostoma piceae			sugar transporter	4	F:substrate-specific transmembrane transporter activity; C:integral to membrane; P:transmembrane transport; P:carbohydrate transport	-	N	40	345	78	18	0	0	29	13
gene_1783	6.85963339453489	2.36810234790616	268	Malate dehydrogenase	Grosmannia clavigera	Ophiostoma piceae			malate dehydrogenase	0	-		Y	20	20	10	16	4	0	2	1
gene_1801	2.11698624344354	2.38790634067638	182	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_2158	2	F:zinc ion binding; C:intracellular		N	6	14	2	4	0	0	0	0
gene_1850	5.77912018279235	2.35210052174021	519	Uncharacterized transporter C757.13	Penicillium roqueforti	Ophiostoma piceae			major facilitator superfamily transporter	2	P:transmembrane transport; C:integral to membrane	-	N	26	0	18	12	2	0	4	0
gene_1927	3.55585810821236	3.02000718139473	759	Uncharacterized transcriptional regulatory protein YKL222C	Grosmannia clavigera	Ophiostoma piceae			c6 zinc finger domain-containing protein	2	P:transcription from RNA polymerase II promoter; P:regulation of transcription, DNA-dependent	-	N	2	14	10	12	0	0	0	0
gene_2014	4.2079829148794	3.23510908489133	557	DUF1776 domain containing protein	Grosmannia clavigera	Ophiostoma piceae			duf1776 domain containing protein	2	F:nucleotide binding; C:cellular_component		N	10	10	14	12	0	0	0	0
gene_2170	10.6588154763393	2.05020910446278	379	Conidiophore development protein HymA	Eutypa lata	Ophiostoma piceae	K08272	CAB39, MO25; calcium binding protein 39	conidiophore development protein hyma	0	-		N	28	15	21	27	7	0	10	0
gene_2215	12.7733547150811	2.73387243501605	165	Putative uncharacterized protein	Magnaporthe oryzae	Ophiostoma piceae			hypothetical protein MGG_15874	0	-		N	23	51	39	26	3	0	2	7
gene_2228	178.988240249904	2.37207911022855	352	Putative uncharacterized protein	Myceliophthora thermophila	Sporothrix schenckii			serine-threonine rich protein	0	-		Y	532	369	745	254	104	0	95	68
gene_234	36.7005779903679	2.33390187047849	388	Spore germination protein	Grosmannia clavigera	Sporothrix schenckii			spore germination protein	0	-		Y	81	84	135	70	18	0	13	22
gene_2353	6.78778731447219	2.50302378267433	558	Acetamidase	Capronia coronata	Ophiostoma piceae	K01426	E3.5.1.4, amiE; amidase [EC:3.5.1.4]	general amidase	2	F:oxidoreductase activity; F:hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides	EC:3.5.1.0	N	36	0	26	10	4	0	2	0
gene_2355	3.86885387156225	2.08197498284319	453	Protein phosphatase	Grosmannia clavigera	Ophiostoma piceae			protein phosphatase	2	F:catalytic activity; P:metabolic process	-	N	6	12	10	10	0	0	0	4
gene_2446	18.4030369072683	2.85927727519	5 110	Hydroxamate-type ferrichrome siderophore peptide synthetase	Gaeumannomyces graminis	Ophiostoma piceae			non-ribosomal peptide synthetase	3	P:metabolic process; F:catalytic activity; F:phosphopantetheine binding		N	71	64	56	22	12	0	2	2
gene_2495	9.64721313281925	2.06759532426255	382	SWR1-complex protein 5	Metarhizium acridum	Ophiostoma piceae			swr1-complex protein 5	5	F:molecular_function; P:regulation of transcription, DNA-dependent; P:transcription, DNA-dependent; P:chromatin modification; C:nucleus		N	20	33	38	14	8	0	4	2
gene_2593	6.72086448502211	2.16266812601092	357	Glycerate dehydrogenase	Grosmannia clavigera	Ophiostoma piceae	K00049	GRHPR; glyoxylate/hydroxypyruvate reductase [EC:1.1.1.79 1.1.1.81]	glycerate dehydrogenase	3	P:metabolic process; F:nucleotide binding; F:cofactor binding	-	N	4	10	22	22	6	0	2	0
gene_2627	6.93790769044566	2.86056290916596	798	Neutral/alkaline nonlysosomal ceramidase	Togninia minima	Ophiostoma piceae	K12349	ASAH2; neutral ceramidase [EC:3.5.1.23]	neutral ceramidase precursor	0	-		N	18	18	40	10	0	0	5	0
gene_2833	14.258095286625	2.64260210237836	95	Calcium channel subunit cch1	Colletotrichum graminicola	Ophiostoma piceae			ion transporter	7	F:calcium ion binding; C:integral to membrane; C:membrane; P:transmembrane transport; P:ion transport; F:ion channel activity; P:transport		N	46	32	55	23	11	0	3	0
gene_2838	1.67338172879875	2.11994158909744	208	Putative uncharacterized protein	 	Ophiostoma piceae				0	-		Y	12	0	12	0	0	0	0	0
gene_287	9.29261475682853	2.45459623719536	388	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_585	0	-		N	26	34	18	18	9	0	0	0
gene_2888	12.1115019295926	3.31300407903416	901	Flavin carrier protein 2 (FAD transporter 2) (TRP-like ion channel FLC2)	Colletotrichum orbiculare	Ophiostoma piceae			transient receptor potential domain containing protein	0	-		Y	18	43	54	26	4	0	0	2
gene_2934	567.953098988204	3.87765174173619	641	Glucoamylase	Aspergillus fumigatus	Ophiostoma piceae	K01178	E3.2.1.3; glucoamylase [EC:3.2.1.3]	glucan -alpha-	3	F:glucan 1,4-alpha-glucosidase activity; P:polysaccharide catabolic process; F:starch binding	EC:3.2.1.3	Y	1121	3090	3058	496	36	0	64	237
gene_2935	79.3138736022592	3.80421803751206	628	Alpha amylase AMYI	Aspergillus terreus	Ophiostoma piceae	K01176	E3.2.1.1, amyA, malS; alpha-amylase [EC:3.2.1.1]	alpha-	4	F:alpha-amylase activity; P:carbohydrate catabolic process; F:calcium ion binding; F:starch binding	EC:3.2.1.1	Y	192	394	450	58	10	0	14	22
gene_3009	3.54928373466407	3.01766673667973	107	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_2599	2	C:intracellular; F:RNA binding	-	N	14	8	34	0	0	0	0	0
gene_3026	368.908758733622	2.02823871188491	272	Probable disulfide bond reductase yfcG (GST-like protein yfcG)	Gaeumannomyces graminis	Ophiostoma piceae			glutathione s-transferase ii	3	F:organic cyclic compound binding; F:helicase activity; 	-	N	806	683	1143	750	230	12	121	224
gene_3111	32.5433047580388	2.46117820181071	659	Lipase 4	Thielavia terrestris	Ophiostoma piceae	K01050	BCHE; cholinesterase [EC:3.1.1.8]	hypothetical protein THITE_125668	1	F:hydrolase activity		N	60	206	105	28	0	0	12	33
gene_3125	24.7218819724923	2.78045693699316	501	Adhesive plaque matrix protein	Daphnia pulex	Daphnia pulex			fp1_myted ame: full=adhesive plaque matrix protein ame: full=foot protein 1 ame: full=mefp1 ame: full=polyphenolic adhesive protein	2	F:structural constituent of cuticle; C:extracellular region		Y	108	99	30	32	14	0	0	10
gene_3261	2.44617267220995	2.5588419877535	516	C6 zinc finger fungal transcription factor	Grosmannia clavigera	Ophiostoma piceae			zinc finger transcription factor	2	F:zinc ion binding; C:intracellular		N	4	0	20	6	0	0	0	0
gene_335	11.890955526219	2.0076100541197	652	Cell wall glycosyl hydrolase	Grosmannia clavigera	Ophiostoma piceae	K08257	E3.2.1.101; mannan endo-1,6-alpha-mannosidase [EC:3.2.1.101]	mannan endo- -alpha-mannosidase dcw1	2	F:mannan endo-1,6-alpha-mannosidase activity; P:carbohydrate catabolic process	EC:3.2.1.101	N	44	58	18	10	3	0	15	3
gene_3407	27.9122604723508	2.0119147813689	206	Scytalone dehydratase	Grosmannia clavigera	Ophiostoma piceae			scytalone dehydratase	2	F:scytalone dehydratase activity; P:melanin biosynthetic process	EC:4.2.1.94	N	82	90	32	52	20	0	12	16
gene_3414	9.09479377227848	2.37822241619788	76	Putative uncharacterized protein	 	Sporothrix schenckii			---NA---	0	-		N	10	44	21	20	4	0	7	0
gene_3452	9.6294206796916	2.34166577448055	566	Candidapepsin-4	Grosmannia clavigera	Ophiostoma piceae			candidapepsin-4 precursor	1	F:peptidase activity	-	Y	30	23	21	20	4	0	6	2
gene_349	8.92688460020114	2.24526681608069	1 280	RhoGAP	Grosmannia clavigera	Ophiostoma piceae			group protein	2	P:signal transduction; C:intracellular		N	28	8	22	22	0	0	4	8
gene_3496	8.05763232752571	2.08791847412773	830	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			phosphotransferase-like protein	2	F:transferase activity, transferring phosphorus-containing groups; F:transferase activity		N	14	26	20	18	2	0	6	4
gene_3503	4.01870655991782	2.25653166700236	137	Putative uncharacterized protein	Gaeumannomyces graminis	Sporothrix schenckii			hypothetical protein GGTG_05480	0	-		N	18	8	12	6	0	0	4	0
gene_3506	4.15101805997374	2.18980573991039	532	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_3363	3	F:molecular_function; P:biological_process; C:cellular_component		N	15	30	12	0	2	0	2	0
gene_3522	1.79373603676534	2.19769937550322	473	Putative uncharacterized protein	 	Ophiostoma piceae			---NA---	0	-		N	10	2	15	0	0	0	0	0
gene_3533	16.3919411056609	2.5902410251087	320	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_7834	1	P:mycelium development	-	N	51	72	45	20	10	0	6	2
gene_3543	3.90281795214156	2.10246199341748	177	Altered inheritance of mitochondria protein 1	Myceliophthora thermophila	Ophiostoma piceae			bola-like protein	0	-		N	12	8	6	10	2	0	2	0
gene_3581	6.14097304877187	3.16760844122266	249	Putative uncharacterized protein	 	Ophiostoma piceae			---NA---	0	-		N	31	26	8	8	0	0	0	2
gene_3638	23.5040808611238	2.44412452146485	320	Rds1p-like stress response protein	Grosmannia clavigera	Ophiostoma piceae			ferritin ribonucleotide reductase-like-protein	3	F:oxidoreductase activity; P:oxidation-reduction process; F:transition metal ion binding	-	Y	104	70	110	7	7	0	15	10
gene_3669	33.9800855636232	2.67092677471299	659	Alkaline phosphatase	Pestalotiopsis fici	Ophiostoma piceae	K01077	E3.1.3.1, phoA, phoB; alkaline phosphatase [EC:3.1.3.1]	alkaline phosphatase	2	P:dephosphorylation; F:phosphatase activity	EC:3.1.3.0	Y	128	40	84	72	12	0	0	26
gene_3691	5.19019225689921	2.28682115828646	367	2og-Fe(II) oxygenase superfamily protein 	Colletotrichum graminicola	Ophiostoma piceae			2og-fe oxygenase superfamily protein	3	F:iron ion binding; F:oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors; P:oxidation-reduction process	EC:1.14.11.0	N	21	0	13	13	0	0	6	0
gene_3704	23.061268465314	2.31585513236048	576	Glycoside hydrolase family 17	Colletotrichum gloeosporioides	Ophiostoma piceae	K08235	E2.4.1.207; xyloglucan:xyloglucosyl transferase [EC:2.4.1.207]	glycoside hydrolase family 16 protein	1	F:hydrolase activity	-	Y	88	65	74	25	12	0	12	9
gene_3714	2.67310838956998	2.6658968028264	508	Beta-1,3-glucan-binding protein (GBP)	Grosmannia clavigera	Ophiostoma piceae			beta- -glucan-binding protein	2	P:cellular nitrogen compound biosynthetic process; F:hydrolase activity	-	N	14	0	18	3	0	0	0	0
gene_3720	35.4437567403902	2.7920507055019	284	Tetrahydroxynaphthalene reductase	Grosmannia clavigera	Ophiostoma floccosum	K00059	fabG; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]	tetrahydroxynaphthalene reductase	3	F:oxidoreductase activity; P:oxidation-reduction process; F:nucleotide binding	-	N	122	109	116	49	9	0	28	4
gene_3741	13.9248039498268	2.23694302341132	351	Scp-like extracellular protein	Grosmannia clavigera	Ophiostoma piceae			scp-like extracellular protein	3	C:extracellular region; F:molecular_function; P:biological_process		Y	50	54	43	12	4	0	6	10
gene_3774	20.0878515500025	2.37987762583399	73	Putative uncharacterized protein	 	Ophiostoma piceae			---NA---	0	-		N	54	43	59	41	10	0	9	8
gene_3786	7.49564952913751	2.14434188549154	877	GTP-binding protein 2 (GTP-binding-like protein 2)	Grosmannia clavigera	Sporothrix schenckii			gtp-binding protein	5	F:GTP binding; F:GTPase activity; P:GTP catabolic process; F:nucleotide binding; C:cellular_component		N	8	46	24	10	4	0	4	2
gene_3795	27.5624011946201	2.24250432039246	237	Putative uncharacterized protein	 	Ophiostoma piceae			---NA---	0	-		Y	96	72	112	27	9	0	17	17
gene_3818	2.7418040994642	2.69679691217847	616	Putative uncharacterized protein	 	Ophiostoma piceae			---NA---	0	-		Y	18	2	20	0	0	0	0	0
gene_3830	4.21033625935397	2.32165425433272	420	Branched-chain-amino-acid aminotransferase	Grosmannia clavigera	Ophiostoma piceae			branched-chain amino acid aminotransferase	4	F:L-leucine transaminase activity; P:branched chain family amino acid biosynthetic process; F:L-isoleucine transaminase activity; F:L-valine transaminase activity	EC:2.6.1.42	N	10	26	14	4	0	0	4	0
gene_3850	1.87469144839573	2.2477400714277	680	Laccase-2 (Benzenediol:oxygen oxidoreductase 2)	Neurospora tetrasperma	Ophiostoma piceae			multicopper oxidase	1	F:metal ion binding	-	Y	10	8	10	0	0	0	0	0
gene_3907	5.57470813847812	2.29252307989443	233	Signal peptidase complex subunit 2	Magnaporthe oryzae	Ophiostoma piceae			microsomal signal peptidase 25 kda subunit	4	C:signal peptidase complex; C:integral to membrane; F:peptidase activity; P:signal peptide processing		N	22	26	22	2	0	0	2	4
gene_3913	2.25848258904472	2.46387487451555	438	Aspartic endopeptidase	Grosmannia clavigera	Ophiostoma piceae			aspartic endopeptidase	1	F:peptidase activity	-	N	12	8	2	4	0	0	0	0
gene_3961	14.0546758032883	2.04611455258781	681	Tyrosine-protein phosphatase CDC14	Grosmannia clavigera	Ophiostoma piceae	K06639	CDC14; cell division cycle 14 [EC:3.1.3.48]	dual specificity phosphatase	4	F:protein tyrosine phosphatase activity; F:protein tyrosine/serine/threonine phosphatase activity; P:regulation of exit from mitosis; P:peptidyl-tyrosine dephosphorylation	EC:3.1.3.48	N	46	47	59	10	4	0	6	13
gene_398	9.28361793835206	2.25966930954919	89	Putative uncharacterized protein	Gaeumannomyces graminis	Ophiostoma piceae			hypothetical protein, variant	3	F:molecular_function; P:biological_process; C:cellular_component		N	35	31	25	11	7	0	0	4
gene_4204	36.8351447512686	2.30379386468306	225	Tetraspanin	Grosmannia clavigera	Ophiostoma piceae			tetraspanin	7	P:carbohydrate metabolic process; C:integral to membrane; P:modulation by symbiont of entry into host; F:catalytic activity; P:entry into host; P:pathogenesis; F:cation binding	-	N	106	59	172	54	21	0	14	19
gene_4228	4.02976835260611	2.66690021042962	186	Phospholipase d1	Scedosporium apiospermum	Sporothrix schenckii			gpi anchored serine-threonine rich protein	2	F:catalytic activity; P:metabolic process	-	Y	8	26	23	2	0	0	2	0
gene_4291	4.8076069395573	2.23025616099396	558	4-coumarate-CoA ligase	Pestalotiopsis fici	Ophiostoma piceae			amp dependent	1	F:catalytic activity	-	N	6	28	8	10	1	0	2	2
gene_4294	19.1228137132667	2.40831558400833	288	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_7019	0	-		N	70	44	62	27	7	0	6	12
gene_4299	73.3723730712584	2.10593259876905	201	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			extracellular serine-rich protein	0	-		Y	190	187	230	120	37	0	55	37
gene_4306	15.9257545157501	2.08838612277469	809	Glycosyl hydrolase, family 31	Cladophialophora carrionii	Cladophialophora carrionii	K01811	yicI; alpha-D-xyloside xylohydrolase [EC:3.2.1.177]	o-glycosyl hydrolase	7	F:hydrolase activity, hydrolyzing O-glycosyl compounds; F:carbohydrate binding; F:hydrolase activity; P:carbohydrate metabolic process; F:catalytic activity; P:metabolic process; F:hydrolase activity, acting on glycosyl bonds		Y	28	96	26	22	6	0	10	10
gene_4310	159.585528790197	2.77590411736521	613	Major facilitator superfamily transporter peptide	Grosmannia clavigera	Ophiostoma piceae	K03305	TC.POT; proton-dependent oligopeptide transporter, POT family	general substrate transporter	3	P:transport; C:membrane; F:transporter activity	-	N	602	144	595	286	82	0	46	54
gene_4312	52.5456526381893	2.12609941432817	385	Methyltransferase domain-containing protein	Colletotrichum gloeosporioides	Ophiostoma piceae			methyltransferase domain-containing protein	1	F:transferase activity	-	N	108	126	189	96	12	2	40	26
gene_4334	3.87901695379255	3.13060703533637	216	Putative uncharacterized protein	Trichoderma reesei	Ophiostoma piceae			predicted protein	3	F:molecular_function; P:biological_process; C:cellular_component		N	12	20	30	0	0	0	0	0
gene_4346	3.38026916014713	2.95615673038692	261	Putative uncharacterized protein	Fusarium pseudograminearum	Ophiostoma piceae			acyl- n-acyltransferase	2	F:transferase activity; F:N-acetyltransferase activity		N	0	12	12	12	0	0	0	0
gene_4377	5.5104231431479	2.22774843464759	1 206	Putative uncharacterized protein	Togninia minima	Ophiostoma piceae			pathway-specific nitrogen regulator	2	F:molecular_function; C:cellular_component		N	17	13	18	10	0	0	0	6
gene_4404	9.38428287521201	2.88642694895689	1 103	Cell morphogenesis protein	Grosmannia clavigera	Ophiostoma piceae			ram signaling pathway protein	2	P:biological_process; C:cellular_component		N	24	58	15	14	0	0	8	0
gene_4420	6.3428390114279	3.28258996961665	478	Putative uncharacterized protein	Colletotrichum sublineola	Ophiostoma piceae			---NA---	0	-		Y	12	71	16	0	0	0	2	0
gene_4459	42.3335126172959	2.02904691848198	304	GPI anchored serine-threonine rich protein	Grosmannia clavigera	Ophiostoma piceae			gpi anchored serine-threonine rich protein	0	-		Y	129	118	134	54	18	0	39	21
gene_4632	6.9535585556385	2.32214248880949	714	G2/mitotic-specific cyclin-4	Grosmannia clavigera	Ophiostoma piceae			g2 mitotic-specific cyclin	1	C:nucleus	-	N	40	13	24	4	2	0	4	2
gene_4649	35.5993731641285	2.50682646121313	1 834	Minor extracellular protease vpr	Colletotrichum fioriniae	Ophiostoma piceae	K14647	vpr; minor extracellular serine protease Vpr [EC:3.4.21.-]	minor extracellular protease vpr	1	F:serine-type peptidase activity	-	Y	124	42	181	46	16	0	12	18
