Gene_ID	Level	logFC	Size..aa.	Final.Description	X.1st.BLASTp.hit...if.blank..see.next.column.	X.1st.BLASTp.hit...blank.are.real.orphans..	KO.	Name.KEGG	Annotation	X.GO.Terms	GO.Terms	Enzyme.Code	SignalP	E_T1_Rep1	E_T1_Rep2	E_T1_Rep3	E_T1_Rep4	E_T2_Rep1	E_T2_Rep2	E_T2_Rep3	E_T2_Rep4
gene_5235	14.542040040383	-2.04497138178889	376	Ribosomal biogenesis protein gar2	Grosmannia clavigera	Ophiostoma piceae	K14838	NOP15; nucleolar protein 15	ribosomal biogenesis protein gar2	2	F:nucleic acid binding; F:nucleotide binding		N	2	7	17	6	18	6	19	32
gene_532	5.96557209548109	-2.98965989794177	548	Sulfite efflux pump SSU1	Nectria haematococca	Ophiostoma piceae			flavodoxin and radical sam domain containing protein	6	C:integral to membrane; F:oxidoreductase activity; F:iron-sulfur cluster binding; P:oxidation-reduction process; P:transmembrane transport; F:FMN binding	-	N	2	0	2	0	0	6	2	8
gene_5345	3.1504025527035	-2.38417907421897	501	Probable tRNA threonylcarbamoyladenosine biosynthesis protein pgp1, mitochondrial	Grosmannia clavigera	Ophiostoma piceae	K01409	gcp, QRI7, OSGEPL; O-sialoglycoprotein endopeptidase [EC:3.4.24.57]	glycoprotease family protein	2	P:proteolysis; F:peptidase activity		N	2	0	0	0	14	0	0	12
gene_5425	33.8240925174671	-2.13090356633581	349	Extracellular endoglucanase	Grosmannia clavigera	Ophiostoma piceae			glycoside hydrolase family 5 protein	3	P:carbohydrate metabolic process; F:cellulase activity; F:cation binding	EC:3.2.1.4	Y	2	93	4	0	34	4	91	114
gene_547	95.2800855685872	-2.53011420547414	398	1,4-beta-D-glucan cellobiohydrolase C	Sordaria macrospora	Ophiostoma piceae	K01179	E3.2.1.4; endoglucanase [EC:3.2.1.4]	exoglucanase 3 precursor	2	F:cellulose 1,4-beta-cellobiosidase activity; P:cellulose catabolic process	EC:3.2.1.91	Y	6	171	23	10	24	0	318	459
gene_5489	2.8526249936956	-2.40556597974398	186	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_4050	0	-		N	0	0	2	0	12	0	7	6
gene_5664	4.18670384390148	-2.16305027267053	424	Putative uncharacterized protein	Verticillium dahliae	Ophiostoma piceae			hypothetical protein VDAG_07886	2	F:binding; P:transcription, DNA-dependent	-	N	0	0	8	0	0	4	0	6
gene_5828	25.0557892490467	-2.13294433035268	111	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			mitochondrial carrier protein pet8	3	C:integral to membrane; C:membrane; P:transport		N	10	26	11	8	27	6	48	78
gene_5888	3.14498103472449	-2.53016810981249	444	Flavohemoprotein (Flavohemoglobin/Nitric oxide dioxygenase)	Neurospora crassa	Ophiostoma piceae	K05916	hmp, YHB1; nitric oxide dioxygenase [EC:1.14.12.17]	oxidoreductase-like protein	9	P:oxidation-reduction process; F:oxygen transporter activity; F:heme binding; F:oxidoreductase activity; F:oxygen binding; P:oxygen transport; F:iron ion binding; P:transport; C:cellular_component		N	0	0	2	0	4	0	16	10
gene_6	8.30117366908	-4.13769592530175	487	N amino acid transport system protein (Methyltryptophan resistance protein)	Grosmannia clavigera	Ophiostoma piceae			amino acid transporter	1	C:integral to membrane	-	N	0	0	0	0	4	8	6	10
gene_6082	11.5148020317157	-3.70434079586188	572	Efflux pump antibiotic resistance protein	Grosmannia clavigera	Ophiostoma piceae			major facilitator superfamily transporter	2	P:transmembrane transport; C:integral to membrane	-	N	0	1	0	2	2	12	8	8
gene_6105.1	6.375476801536	-2.15726984723883	377	3-isopropylmalate dehydrogenase (Beta-IPM dehydrogenase)	Gaeumannomyces graminis	Ophiostoma piceae	K00052	leuB; 3-isopropylmalate dehydrogenase [EC:1.1.1.85]	3-isopropylmalate dehydrogenase	10	F:NAD binding; F:3-isopropylmalate dehydrogenase activity; P:branched-chain amino acid biosynthetic process; C:cytoplasm; P:oxidation-reduction process; F:oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor; F:oxidoreductase activity; P:leucine biosynthetic process; F:metal ion binding; F:magnesium ion binding	EC:1.1.1.85	N	2	4	2	2	4	6	2	2
gene_6144	29.5668626422801	-2.52775032023523	274	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_1203	1	P:transport	-	N	8	6	6	16	42	8	113	36
gene_6250	4.43624527460674	-2.31948450312048	723	Zinc finger CCCH domain-containing protein 45 (OsC3H45)	Nectria haematococca	Ophiostoma piceae			yt521-b-like splicing factor	2	F:nucleic acid binding; F:nucleotide binding		N	2	4	0	0	11	2	9	3
gene_647	118.39473253049	-2.50471691086324	456	Exoglucanase 1 	Pestalotiopsis fici	Ophiostoma piceae			glycoside hydrolase family 7 protein	4	C:extracellular region; F:cellulose binding; F:cellulose 1,4-beta-cellobiosidase activity; P:cellulose catabolic process	EC:3.2.1.91	Y	20	174	32	21	26	0	503	479
gene_6507	30.4629480620582	-2.46207010587384	335	Short-chain dehydrogenase/reductase family 16C member 6	Nectria haematococca	Nectria haematococca	K15734	SDR16C5; all-trans-retinol dehydrogenase (NAD+) [EC:1.1.1.105]	short chain dehydrogenase reductase	3	F:oxidoreductase activity; P:oxidation-reduction process; F:nucleotide binding	-	N	0	50	9	5	16	2	24	190
gene_6508	7.74271353941469	-2.9992946774709	151	Putative uncharacterized protein	Togninia minima	Ophiostoma piceae			transcription factor cmr1	0	-		N	0	6	2	0	6	0	8	54
gene_6509	95.8140141683994	-3.37232647758398	1 472	Copper-transporting ATPase 1	Fusarium oxysporum	Fusarium oxysporum			hypothetical protein FOXB_13819	12	C:integral to membrane; C:membrane; P:metal ion transport; P:cation transport; F:ATPase activity, coupled to transmembrane movement of ions, phosphorylative mechanism; F:hydrolase activity; F:nucleotide binding; F:ATP binding; F:catalytic activity; F:metal ion binding; P:metabolic process; F:hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances		N	2	68	32	12	22	0	18	776
gene_6531	35.3998167661797	-2.09852595269532	429	FAD binding domain protein	Colletotrichum gloeosporioides	Colletotrichum gloeosporioides			fad binding domain protein	4	P:oxidation-reduction process; F:oxidoreductase activity; P:metabolic process; F:monooxygenase activity		N	13	68	10	4	15	0	36	222
gene_6538	9.06807629038517	-2.60613419256265	176	Free methionine-R-sulfoxide reductase (GAF domain-containing protein YKL069W)	Cordyceps militaris	Ophiostoma piceae	K08968	E1.8.4.14; L-methionine (R)-S-oxide reductase [EC:1.8.4.14]	gaf domain nucleotide-binding protein	5	F:methionine-R-sulfoxide reductase activity; C:cytoplasm; P:mycelium development; C:nucleus; P:cellular response to oxidative stress	-	N	7	0	6	0	4	8	2	12
gene_6640	1.78183662967053	-2.19019550415889	168	Putative uncharacterized protein	Fusarium oxysporum	Ophiostoma piceae			glutathione-dependent formaldehyde-activating enzyme	2	F:carbon-sulfur lyase activity; P:metabolic process	-	N	0	0	0	0	0	0	10	8
gene_6648	3.87161440327275	-2.65567079431862	326	Aldehyde reductase 1	Grosmannia clavigera	Ophiostoma piceae	K00002	E1.1.1.2, adh; alcohol dehydrogenase (NADP+) [EC:1.1.1.2]	aldehyde reductase i	1	F:oxidoreductase activity	-	N	2	0	0	0	6	0	30	2
gene_6684	7.77331401029632	-2.22855648838162	560	Uncharacterized transporter C1529.01	Fusarium fujikuroi	Fusarium fujikuroi			major facilitator superfamily protein	2	P:transmembrane transport; C:integral to membrane	-	N	0	9	9	0	0	6	18	4
gene_6997	2.2301212454001	-2.0978596947678	331	Putative uncharacterized protein	Pyrenophora tritici-repentis	Ophiostoma piceae			predicted protein	0	-		N	0	0	2	0	16	0	2	0
gene_7118	5.64134656715031	-2.80442098241469	189	Putative uncharacterized protein	Colletotrichum graminicola	Ophiostoma piceae			hypothetical protein GLRG_10997	0	-		N	0	0	0	2	4	6	2	0
gene_7150	11.7375099689029	-2.22623076733144	454	Putative uncharacterized protein	Colletotrichum fioriniae	Ophiostoma piceae			hypothetical protein MGG_13953	3	F:molecular_function; P:biological_process; C:cellular_component		Y	10	4	6	2	2	8	20	16
gene_7338	23.1813302490152	-2.24529162804626	667	Zinc finger protein rsv2 (Required for stationary phase viability protein 2)	Grosmannia clavigera	Ophiostoma piceae	K03034	RPN4; 26S proteasome regulatory subunit N4	c2h2 transcription factor	3	F:zinc ion binding; C:intracellular; F:nucleic acid binding		N	10	20	30	0	25	10	28	57
gene_7386	3.21903960860014	-2.56009468633159	1 476	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_7232	3	F:GTP binding; F:GTPase activity; P:GTP catabolic process		N	0	0	2	0	13	0	12	4
gene_7387	2.54553242984303	-2.60669446680038	136	Putative uncharacterized protein	Cordyceps militaris	Ophiostoma piceae			hypothetical protein CCM_00212	0	-		N	0	0	0	0	2	0	18	6
gene_7531	24.6904731750162	-2.51830270581395	258	Putative uncharacterized protein	Thielavia terrestris	Ophiostoma piceae			hypothetical protein THITE_2053343	4	C:extracellular region; P:carbohydrate metabolic process; F:cellulose binding; F:hydrolase activity, hydrolyzing O-glycosyl compounds	EC:3.2.1.0	Y	8	20	20	2	6	0	77	126
gene_755	2.38884742005151	-2.53049400724343	155	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			---NA---	0	-		N	0	0	0	0	4	0	2	16
gene_7729	3.67331810666095	-2.07886133879556	157	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_1686	0	-		N	4	1	0	0	0	4	2	0
gene_7953	31.1290196960218	-3.90834662378802	517	Beta-1,3-glucan-binding protein (GBP)	Fusarium oxysporum	Ophiostoma piceae			glucan -beta-glucosidase	1	F:hydrolase activity	-	N	10	0	12	0	38	18	96	21
gene_7955	8.61756332958629	-3.74571528299133	1 101	Dynamin 1-like protein	Fusarium fujikuroi	Ophiostoma piceae	K17065	DNM1L; dynamin 1-like protein [EC:3.6.5.5]		0	-		N	2	0	0	0	6	8	12	4
gene_800	8.50609552748556	-3.46920582692738	461	Mitochondrial carrier protein MTM1 (Manganese trafficking factor for mitochondrial SOD2)	Togninia minima	Ophiostoma piceae	K15119	SLC25A39_40; solute carrier family 25, member 39/40	solute carrier family 25 member 40	2	P:transport; C:integral to membrane	-	N	2	2	0	0	9	6	6	18
gene_8384	13.3744478326502	-2.51220492641174	646	Cystathionine gamma-synthase (O-succinylhomoserine (thiol)-lyase)	Grosmannia clavigera	Ophiostoma piceae	K01739	E2.5.1.48, metB; cystathionine gamma-synthase [EC:2.5.1.48]	cystathionine gamma-synthase	1	F:catalytic activity	-	N	4	6	17	0	10	8	12	30
gene_8389	30.689222012243	-2.41237520761962	574	Pyruvate decarboxylase	Grosmannia clavigera	Ophiostoma piceae	K01568	E4.1.1.1, pdc; pyruvate decarboxylase [EC:4.1.1.1]	pyruvate decarboxylase	4	P:metabolic process; F:catalytic activity; F:magnesium ion binding; F:thiamine pyrophosphate binding	-	N	10	0	48	6	82	8	65	38
gene_8549	2.26098781576352	-2.11476693707829	779	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_5897	6	P:regulation of transcription, DNA-dependent; P:transcription from RNA polymerase II promoter; F:sequence-specific DNA binding RNA polymerase II transcription factor activity; F:zinc ion binding; P:regulation of transcription from RNA polymerase II promoter; C:nucleus		N	0	0	2	0	16	0	0	2
gene_8586	21.1397004197377	-2.34287519343935	499	3-hydroxybenzoate 6-hydroxylase	Fusarium oxysporum	Fusarium oxysporum			salicylate hydroxylase	2	F:oxidoreductase activity; P:oxidation-reduction process	-	N	12	19	12	2	4	0	106	72
gene_8597	3.69485291638568	-2.43725088127941	235	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_4740	1	P:response to stress		N	0	2	2	0	0	4	4	0
gene_94	22.7064750576511	-2.96476808364919	121	Putative uncharacterized protein	Aureobasidium subglaciale	Ophiostoma piceae			hypothetical protein MGG_04873	3	F:molecular_function; P:biological_process; C:cellular_component		N	18	4	8	0	4	22	14	16
