Gene_ID	Level	logFC	Size..aa.	Final.Description	X.1st.BLASTp.hit...if.blank..see.next.column.	X.1st.BLASTp.hit...blank.are.real.orphans..	KO.	Name.KEGG	Annotation	X.GO.Terms	GO.Terms	Enzyme.Code	SignalP	E_T1_Rep1	E_T1_Rep2	E_T1_Rep3	E_T1_Rep4	E_T2_Rep1	E_T2_Rep2	E_T2_Rep3	E_T2_Rep4
gene_1020.1	20.9388975180918	-0.352417406222824	439	Mitogen-activated protein kinase maf1	Grosmannia clavigera	Ophiostoma piceae				4	F:kinase activity; P:negative regulation of transcription from RNA polymerase III promoter; P:phosphorylation; C:nucleus		N	17	62	24	16	39	4	27	14
gene_1021	14.8753549605794	1.46207071127684	987	Vacuolar fusion protein CCZ1 homolog	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_887	0	-		N	23	54	24	28	10	0	18	8
gene_1022	0	0	177	Expansin family protein	Grosmannia clavigera	Ophiostoma piceae			allergen asp f7	0	-		N	0	0	0	0	0	0	0	0
gene_1023	1.60980846525161	-0.812856759932218	294	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			nicotinamide n-	3	F:methyltransferase activity; F:transferase activity; P:methylation		N	0	0	8	0	2	0	10	0
gene_1024	15.412427651172	0.742032847994926	1 389	Axial budding pattern protein 2 (Bud site selection protein 10)	Grosmannia clavigera	Ophiostoma piceae			transmembrane glycoprotein	1	F:catalytic activity	-	Y	32	20	64	14	21	0	22	10
gene_1025	15.0788660272627	0.68103417877415	417	Putative uncharacterized protein	 	Ophiostoma piceae			---NA---	0	-		N	32	37	51	10	34	0	17	0
gene_1026	116.978178016594	-0.57856430731914	827	Cell division control protein 48	Grosmannia clavigera	Ophiostoma piceae	K13525	VCP, CDC48; transitional endoplasmic reticulum ATPase	cell division control protein 48	4	F:nucleoside-triphosphatase activity; F:ATP binding; P:mycelium development; P:cell division	EC:3.6.1.15	N	167	184	251	47	130	32	209	97
gene_1027	3.68420536380128	0.322248392200312	165	Putative uncharacterized protein	Grosmannia clavigera	Grosmannia clavigera			hypothetical protein CMQ_549	0	-		N	9	4	8	4	8	0	2	4
gene_1028	56.5012451051008	0.947276515819911	623	Protein phosphatase PP2A regulatory subunit A	Grosmannia clavigera	Ophiostoma piceae	K03456	PPP2R1; protein phosphatase 2 (formerly 2A), regulatory subunit A	protein phosphatase pp2a regulatory subunit a	2	P:biological_process; C:cellular_component		N	108	104	164	78	45	2	77	47
gene_1029	30.028083484881	0.356865388056376	1 004	Phosphoinositide 3-phosphatase (3.1.3.64)	Grosmannia clavigera	Ophiostoma piceae	K01104	E3.1.3.48; protein-tyrosine phosphatase [EC:3.1.3.48]	protein phosphatase	2	P:dephosphorylation; F:phosphatase activity	EC:3.1.3.0	N	38	92	76	24	53	0	26	40
gene_103	5.03332181523884	0.359390625831796	1 137	Putative uncharacterized protein	Scedosporium apiospermum	Scedosporium apiospermum			hypothetical protein NECHADRAFT_82115	0	-		N	20	0	4	6	4	0	4	12
gene_1030	6.81364680665273	-0.117555735126397	415	Diaminohydroxyphosphoribosylamino-pyrimidine deaminase (DRAP deaminase)	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_393	0	-		N	2	18	18	6	14	0	18	2
gene_1031	86.1805006226767	0.117629183747946	695	Long-chain-fatty-acid-CoA ligase 1 (Fatty acid activator 1)	Grosmannia clavigera	Ophiostoma piceae	K01897	ACSL, fadD; long-chain acyl-CoA synthetase [EC:6.2.1.3]	long-chain-fatty-acid- ligase 1	2	F:ligase activity; P:metabolic process	-	N	114	277	142	65	76	12	102	125
gene_1032	52.1694776285158	0.229974660214866	190	Calcium-binding protein NCS-1	Togninia minima	Ophiostoma piceae			neuronal calcium sensor 1	5	C:Golgi membrane; F:enzyme activator activity; F:calcium ion binding; P:regulation of signal transduction; P:positive regulation of catalytic activity	-	N	95	110	99	49	69	4	66	60
gene_1033	7.62758168891074	1.56331760196931	920	Cell division control protein 45 homolog (Suppressor of nda4 protein)	Grosmannia clavigera	Ophiostoma piceae	K06628	CDC45; cell division control protein 45	cell division control protein	3	P:translational initiation; P:DNA-dependent DNA replication initiation; F:translation initiation factor activity	-	N	9	20	24	16	4	0	13	0
gene_1034	11.2781316474957	0.856005280493726	612	DNA replication initiation factor cdc45	Grosmannia clavigera	Ophiostoma piceae			dna replication initiation factor cdc45	6	P:translational initiation; P:DNA-dependent DNA replication initiation; F:translation initiation factor activity; F:molecular_function; P:biological_process; C:cellular_component		N	14	52	38	6	16	0	14	6
gene_1035	20.6688620610955	0.543483477015671	485	Ribose-phosphate diphosphokinase	Togninia minima	Ophiostoma piceae	K00948	PRPS, prsA; ribose-phosphate pyrophosphokinase [EC:2.7.6.1]	ribose-phosphate pyrophosphokinase 1	6	P:nucleotide biosynthetic process; F:kinase activity; P:phosphorylation; P:ribonucleoside monophosphate biosynthetic process; F:ribose phosphate diphosphokinase activity; F:magnesium ion binding	EC:2.7.6.1	N	60	48	56	8	12	0	29	39
gene_1036	4.97967315433629	0.348783096377795	378	Pre-mRNA-splicing factor CWC26	Grosmannia clavigera	Ophiostoma piceae	K13106	BUD13, CWC26; pre-mRNA-splicing factor CWC26	pre-mrna-splicing factor cwc26	2	P:mycelium development; C:intracellular part	-	N	10	4	8	8	10	0	10	0
gene_1037	31.6944545281676	1.54805891071216	195	Putative uncharacterized protein	Colletotrichum fioriniae	Ophiostoma piceae			4-carboxymuconolactone decarboxylase family protein	2	P:oxidation-reduction process; F:peroxiredoxin activity	EC:1.11.1.15	N	68	90	110	40	32	0	22	18
gene_1038	81.6638029642231	1.26252856801274	531	Uncharacterized transporter C1683.12	Togninia minima	Ophiostoma piceae			pantothenate transporter liz1	2	P:transmembrane transport; C:integral to membrane	-	N	106	379	253	73	24	8	119	35
gene_1039	2.05425667086923	-1.68810017150945	567	Amino acid permease	Grosmannia clavigera	Ophiostoma piceae			amino acid permease	3	C:integral to membrane; F:amino acid transmembrane transporter activity; P:amino acid transmembrane transport	-	N	0	0	4	0	6	0	12	0
gene_104	45.4858547593089	-0.468531203262931	148	Hypersensitive response-inducing protein	Eutypa lata	Ophiostoma ulmi			22kda glycoprotein	0	-		Y	50	114	33	37	38	14	64	48
gene_1040	0.0558399188334378	0.152741353603954	481	Putative uncharacterized protein	 	Ophiostoma piceae			hypothetical protein PCYB_083920	0	-		Y	0	0	1	0	0	0	0	0
gene_1041	6.86516669371832	0.634705802940084	181	Protein orm1	Togninia minima	Ophiostoma piceae			protein orm1	4	C:integral to membrane; C:SPOTS complex; P:response to unfolded protein; P:negative regulation of sphingolipid biosynthetic process	-	N	16	13	18	7	15	0	6	2
gene_1042	14.8407873616065	0.72269017467033	717	Arginine methyltransferase-interacting ring finger protein	Grosmannia clavigera	Ophiostoma piceae			arginine methyltransferase-interacting ring finger protein	7	F:nucleic acid binding; F:methyltransferase activity; F:transferase activity; F:zinc ion binding; P:methylation; P:biological_process; C:cellular_component		N	24	42	48	13	11	0	24	18
gene_1043	1.25387790310474	0.508781115850157	985	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_1727	3	F:molecular_function; P:biological_process; C:cellular_component		N	0	10	4	0	0	0	0	4
gene_1044	25.3039695390696	-0.253909970258626	1 289	Osmolarity two-component system protein sln1	Grosmannia clavigera	Ophiostoma piceae	K11231	SLN1; osomolarity two-component system, sensor histidine kinase SLN1 [EC:2.7.13.3]	histidine kinase group protein	9	F:two-component response regulator activity; P:two-component signal transduction system (phosphorelay); P:intracellular signal transduction; C:intracellular; P:regulation of transcription, DNA-dependent; P:signal transduction by phosphorylation; F:ATP binding; F:two-component sensor activity; C:membrane	-	N	25	54	54	19	40	0	46	44
gene_1045	0.107564971193758	-0.281110599603994	629	Putative uncharacterized protein	 	Ophiostoma piceae			---NA---	0	-		N	0	0	0	0	0	0	0	1
gene_1046	37.5571364016861	0.625378174241917	440	DUF124 domain containing protein	Grosmannia clavigera	Ophiostoma piceae			duf124 domain containing protein	0	-		N	97	123	85	16	64	0	39	31
gene_1047	10.5871873642687	-0.759721489502741	277	Peptide alpha-n-acetyltransferase	Grosmannia clavigera	Ophiostoma piceae			peptide alpha-n-acetyltransferase	1	F:transferase activity		N	4	18	19	8	4	6	4	12
gene_1048	10.4810448679539	2.41067073692581	756	Asparagine amidase a	Grosmannia clavigera	Ophiostoma piceae			peptide-n4-(n-acetyl-beta-glucosaminyl)asparagine amidase a	3	F:molecular_function; P:biological_process; C:cellular_component		N	36	10	46	18	2	0	0	10
gene_1049	1.60702730952701	-0.116899091685447	528	Maltose permease MAL61	Fusarium oxysporum	Fusarium oxysporum			maltose permease mal61	7	F:transmembrane transporter activity; C:integral to membrane; C:membrane; P:transmembrane transport; P:transport; F:transporter activity; P:carbohydrate transport		N	2	6	4	0	2	0	2	4
gene_105	14.0624547727721	0.517870159161047	1 202	Heat repeat protein	Grosmannia clavigera	Ophiostoma piceae			heat repeat protein	0	-		N	26	19	43	16	10	0	30	16
gene_1050	0.368526744048186	-0.79664217881704	928	Alpha-rhamnosidase Eurofung	Fusarium oxysporum	Ophiostoma piceae			tpa: alpha-rhamnosidase	1	F:catalytic activity	-	N	0	0	0	0	0	0	4	0
gene_1051	28.2861114881694	-0.152377331330014	287	Fumarylacetoacetate hydrolase domain-containing protein 2	Scedosporium apiospermum	Ophiostoma piceae	K01828	E5.3.3.-; unclassified metabolism	fumarylacetoacetate hydrolase	6	P:transcription, DNA-dependent; P:mycelium development; F:DNA binding; F:hydrolase activity; C:nucleus; F:zinc ion binding	-	N	26	116	58	6	15	0	78	55
gene_1052	28.0801850827793	1.52377002820177	695	Copper amine oxidase 1	Togninia minima	Ophiostoma piceae	K00276	E1.4.3.21, AOC2, AOC3, tynA; primary-amine oxidase [EC:1.4.3.21]	copper amine oxidase 1	5	F:copper ion binding; P:oxidation-reduction process; F:quinone binding; F:primary amine oxidase activity; P:amine metabolic process	EC:1.4.3.21	N	74	45	147	24	16	0	20	30
gene_1053	5.57897856853835	0.0693987822327969	616	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			c6 zinc finger domain containing protein	7	F:molecular_function; P:biological_process; C:cellular_component; P:transcription, DNA-dependent; F:zinc ion binding; C:nucleus; F:DNA binding		N	10	32	2	0	2	2	10	0
gene_1054	9.12686456887024	-0.35750470707748	611	tRNA pseudouridine synthase	Grosmannia clavigera	Ophiostoma piceae	K06173	truA, PUS1; tRNA pseudouridine38-40 synthase [EC:5.4.99.12]	trna pseudouridine synthase	1	P:RNA modification	-	N	20	8	32	0	8	2	8	18
gene_1055	8.31027022469768	0.852673105252248	932	Ankyrin repeat-containing protein	Trichomonas vaginalis	Ophiostoma piceae	K10380	ANK; ankyrin		0	-		N	23	28	16	6	4	0	16	8
gene_1055.1	13.3311169182206	2.12214687734703	339	Metacaspase	Grosmannia clavigera	Ophiostoma piceae			mca1_debha ame: full=metacaspase-1 flags: precursor	5	P:proteolysis; F:cysteine-type endopeptidase activity; F:RNA polymerase II transcription cofactor activity; C:mediator complex; P:regulation of transcription from RNA polymerase II promoter		N	29	40	48	22	2	0	14	6
gene_1056	5.45733098334615	2.17297291591821	389	Fructosyl peptide oxidase (Octopine oxidase subunit B)	Grosmannia clavigera	Ophiostoma piceae			glycine d-amino acid deaminating	2	P:oxidation-reduction process; F:oxidoreductase activity		N	30	12	16	4	2	0	0	4
gene_1057	0.278896954799792	0.639504382779987	134	Putative uncharacterized protein	Eutypa lata	Ophiostoma piceae			hypothetical protein MAC_07925	0	-		N	2	0	2	0	0	0	0	0
gene_1058	1.42171387507379	0.166253552981791	322	Arabinan endo-1,5-alpha-L-arabinosidase	Grosmannia clavigera	Ophiostoma piceae	K06113	abnA; arabinan endo-1,5-alpha-L-arabinosidase [EC:3.2.1.99]	extracellular endo- -alpha-l-	2	F:hydrolase activity, hydrolyzing O-glycosyl compounds; P:polysaccharide catabolic process	EC:3.2.1.0	Y	8	0	2	0	2	0	2	2
gene_1059	8.04453480145883	-0.110973829751973	697	PdmS protein	Colletotrichum sublineola	Ophiostoma piceae			glycosyltransferase (n-glycosyltransferase) (n-glycosyl transferase ngt)	7	P:lipid glycosylation; F:transferase activity; P:metabolic process; P:carbohydrate metabolic process; P:antibiotic metabolic process; F:transferase activity, transferring hexosyl groups; F:transferase activity, transferring glycosyl groups		N	18	2	22	6	12	2	6	6
gene_106	8.83952800551408	-0.082511817921959	316	DUF1749 domain containing protein	Grosmannia clavigera	Ophiostoma piceae			dolichol-phosphate mannosyltransferase	4	F:transferase activity; P:biological_process; F:transferase activity, transferring glycosyl groups; C:cellular_component		N	13	18	20	6	14	2	12	2
gene_1060	10.2072992195174	0.178942913142726	473	Serine/threonine-protein kinase RIO1	Grosmannia clavigera	Ophiostoma piceae	K07178	RIOK1; RIO kinase 1 [EC:2.7.11.1]	serine threonine-protein kinase rio1	1	F:kinase activity	-	N	31	18	17	5	18	0	14	12
gene_1061	1.93308350677449	1.11593543105386	482	Lipase 5	Chaetomium globosum	Ophiostoma piceae			lipase 1 precursor	4	P:lipid catabolic process; F:triglyceride lipase activity; F:hydrolase activity; F:retinyl-palmitate esterase activity		Y	0	14	6	2	2	0	2	0
gene_1062	0	0	99	FAD binding domain-containing protein	Magnaporthe oryzae	Sporothrix schenckii			fad binding domain-containing protein	6	P:oxidation-reduction process; F:oxidoreductase activity; F:UDP-N-acetylmuramate dehydrogenase activity; F:catalytic activity; F:oxidoreductase activity, acting on CH-OH group of donors; F:flavin adenine dinucleotide binding		N	0	0	0	0	0	0	0	0
gene_1063	43.6987502773617	2.45553387078264	276	Extradiol ring-cleavage class 3 subunit b	Grosmannia clavigera	Ophiostoma piceae	K15777	DOPA; 4,5-DOPA dioxygenase extradiol [EC:1.13.11.-]	extradiol ring-cleavage class 3 subunit b	4	F:ferrous iron binding; P:cellular aromatic compound metabolic process; P:oxidation-reduction process; F:oxidoreductase activity, acting on single donors with incorporation of molecular oxygen	-	N	85	117	127	97	22	0	16	21
gene_1064	54.2386916834322	0.51121263454705	451	6-hydroxynicotinate 3-monooxygenase	Pestalotiopsis fici	Ophiostoma piceae			salicylate hydroxylase	2	P:metabolic process; F:oxidoreductase activity	-	N	28	347	104	18	24	4	116	52
gene_1065	60.457866187365	0.24615982185383	557	Cycloheximide resistance protein	Pestalotiopsis fici	Ophiostoma piceae			cycloheximide resistance	1	P:cellular process	-	N	25	426	75	6	10	8	98	104
gene_1066	0.656098215488544	0.506159435401375	333	Putative uncharacterized protein	 	Ophiostoma piceae			---NA---	0	-		N	0	6	2	0	0	0	2	0
gene_1067	0	0	374	Kinase activator protein	Grosmannia clavigera	Ophiostoma piceae			kinase activator protein	3	F:kinase activity; P:autophagy; P:phosphorylation		N	0	0	0	0	0	0	0	0
gene_1068	8.69534912094263	-1.01702203890954	366	Ribosomal large subunit biogenesis protein	Grosmannia clavigera	Ophiostoma piceae	K14831	MAK16; protein MAK16	ribosomal large subunit biogenesis protein	3	C:nucleolus; P:ribosomal large subunit biogenesis; P:rRNA processing	-	N	4	8	22	4	12	4	11	4
gene_1069	27.0288798944792	0.933554949546455	358	1-aminocyclopropane-1-carboxylate deaminase	Togninia minima	Ophiostoma piceae	K01505	E3.5.99.7; 1-aminocyclopropane-1-carboxylate deaminase [EC:3.5.99.7]	1-aminocyclopropane-1-carboxylate deaminase	8	P:amine catabolic process; F:1-aminocyclopropane-1-carboxylate deaminase activity; P:regulation of transcription from RNA polymerase II promoter; F:zinc ion binding; F:sequence-specific DNA binding RNA polymerase II transcription factor activity; F:DNA binding; F:pyridoxal phosphate binding; C:nucleus	EC:3.5.99.7	N	42	98	81	24	20	3	22	22
gene_107	0.887971727058988	-1.03200344266855	263	Sterol isomerase	Grosmannia clavigera	Ophiostoma piceae	K01824	EBP; cholestenol delta-isomerase [EC:5.3.3.5]	ebp domain containing protein	5	C:integral to membrane; C:endoplasmic reticulum; P:sterol metabolic process; F:cholestenol delta-isomerase activity; F:isomerase activity		N	0	2	0	0	0	0	6	2
gene_1070	53.2263130812234	-0.458466043770552	849	Protein phosphatase regulatory subunit	Grosmannia clavigera	Ophiostoma piceae	K07189	PPP1R3; protein phosphatase 1, regulatory (inhibitor) subunit 3	carbohydrate-binding module family 21 protein	0	-		N	84	94	102	24	102	8	63	61
gene_1071	0	0	42	Putative uncharacterized protein	 				---NA---	0	-		N	0	0	0	0	0	0	0	0
gene_1072	2.26022494413469	0.0567282272486558	327	Putative uncharacterized protein	 	Ophiostoma piceae			---NA---	0	-		Y	2	0	0	6	4	0	2	4
gene_1073	10.7997498243757	-0.973449130457785	609	Autophagy-related protein 17	Grosmannia clavigera	Ophiostoma piceae	K08329	ATG17; autophagy-related protein 17	kinase activator	1	P:cellular metabolic process	-	N	10	20	14	4	8	4	19	14
gene_1074	7.64318030434541	1.2934713259492	292	Carbohydrate esterase family 1 protein 	Pestalotiopsis fici	Sporothrix schenckii			probable acetylxylan esterase	5	C:extracellular region; F:hydrolase activity, hydrolyzing O-glycosyl compounds; F:polysaccharide binding; F:carbohydrate binding; P:carbohydrate metabolic process		Y	0	22	12	22	4	0	6	9
gene_1075	16.4871380440351	1.58020233722364	395	Cyclin-dependent protein kinase complex component	Grosmannia clavigera	Ophiostoma piceae			cyclin-dependent protein kinase complex component	4	F:protein kinase binding; F:kinase activity; P:phosphorylation; P:regulation of cyclin-dependent protein kinase activity		N	29	53	60	22	2	0	15	21
gene_1076	53.8553023314706	0.499811581945901	477	Prolidase	Grosmannia clavigera	Ophiostoma piceae	K14213	PEPD; Xaa-Pro dipeptidase [EC:3.4.13.9]	xaa-pro dipeptidase	6	P:cellular process; F:metallopeptidase activity; P:mycelium development; P:proteolysis; F:manganese ion binding; F:aminopeptidase activity	EC:3.4.11.0	N	65	150	103	69	40	8	48	63
gene_1077	10.3919967997051	-2.76032742364677	534	Pisatin demethylase (CYP5077C1)	Podospora anserina	Ophiostoma piceae	K07436	CYP24A1; cytochrome P450, family 24, subfamily A, polypeptide 1 (vitamin D3 24-hydroxylase) [EC:1.14.13.126]	benzoate 4-monooxygenase cytochrome	2	F:oxidoreductase activity; F:binding	-	N	6	4	4	0	2	0	60	34
gene_1078	56.8137671899217	0.742433184352153	2 206	Conidial yellow pigment biosynthesis polyketide synthase (PKS)	Podospora anserina	Ophiostoma piceae			polyketide synthase	1	F:catalytic activity	-	N	116	18	155	98	88	0	66	41
gene_1079	14.7367555258857	-0.115958020597494	902	C6 zinc finger fungal transcription factor	Neurospora tetrasperma	Ophiostoma piceae			c6 zinc finger domain containing protein	9	P:transcription from RNA polymerase II promoter; F:DNA binding; C:nucleus; F:zinc ion binding; P:regulation of transcription from RNA polymerase II promoter; F:sequence-specific DNA binding RNA polymerase II transcription factor activity; P:regulation of transcription, DNA-dependent; F:metal ion binding; P:transcription, DNA-dependent		N	22	48	18	8	21	0	29	23
gene_108	15.9285163185801	0.399289289688663	587	Putative C6 transcription factor	Grosmannia clavigera	Ophiostoma piceae	K09242	LEU3; transcriptional regulatory protein LEU3		9	P:transcription, DNA-dependent; F:zinc ion binding; C:nucleus; F:DNA binding; P:transcription from RNA polymerase II promoter; P:regulation of transcription from RNA polymerase II promoter; F:sequence-specific DNA binding RNA polymerase II transcription factor activity; P:regulation of transcription, DNA-dependent; F:metal ion binding		N	23	34	42	17	10	0	28	28
gene_108.1	13.6938172959194	-0.838904728308347	306	Pre-mRNA-splicing factor cwc15	Botrytis cinerea	Ophiostoma piceae			c6 transcription factor	4	P:transcription, DNA-dependent; F:DNA binding; C:nucleus; F:zinc ion binding		N	0	22	38	8	14	2	8	46
gene_1080	9.85614659765999	-4.37241538762313	449	Riboflavin transporter MCH5	Talaromyces marneffei	Ophiostoma piceae			mfs monocarboxylate transporter	2	P:transmembrane transport; C:integral to membrane	-	N	0	0	0	0	10	0	60	29
