Gene_ID	Level.x	Level.y	protein_ID	ecNum	definition	catalyticActivity	cofactors	associatedDiseases	pathway	pathway_class	pathway_type	transcript_ID
gene_6268	10.5110702138421	-2.1804901765691	1984850	2.7.2.1	Acetate kinase.	ATP + acetate = ADP + acetyl phosphate.	\N	\N	Pyruvate metabolism	Carbohydrate Metabolism	METABOLIC	1985104
gene_6268	10.5110702138421	-2.1804901765691	1984850	2.7.2.1	Acetate kinase.	ATP + acetate = ADP + acetyl phosphate.	\N	\N	Propanoate metabolism	Carbohydrate Metabolism	METABOLIC	1985104
gene_6356	10.3522764839361	-2.20071183508348	1984937	2.3.1.47	8-amino-7-oxononanoate synthase.	6-carboxyhexanoyl-CoA + L-alanine = 8-amino-7-oxononanoate + CoA + CO(2).	Pyridoxal-phosphate.	\N	Biotin metabolism	Metabolism of Cofactors and Vitamins	METABOLIC	1985191
gene_6376	16.1476671142203	-2.48740434508162	1984958	1.14.13.8	Dimethylaniline monooxygenase (N-oxide forming).	N,N-dimethylaniline + NADPH + O(2) = N,N-dimethylaniline N-oxide + NADP(+) + H(2)O.	FAD.	Trimethylaminuria; MIM:602079,	\N	\N	\N	1985212
gene_6417	1.62856419091627	-2.08988059799849	1985003	1.10.3.2	Laccase.	4 benzenediol + O(2) = 4 benzosemiquinone + 2 H(2)O.	Copper.	\N	\N	\N	\N	1985257
gene_6531	96.4170926433861	-3.94974901591048	1985119	1.14.13.1	Salicylate 1-monooxygenase.	Salicylate + NADH + O(2) = catechol + NAD(+) + H(2)O + CO(2).	FAD.	\N	Nitorobenzene degradation	Biodegradation of Xenobiotics	METABOLIC	1985373
gene_6531	96.4170926433861	-3.94974901591048	1985119	1.14.13.1	Salicylate 1-monooxygenase.	Salicylate + NADH + O(2) = catechol + NAD(+) + H(2)O + CO(2).	FAD.	\N	Fluorene degradation	Biodegradation of Xenobiotics	METABOLIC	1985373
gene_6987	24.598879512872	-2.24736767753781	1985573	1.14.13.22	Cyclohexanone monooxygenase.	Cyclohexanone + NADPH + O(2) = 6-hexanolide + NADP(+) + H(2)O.	FAD.	\N	Caprolactam degradation	Biodegradation of Xenobiotics	METABOLIC	1985827
gene_7303	159.990728466174	-6.4545551635345	1985887	2.1.1.109	Demethylsterigmatocystin 6-O-methyltransferase.	S-adenosyl-L-methionine + 6-demethylsterigmatocystin = S-adenosyl- L-homocysteine + sterigmatocystin.	\N	\N	\N	\N	\N	1986141
gene_7306	119.425494533038	-6.52185729154596	1985890	2.1.1.109	Demethylsterigmatocystin 6-O-methyltransferase.	S-adenosyl-L-methionine + 6-demethylsterigmatocystin = S-adenosyl- L-homocysteine + sterigmatocystin.	\N	\N	\N	\N	\N	1986144
gene_7307	24.5572617980222	-5.01737144362616	1985891	1.14.13.1	Salicylate 1-monooxygenase.	Salicylate + NADH + O(2) = catechol + NAD(+) + H(2)O + CO(2).	FAD.	\N	Fluorene degradation	Biodegradation of Xenobiotics	METABOLIC	1986145
gene_7307	24.5572617980222	-5.01737144362616	1985891	1.14.13.1	Salicylate 1-monooxygenase.	Salicylate + NADH + O(2) = catechol + NAD(+) + H(2)O + CO(2).	FAD.	\N	Nitorobenzene degradation	Biodegradation of Xenobiotics	METABOLIC	1986145
gene_7312	130.704161338319	-7.3654092552076	1985896	2.3.1.85	Fatty-acid synthase.	Acetyl-CoA + N malonyl-CoA + 2N NADPH = a long-chain fatty acid + (N+1) CoA + N CO(2) + 2N NADP(+).	\N	\N	Fatty acid biosynthesis (path 1)	Lipid Metabolism	METABOLIC	1986150
gene_7352	68.3824872683145	-2.40416136581618	1985934	1.14.13.7	Phenol 2-monooxygenase.	Phenol + NADPH + O(2) = catechol + NADP(+) + H(2)O.	FAD.	\N	gamma-Hexachlorocyclohexane degradation	Biodegradation of Xenobiotics	METABOLIC	1986188
gene_7352	68.3824872683145	-2.40416136581618	1985934	1.14.13.7	Phenol 2-monooxygenase.	Phenol + NADPH + O(2) = catechol + NADP(+) + H(2)O.	FAD.	\N	Toluene and xylene degradation	Biodegradation of Xenobiotics	METABOLIC	1986188
gene_7352	68.3824872683145	-2.40416136581618	1985934	1.14.13.7	Phenol 2-monooxygenase.	Phenol + NADPH + O(2) = catechol + NADP(+) + H(2)O.	FAD.	\N	Nitorobenzene degradation	Biodegradation of Xenobiotics	METABOLIC	1986188
gene_7475	3.49253322779463	-2.04871845787638	1986060	1.10.3.2	Laccase.	4 benzenediol + O(2) = 4 benzosemiquinone + 2 H(2)O.	Copper.	\N	\N	\N	\N	1986314
gene_753	11.6165356613886	-2.14728314984505	1979313	5.99.1.2	DNA topoisomerase.	ATP-independent breakage of single-stranded DNA, followed by passage and rejoining.	\N	\N	\N	\N	\N	1979567
gene_8033	6.22692265902854	-3.12815394824872	1986621	2.1.1.41	Delta(24)-sterol C-methyltransferase.	S-adenosyl-L-methionine + 5-alpha-cholest-8,24-dien-3-beta-ol = S-adenosyl-L-homocysteine + 24-methylene-5-alpha-cholest-8-en-3-beta-ol.	Glutathione.	\N	\N	\N	\N	1986875
