Gene_ID	Level.x	Level.y	protein_ID	ecNum	definition	catalyticActivity	cofactors	associatedDiseases	pathway	pathway_class	pathway_type	transcript_ID
gene_3669	14.6977892554678	3.07452861229074	1982242	3.1.3.1	Alkaline phosphatase.	An orthophosphoric monoester + H(2)O = an alcohol + phosphate.	Zinc; Magnesium.	Hypophosphatasia, adult; MIM:146300. Hypophosphatasia, childhood; MIM:241510. Hypophosphatasia, infantile; MIM:214500.	gamma-Hexachlorocyclohexane degradation	Biodegradation of Xenobiotics	METABOLIC	1982496
gene_3669	14.6977892554678	3.07452861229074	1982242	3.1.3.1	Alkaline phosphatase.	An orthophosphoric monoester + H(2)O = an alcohol + phosphate.	Zinc; Magnesium.	Hypophosphatasia, adult; MIM:146300. Hypophosphatasia, childhood; MIM:241510. Hypophosphatasia, infantile; MIM:214500.	Glycerolipid metabolism	Metabolism of Complex Lipids	METABOLIC	1982496
gene_4029	5.81665968583609	2.63256836998803	1982607	2.7.8.-	Transferases for other substituted phosphate groups.	\N	\N	\N	Glycerolipid metabolism	Metabolism of Complex Lipids	METABOLIC	1982861
gene_4029	5.81665968583609	2.63256836998803	1982607	2.7.8.-	Transferases for other substituted phosphate groups.	\N	\N	\N	Sphingophospholipid biosynthesis	Metabolism of Complex Lipids	METABOLIC	1982861
gene_4029	5.81665968583609	2.63256836998803	1982607	2.7.8.-	Transferases for other substituted phosphate groups.	\N	\N	\N	Aminophosphonate metabolism	Metabolism of Other Amino Acids	METABOLIC	1982861
gene_4970	8.29594095235656	3.011420410977	1983550	2.1.1.-	Methyltransferases.	\N	\N	\N	Androgen and estrogen metabolism	Lipid Metabolism	METABOLIC	1983804
gene_4970	8.29594095235656	3.011420410977	1983550	2.1.1.-	Methyltransferases.	\N	\N	\N	Selenoamino acid metabolism	Metabolism of Other Amino Acids	METABOLIC	1983804
gene_4970	8.29594095235656	3.011420410977	1983550	2.1.1.-	Methyltransferases.	\N	\N	\N	Histidine metabolism	Amino Acid Metabolism	METABOLIC	1983804
gene_4970	8.29594095235656	3.011420410977	1983550	2.1.1.-	Methyltransferases.	\N	\N	\N	Porphyrin and chlorophyll metabolism	Metabolism of Cofactors and Vitamins	METABOLIC	1983804
gene_4970	8.29594095235656	3.011420410977	1983550	2.1.1.-	Methyltransferases.	\N	\N	\N	Aminophosphonate metabolism	Metabolism of Other Amino Acids	METABOLIC	1983804
gene_4970	8.29594095235656	3.011420410977	1983550	2.1.1.-	Methyltransferases.	\N	\N	\N	Ubiquinone biosynthesis	Metabolism of Cofactors and Vitamins	METABOLIC	1983804
gene_4970	8.29594095235656	3.011420410977	1983550	2.1.1.-	Methyltransferases.	\N	\N	\N	Tryptophan metabolism	Amino Acid Metabolism	METABOLIC	1983804
gene_4970	8.29594095235656	3.011420410977	1983550	2.1.1.-	Methyltransferases.	\N	\N	\N	Tyrosine metabolism	Amino Acid Metabolism	METABOLIC	1983804
gene_5044	13.3960838523777	2.02592198930913	1983623	2.6.1.9	Histidinol-phosphate aminotransferase.	L-histidinol-phosphate + 2-oxoglutarate = 3-(imidazol-4-yl)-2- oxopropyl phosphate + L-glutamate.	Pyridoxal-phosphate.	\N	Phenylalanine metabolism	Amino Acid Metabolism	METABOLIC	1983877
gene_5044	13.3960838523777	2.02592198930913	1983623	2.6.1.9	Histidinol-phosphate aminotransferase.	L-histidinol-phosphate + 2-oxoglutarate = 3-(imidazol-4-yl)-2- oxopropyl phosphate + L-glutamate.	Pyridoxal-phosphate.	\N	Tyrosine metabolism	Amino Acid Metabolism	METABOLIC	1983877
gene_5044	13.3960838523777	2.02592198930913	1983623	2.6.1.9	Histidinol-phosphate aminotransferase.	L-histidinol-phosphate + 2-oxoglutarate = 3-(imidazol-4-yl)-2- oxopropyl phosphate + L-glutamate.	Pyridoxal-phosphate.	\N	Histidine metabolism	Amino Acid Metabolism	METABOLIC	1983877
gene_5044	13.3960838523777	2.02592198930913	1983623	2.6.1.9	Histidinol-phosphate aminotransferase.	L-histidinol-phosphate + 2-oxoglutarate = 3-(imidazol-4-yl)-2- oxopropyl phosphate + L-glutamate.	Pyridoxal-phosphate.	\N	Phenylalanine, tyrosine and tryptophan biosynthesis	Amino Acid Metabolism	METABOLIC	1983877
gene_5088	65.9512318694843	2.41659199621073	1983667	3.6.3.7	Sodium-exporting ATPase.	ATP + H(2)O + Na(+)(In) = ADP + phosphate + Na(+)(Out).	Magnesium.	\N	\N	\N	\N	1983921
gene_5494	1.70166017547614	2.13859180723595	1984075	3.5.1.4	Amidase.	A monocarboxylic acid amide + H(2)O = a monocarboxylate + NH(3).	\N	\N	Arginine and proline metabolism	Amino Acid Metabolism	METABOLIC	1984329
gene_5494	1.70166017547614	2.13859180723595	1984075	3.5.1.4	Amidase.	A monocarboxylic acid amide + H(2)O = a monocarboxylate + NH(3).	\N	\N	Cyanoamino acid metabolism	Metabolism of Other Amino Acids	METABOLIC	1984329
gene_5494	1.70166017547614	2.13859180723595	1984075	3.5.1.4	Amidase.	A monocarboxylic acid amide + H(2)O = a monocarboxylate + NH(3).	\N	\N	Benzoate degradation via CoA ligation	Biodegradation of Xenobiotics	METABOLIC	1984329
gene_5494	1.70166017547614	2.13859180723595	1984075	3.5.1.4	Amidase.	A monocarboxylic acid amide + H(2)O = a monocarboxylate + NH(3).	\N	\N	Styrene degradation	Biodegradation of Xenobiotics	METABOLIC	1984329
gene_5494	1.70166017547614	2.13859180723595	1984075	3.5.1.4	Amidase.	A monocarboxylic acid amide + H(2)O = a monocarboxylate + NH(3).	\N	\N	Phenylalanine metabolism	Amino Acid Metabolism	METABOLIC	1984329
gene_5494	1.70166017547614	2.13859180723595	1984075	3.5.1.4	Amidase.	A monocarboxylic acid amide + H(2)O = a monocarboxylate + NH(3).	\N	\N	Tryptophan metabolism	Amino Acid Metabolism	METABOLIC	1984329
gene_5638	62.7105571097563	2.28405413151913	1984219	3.2.1.21	Beta-glucosidase.	Hydrolysis of terminal, non-reducing beta-D-glucose residues with release of beta-D-glucose.	\N	\N	Flavonoids, stilbene and lignin biosynthesis	Biosynthesis of Secondary Metabolites	METABOLIC	1984473
gene_5638	62.7105571097563	2.28405413151913	1984219	3.2.1.21	Beta-glucosidase.	Hydrolysis of terminal, non-reducing beta-D-glucose residues with release of beta-D-glucose.	\N	\N	Starch and sucrose metabolism	Metabolism of Complex Carbohydrates	METABOLIC	1984473
gene_5638	62.7105571097563	2.28405413151913	1984219	3.2.1.21	Beta-glucosidase.	Hydrolysis of terminal, non-reducing beta-D-glucose residues with release of beta-D-glucose.	\N	\N	Cyanoamino acid metabolism	Metabolism of Other Amino Acids	METABOLIC	1984473
gene_5848	4.61205816370328	2.15358480015969	1984430	2.1.1.43	Histone-lysine N-methyltransferase.	S-adenosyl-L-methionine + histone L-lysine = S-adenosyl-L-homocysteine + histone N6-methyl-L-lysine.	\N	\N	Lysine degradation	Amino Acid Metabolism	METABOLIC	1984684
gene_6279	35.3799948629536	2.51199132211897	1984860	3.1.27.3	Ribonuclease T1.	Two-stage endonucleolytic cleavage to 3'-phosphomononucleotides and 3'-phosphooligonucleotides ending in G-P with 2',3'-cyclic phosphate intermediates.	\N	\N	\N	\N	\N	1985114
gene_6369	4.90017319209188	3.12708787369231	1984951	2.3.1.133	Shikimate O-hydroxycinnamoyltransferase.	4-coumaroyl-CoA + shikimate = CoA + 4-coumaroylshikimate.	\N	\N	\N	\N	\N	1985205
gene_6663	5.9264606191335	2.05777789270027	1985253	2.1.1.1	Nicotinamide N-methyltransferase.	S-adenosyl-L-methionine + nicotinamide = S-adenosyl-L-homocysteine + 1-methylnicotinamide.	\N	\N	Nicotinate and nicotinamide metabolism	Metabolism of Cofactors and Vitamins	METABOLIC	1985507
gene_7857	7.58379537043634	2.15971868385362	1986442	4.2.2.2	Pectate lyase.	Eliminative cleavage of pectate to give oligosaccharides with 4-deoxy- alpha-D-gluc-4-enuronosyl groups at their non-reducing ends.	\N	\N	Pentose and glucuronate interconversions	Carbohydrate Metabolism	METABOLIC	1986696
gene_7955.1	438.766084465958	2.13540904696477	1986539	3.2.1.21	Beta-glucosidase.	Hydrolysis of terminal, non-reducing beta-D-glucose residues with release of beta-D-glucose.	\N	\N	Flavonoids, stilbene and lignin biosynthesis	Biosynthesis of Secondary Metabolites	METABOLIC	1986793
gene_7955.1	438.766084465958	2.13540904696477	1986539	3.2.1.21	Beta-glucosidase.	Hydrolysis of terminal, non-reducing beta-D-glucose residues with release of beta-D-glucose.	\N	\N	Starch and sucrose metabolism	Metabolism of Complex Carbohydrates	METABOLIC	1986793
gene_7955.1	438.766084465958	2.13540904696477	1986539	3.2.1.21	Beta-glucosidase.	Hydrolysis of terminal, non-reducing beta-D-glucose residues with release of beta-D-glucose.	\N	\N	Cyanoamino acid metabolism	Metabolism of Other Amino Acids	METABOLIC	1986793
