Gene_ID	Level	logFC	Size..aa.	Final.Description	X.1st.BLASTp.hit...if.blank..see.next.column.	X.1st.BLASTp.hit...blank.are.real.orphans..	KO.	Name.KEGG	Annotation	X.GO.Terms	GO.Terms	Enzyme.Code	SignalP	G_T1_Rep1	G_T1_Rep2	G_T1_Rep3	G_T1_Rep4	G_T2_Rep1	G_T2_Rep2	G_T2_Rep3	G_T2_Rep4
gene_1448	3.22692095686975	-2.02376078055825	769	Inter-alpha-trypsin inhibitor heavy chain H3 (ITI heavy chain H3)	Grosmannia clavigera	Ophiostoma piceae			von willebrand factor type a domain containing protein	5	F:structural constituent of ribosome; P:translation; C:ribonucleoprotein complex; C:ribosome; C:intracellular		N	0	0	0	11	2	32	2	0
gene_1466	11.0992457359583	-2.66510234278989	254	Putative uncharacterized protein	Togninia minima	Ophiostoma piceae			g-protein coupled receptor protein	3	F:molecular_function; P:biological_process; C:cellular_component		N	7	0	0	26	20	35	0	18
gene_1479	95.9412136551005	-2.37402257518956	382	TfdA family Taurine catabolism dioxygenase TauD	Togninia minima	Ophiostoma piceae			family taurine catabolism dioxygenase	2	P:oxidation-reduction process; F:oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen	EC:1.13.11.0	N	60	4	4	228	539	12	0	172
gene_151	4.92432672207456	-2.11606599609318	656	Putative uncharacterized protein	Colletotrichum sublineola	Ophiostoma piceae			hypothetical protein GLRG_04317	1	F:molecular_function		N	6	0	0	10	12	38	8	0
gene_1582	21.7404926588369	-2.10313820231653	623	Quinidine resistance protein 2	Togninia minima	Ophiostoma piceae			major facilitator superfamily transporter	2	C:integral to membrane; P:transmembrane transport		N	12	4	0	62	64	30	108	8
gene_1594	9.63567255885974	-2.14250303926606	1 115	Ribosome assembly protein 1 (EF-2 like GTPase)	Grosmannia clavigera	Ophiostoma piceae	K14536	RIA1; ribosome assembly protein 1 [EC:3.6.5.-]	elongation factor 2	6	F:translation elongation factor activity; P:mycelium development; P:translational elongation; P:GTP catabolic process; F:GTPase activity; F:GTP binding	-	N	12	0	0	28	42	15	20	10
gene_1623	6.09868132944847	-2.13719657826656	587	Aar2 domain containing protein	Grosmannia clavigera	Ophiostoma piceae			aar2 domain containing protein	3	F:molecular_function; P:biological_process; C:cellular_component		N	10	0	0	10	2	0	10	12
gene_1627	15.9335338613725	-2.44054620528393	505	Putative hydroxymethylpyrimidine/phosphomethylpyrimidine kinase 2	Fusarium oxysporum	Ophiostoma piceae	K00877	THI20; hydroxymethylpyrimidine/phosphomethylpyrimidine kinase [EC:2.7.1.49 2.7.4.7]	phosphomethylpyrimidine kinase	2	F:kinase activity; P:cellular metabolic process	-	N	16	2	0	22	63	4	14	28
gene_1716	43.2886149540955	-2.9168116442272	336	WW domain-containing oxidoreductase	Cladophialophora psammophila	Ophiostoma piceae			short-chain dehydrogenase	4	P:oxidation-reduction process; F:oxidoreductase activity; P:metabolic process; F:nucleotide binding		N	25	0	2	48	366	50	34	52
gene_1718	10.2245552754705	-2.09887786565266	421	Cyclin CCL1	Grosmannia clavigera	Ophiostoma piceae	K06634	CCNH; cyclin H	cyclin ccl1	1	P:regulation of cellular process	-	N	8	0	0	40	46	13	10	14
gene_1723	7.81061018527588	-2.00252291811492	460	DUF895 domain protein membrane protein	Grosmannia clavigera	Ophiostoma piceae			duf895 domain protein membrane protein	2	C:integral to membrane; P:transmembrane transport	-	N	8	0	0	28	86	0	0	10
gene_1784	5.10732532504508	-2.16989294491632	1 026	DNA ligase 4	Myceliophthora thermophila	Ophiostoma piceae			atp dependent dna ligase domain-containing protein	7	F:ATP binding; P:DNA repair; F:DNA ligase (ATP) activity; P:DNA recombination; F:DNA binding; F:ligase activity; C:cellular_component		N	6	0	0	10	8	2	20	6
gene_1867	20.7591868187693	-2.11982031117927	541	High affinity methionine permease	Grosmannia clavigera	Ophiostoma piceae			amino acid permease	3	C:integral to membrane; F:amino acid transmembrane transporter activity; P:amino acid transmembrane transport	-	N	14	0	2	30	81	0	24	34
gene_1910	20.5118659135875	-2.09342762901492	540	Meiotic sister chromatid recombination protein ish1	Grosmannia clavigera	Ophiostoma piceae			msc1 protein	0	-		Y	41	0	0	49	30	38	125	2
gene_2059	2.08615431462599	-2.1709843728939	230	Glycoside hydrolase family 45 protein	Thielavia terrestris	Ophiostoma piceae			glycoside hydrolase family 45 protein	2	P:carbohydrate metabolic process; F:cellulase activity	EC:3.2.1.4	Y	0	0	0	2	8	4	0	4
gene_2155	4.57306489594655	-2.65162421659363	143	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_610	0	-		N	4	0	0	2	11	2	39	0
gene_2156	3.91551288901667	-2.16467360582984	362	Phosphotransferase enzyme family protein	Grosmannia clavigera	Ophiostoma piceae	K15523	FN3KRP; protein-ribulosamine 3-kinase [EC:2.7.1.172]	fructosamine kinase	1	F:transferase activity	-	N	3	0	0	8	16	2	29	0
gene_2214	38.8154205007456	-2.04105682023041	438	Homocysteine synthase	Grosmannia clavigera	Sporothrix schenckii	K01740	E2.5.1.49, metY; O-acetylhomoserine (thiol)-lyase [EC:2.5.1.49]	o-acetylhomoserine -lyase	5	C:cytoplasm; P:'de novo' L-methionine biosynthetic process; F:pyridoxal phosphate binding; F:lyase activity; F:O-acetylhomoserine aminocarboxypropyltransferase activity	EC:2.5.1.49	N	46	2	0	141	134	29	48	56
gene_2304	68.4428146850834	-4.52053014635599	543	Arrestin n-terminal domain containing protein	Togninia minima	Ophiostoma piceae			arrestin n-terminal domain containing protein	2	F:molecular_function; C:cellular_component		N	20	2	0	24	264	37	25	145
gene_2314	10.8630431395533	-2.04091879758624	317	C6 zinc finger fungal transcription factor	Grosmannia clavigera	Ophiostoma piceae			zn 2cys6 transcription factor	1	F:binding	-	N	14	2	0	15	36	7	16	16
gene_2346	9.95471791886761	-2.22199627986308	1 380	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_1060	3	F:molecular_function; P:biological_process; C:cellular_component		N	12	0	0	27	20	38	12	10
gene_2400	8.08692523721277	-2.43640134572072	187	60S ribosome subunit biogenesis protein NIP7 (Nuclear import protein 7)	Grosmannia clavigera	Ophiostoma piceae	K07565	NIP7; 60S ribosome subunit biogenesis protein NIP7	60s ribosome subunit biogenesis protein nip7	5	P:ribosomal large subunit biogenesis; F:RNA binding; P:ribosome assembly; C:nucleus; C:preribosome, large subunit precursor	-	N	12	0	0	10	18	4	13	14
gene_2439	3.96768203587375	-2.16432409104588	300	Extracellular scp domain containing protein	Grosmannia clavigera	Ophiostoma piceae			extracellular scp domain containing protein	1	C:extracellular region		Y	2	0	0	10	54	0	10	2
gene_2451	10.1635883103131	-2.95730889540079	376	Cell wall mannoprotein CIS3 (Covalently-linked cell wall protein 5/11)	Togninia minima	Ophiostoma piceae			covalently-linked cell wall protein	7	C:cellular bud tip; C:plasma membrane; C:fungal-type cell wall; P:cellular cell wall organization; C:extracellular region; C:endoplasmic reticulum; F:structural constituent of cell wall	-	Y	8	0	0	12	14	0	85	2
gene_252	6.41946869305813	-2.38726550120485	1 307	Putative uncharacterized protein	Butyrivibrio hungatei	Ophiostoma piceae			hypothetical protein TRAVEDRAFT_114038, partial	9	F:transferase activity; F:nucleotide binding; F:zinc ion binding; P:oxidation-reduction process; F:phosphopantetheine binding; F:oxidoreductase activity; F:catalytic activity; F:transferase activity, transferring acyl groups other than amino-acyl groups; P:metabolic process		N	4	0	0	16	28	10	4	10
gene_2595	14.6590766419358	-2.10777067984057	230	C-factor (C signal)	Chaetomium globosum	Ophiostoma piceae			aflatoxin biosynthesis ketoreductase nor-1	1	P:metabolic process	-	N	17	0	0	52	106	40	10	12
gene_2698	24.5689335859336	-3.93061698008819	178	Helix-turn-helix-domain containing protein type	Grosmannia clavigera	Ophiostoma piceae			helix-turn-helix-domain containing protein type	4	F:hydrolase activity; F:molecular_function; P:biological_process; C:cellular_component		N	0	2	0	14	109	6	8	52
gene_2764	7.06523467621499	-3.43561050852644	232	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_2358	0	-		N	0	0	0	6	89	20	0	6
gene_2787	4.38935309558873	-2.08099364872882	227	Putative uncharacterized protein	Colletotrichum gloeosporioides	Ophiostoma piceae			hypothetical protein GGTG_11565	0	-		N	8	0	0	4	16	12	24	0
gene_2900	5.7851018696928	-2.38372756155501	685	Vacuolar fusion protein MON1	Grosmannia clavigera	Ophiostoma piceae			vacuolar fusion protein mon1	3	C:vacuole; P:transport; C:late endosome membrane	-	N	8	0	0	6	14	4	16	8
gene_2905	16.8269671743765	-2.10101354710214	245	Superoxide dismutase (Cu-Zn)	Grosmannia clavigera	Ophiostoma piceae			cytosolic cu zn superoxide dismutase	6	F:metal ion binding; P:oxidation-reduction process; F:oxidoreductase activity; P:superoxide metabolic process; F:superoxide dismutase activity; C:cellular_component		Y	30	0	0	44	59	36	78	4
gene_2917	17.4740194460283	-2.18211097903921	371	Phospho-2-dehydro-3-deoxyheptonate aldolase	Thielavia terrestris	Ophiostoma piceae	K01626	E2.5.1.54, aroF, aroG, aroH; 3-deoxy-7-phosphoheptulonate synthase [EC:2.5.1.54]	phospho-2-dehydro-3-deoxyheptonate aldolase	5	P:mycelium development; F:3-deoxy-7-phosphoheptulonate synthase activity; P:aromatic amino acid family biosynthetic process; C:nucleus; C:mitochondrion	EC:2.5.1.54	N	22	2	0	35	58	20	66	13
gene_3035	7.25914463444945	-2.22765275363649	608	Pantothenate transporter liz1	Aureobasidium pullulans	Ophiostoma piceae			allantoate permease	2	P:transmembrane transport; C:integral to membrane	-	N	2	0	0	28	79	0	0	10
gene_3149	5.65257394735757	-2.17961263907651	341	Protein cms1	Grosmannia clavigera	Ophiostoma piceae	K14784	CMS1; protein CMS1	hypothetical protein CMQ_4633	2	F:organic cyclic compound binding; 	-	N	9	0	0	8	30	24	20	0
gene_317	4.09519742692054	-2.05397939164814	172	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_1449	0	-		N	6	0	0	6	30	10	18	0
gene_323	7.72904805699766	-2.22752022450476	281	Nucleolar protein 16	Grosmannia clavigera	Ophiostoma piceae	K14839	NOP16; nucleolar protein 16	cell division protein	1	P:cell division		N	6	0	0	24	22	4	36	6
gene_3259	10.5019269891959	-2.65632582429843	529	High-affinity glucose transporter HXT2	Nectria haematococca	Ophiostoma piceae	K08139	HXT; MFS transporter, SP family, sugar:H+ symporter	hexose transporter	3	P:transmembrane transport; C:integral to membrane; F:substrate-specific transmembrane transporter activity	-	N	2	0	0	32	46	6	76	0
gene_3262	3.32058508583798	-2.57316905275207	564	Steroid monooxygenase	Togninia minima	Ophiostoma piceae			steroid monooxygenase	4	F:flavin adenine dinucleotide binding; F:N,N-dimethylaniline monooxygenase activity; P:oxidation-reduction process; F:NADP binding	EC:1.14.13.8	N	0	0	0	4	14	22	2	2
gene_3383	18.7940862764625	-2.01163304282933	253	Carbohydrate-binding module family 52 protein	Myceliophthora thermophila	Ophiostoma piceae				0	-		Y	22	3	0	44	61	141	17	0
gene_3406	3.16216373180117	-2.87269629407819	257	Glycoside hydrolase family 61 protein	Scedosporium apiospermum	Ophiostoma piceae			glycoside hydrolase family 61 protein	1	F:hydrolase activity	-	Y	0	0	0	0	0	4	0	8
gene_3419	4.00134909053865	-2.19516079306278	624	Alpha-mannosyltransferase	Grosmannia clavigera	Ophiostoma piceae	K05535	MNN2; alpha 1,2-mannosyltransferase [EC:2.4.1.-]	alpha- -mannosyltransferase	3	P:protein glycosylation; F:transferase activity; F:transferase activity, transferring glycosyl groups		N	3	0	0	8	6	28	4	2
gene_3431	19.044512683906	-2.23190141904387	483	6-hydroxy-D-nicotine oxidase (6-HDNO)	Fusarium fujikuroi	Ophiostoma piceae			fad binding domain protein	3	F:flavin adenine dinucleotide binding; P:oxidation-reduction process; F:UDP-N-acetylmuramate dehydrogenase activity	EC:1.1.1.158	N	22	2	0	41	70	119	10	8
gene_3519	5.75680843097188	-3.15418185339063	593	Major facilitator superfamily transporter multidrug resistance	Grosmannia clavigera	Ophiostoma piceae	K07786	emrY; MFS transporter, multidrug resistance protein Y	major facilitator superfamily transporter	3	C:integral to membrane; P:mycelium development; P:transmembrane transport	-	N	0	0	0	6	44	6	0	10
gene_3539	2.15067529171042	-2.40635995057829	299	Putative uncharacterized protein	Thielavia terrestris	Ophiostoma piceae			dead deah box dna helicase	7	F:helicase activity; F:nucleic acid binding; F:ATP binding; F:hydrolase activity; F:nucleotide binding; F:nucleoside-triphosphatase activity; F:ATP-dependent helicase activity		N	0	0	0	0	8	4	16	0
gene_3555	112.32296325387	-3.36622205315513	548	Isocitrate lyase	Trichoderma reesei	Ophiostoma piceae	K01637	E4.1.3.1, aceA; isocitrate lyase [EC:4.1.3.1]	isocitrate lyase	2	F:isocitrate lyase activity; P:carboxylic acid metabolic process	EC:4.1.3.1	N	63	14	0	58	306	49	844	19
gene_3568	3.18339597723024	-2.35921280565242	168	Guanylate kinase	Metarhizium acridum	Sporothrix schenckii			guanylate kinase	2	F:kinase activity; P:cellular metabolic process	-	N	0	0	0	6	3	0	8	6
gene_3605	8.04858872751823	-2.21190513391132	360	Fructosamine-3-kinase	Verticillium alfalfae	Verticillium alfalfae			vegetative incompatibility protein 4	1	F:transferase activity, transferring phosphorus-containing groups		N	5	0	0	28	40	22	2	10
gene_3630	3.6025666557565	-2.84948071603981	385	Glycoside hydrolase family 5 protein	Thielavia terrestris	Ophiostoma piceae			endoglucanase 1	3	F:cellulase activity; F:cation binding; P:cellulose catabolic process	EC:3.2.1.4	Y	0	0	0	2	0	0	0	10
gene_3666	3.46635758516981	-2.27421003316063	375	Alpha-ketoglutarate-dependent sulfonate dioxygenase	Colletotrichum gloeosporioides	Ophiostoma piceae			alpha-ketoglutarate-dependent sulfonate dioxygenase	2	P:oxidation-reduction process; F:oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen	EC:1.13.11.0	N	4	0	0	2	51	0	0	4
gene_3878	7.83171170685209	-2.06438405291498	116	Protein mmf2, mitochondrial (Maintenance of mitochondrial function 2)	Penicillium digitatum	Ophiostoma piceae			translation initiation inhibitor	0	-		N	20	0	0	6	18	12	52	0
gene_3879	10.3472863716751	-4.43926226863733	401	Gibberellin 3-beta hydroxylase, putative	Aspergillus oryzae	Ophiostoma piceae			gibberellin 3-beta	3	P:oxidation-reduction process; F:iron ion binding; F:oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors	EC:1.14.11.0	N	0	0	0	0	13	16	89	0
gene_3950	7.05771586963381	-3.47950948655198	198	Putative uncharacterized protein	Togninia minima	Ophiostoma piceae			hypothetical protein GGTG_10186	0	-		Y	2	0	0	2	21	6	0	16
gene_40	5.19460181161736	-2.22787982829976	581	Putative box C/D snoRNA protein SPCC613.07	Grosmannia clavigera	Ophiostoma piceae			aex-3- denn domain containing protein	0	-		N	5	0	0	11	57	13	16	0
gene_4009	9.64679458790802	-2.16287277355825	484	RNA 3'-terminal phosphate cyclase (RNA cyclase)	Neurospora crassa	Ophiostoma piceae			ept rtpc-like protein	2	F:catalytic activity; P:RNA processing		N	12	2	0	6	32	0	0	20
gene_4013	9.28399701489037	-2.07399125349989	333	Ribonucleotide reductase inhibitor	Togninia minima	Ophiostoma piceae			ribonucleotide reductase inhibitor	0	-		N	11	0	0	30	52	4	22	10
gene_4055	20.7957419871703	-2.56749679365701	582	Uncharacterized transporter YIL166C	Nectria haematococca	Ophiostoma piceae			major facilitator superfamily transporter	2	P:transmembrane transport; C:integral to membrane	-	N	28	0	0	40	87	4	10	39
gene_406	5.36238734969722	-2.53454723505035	337	Mitochondrial dicarboxylate carrier protein	Colletotrichum orbiculare	Ophiostoma piceae	K15104	SLC25A11, OGC; solute carrier family 25 (mitochondrial oxoglutarate transporter), member 11	mitochondrial dicarboxylate carrier protein	5	P:transmembrane transport; F:damaged DNA binding; C:integral to membrane; P:nucleotide-excision repair; C:nucleus	-	N	2	0	0	11	35	38	6	0
gene_4068	54.834129315753	-2.05549760756874	542	Malate synthase	Grosmannia clavigera	Ophiostoma piceae	K01638	E2.3.3.9, aceB, glcB; malate synthase [EC:2.3.3.9]	malate synthase	4	P:tricarboxylic acid cycle; C:glyoxysome; F:malate synthase activity; P:glyoxylate cycle	EC:2.3.3.9	N	127	5	0	73	202	43	293	16
gene_4127	2.17795029861817	-2.42112918523187	504	Isotrichodermin/trichothecene C-15 hydroxylase (CYP65CE1)	Sordaria macrospora	Sporothrix schenckii			cytochrome p450	2	F:oxidoreductase activity; F:binding	-	N	0	0	0	0	42	0	0	2
gene_4128	6.91872392338322	-2.7769063282095	199	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_6951	0	-		N	4	0	0	10	28	18	41	0
gene_4129	5.71475179720703	-2.98257208723175	299	Putative uncharacterized protein	Neurospora tetrasperma	Neurospora tetrasperma			hypothetical protein NEUTE1DRAFT_48737	0	-		N	2	0	0	5	42	4	38	0
gene_4139	33.4477934693402	-2.16379641883749	581	DUF500 domain containing protein	Grosmannia clavigera	Ophiostoma piceae			duf500 domain containing protein	3	F:molecular_function; P:biological_process; C:cellular_component		N	48	1	0	99	156	134	61	15
gene_4158	5.40188370512727	-2.17562636702295	441	Mitochondrial translation release factor	Grosmannia clavigera	Ophiostoma piceae	K02835	prfA, MTRF1, MRF1; peptide chain release factor 1	peptide chain release factor 1	3	C:cytoplasm; P:translational termination; F:translation release factor activity, codon specific	-	N	4	0	0	15	20	14	30	0
gene_4236	5.33293936836277	-2.28200986240521	572	Threonine aspartase 1 (Taspase-1)	Sordaria macrospora	Ophiostoma piceae	K08657	TASP1; taspase, threonine aspartase, 1 [EC:3.4.25.-]	asparaginase family protein	2	F:hydrolase activity; C:proteasome complex		N	6	0	0	9	20	20	25	0
gene_4241	7.64097414327412	-2.08258336450326	256	Putative uncharacterized protein	Neurospora crassa	Ophiostoma piceae			related to alpha-ribazole-5 -phosphate phosphatase	2	P:metabolic process; F:catalytic activity		N	13	0	0	16	41	4	27	6
gene_4343	4.2501416712333	-3.24797054193575	248	Putative uncharacterized protein	 	Ophiostoma piceae			hypothetical protein DAPPUDRAFT_241286	1	F:structural constituent of cuticle		N	0	0	0	0	0	0	0	12
gene_4445	3.35601222161014	-2.47782068839893	265	Putative uncharacterized protein	 	Ophiostoma piceae			---NA---	0	-		N	2	0	0	2	2	11	12	3
gene_4520	13.3106319586895	-2.04216425796386	347	Ornithine carbamoyltransferase-like protein	Magnaporthe oryzae	Ophiostoma piceae	K00611	OTC, argF, argI; ornithine carbamoyltransferase [EC:2.1.3.3]	ornithine carbamoyltransferase	5	F:carboxyl- or carbamoyltransferase activity; P:mycelium development; F:amino acid binding; P:cellular amino acid metabolic process; C:cytosol	EC:2.1.3.0	N	15	2	0	29	68	10	48	9
gene_4586	4.39567781100843	-2.12149523691022	515	Allantoate permease, putative	Togninia minima	Ophiostoma piceae			pantothenate	2	P:transmembrane transport; C:integral to membrane	-	N	4	0	0	10	20	0	0	9
gene_463	2.7455855656481	-2.50569265684445	416	Oxalate decarboxylase	Trichoderma reesei	Ophiostoma piceae	K01569	oxdD; oxalate decarboxylase [EC:4.1.1.2]	oxalate decarboxylase	3	P:lipopolysaccharide biosynthetic process; F:dTDP-4-dehydrorhamnose 3,5-epimerase activity; F:nutrient reservoir activity	EC:5.1.3.13	Y	0	0	0	2	4	2	10	4
gene_4669	8.66451142431169	-3.23921086334643	484	Dimethyl-sulfide monooxygenase	Grosmannia clavigera	Sporothrix schenckii			xenobiotic compound family	5	F:monooxygenase activity; F:peptidase activity; P:oxidation-reduction process; F:oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; P:proteolysis	-	N	0	0	0	14	114	0	0	12
gene_4677	22.9804363365476	-3.19121293826555	489	Iron transport multicopper oxidase fet3	Grosmannia clavigera	Ophiostoma piceae			iron transport multicopper oxidase fet3 precursor	4	F:metal ion binding; F:monooxygenase activity; F:coenzyme binding; F:nucleotide binding	-	N	6	2	0	30	62	8	6	50
gene_4686	9.99522185036747	-2.78284225807398	258	Putative uncharacterized protein	 	Ophiostoma piceae			---NA---	0	-		N	8	0	0	16	50	8	18	14
gene_4694	20.3634578812454	-2.4292769303192	565	Allantoate permease	Grosmannia clavigera	Ophiostoma piceae			allantoate permease	2	P:transmembrane transport; C:integral to membrane	-	N	20	0	0	60	173	4	20	26
gene_4738	6.08299933541304	-2.49198794766564	309	Protein GCY	Aspergillus niger	Ophiostoma piceae	K00100	E1.1.1.-; genes in multiple pathways	aldo-keto reductase	10	C:cytoplasm; F:mRNA binding; F:carbonyl reductase (NADPH) activity; P:cellular response to oxidative stress; P:D-xylose catabolic process; F:alditol:NADP+ 1-oxidoreductase activity; P:arabinose catabolic process; F:glucose 1-dehydrogenase (NADP+) activity; C:nucleus; P:oxidation-reduction process	EC:1.1.1.184; EC:1.1.1.21; EC:1.1.1.119	N	4	0	0	12	10	30	28	0
gene_4854	5.01290255150708	-2.09444564429336	231	Putative uncharacterized protein	Chaetomium globosum	Ophiostoma piceae			zf-dnl-domain-containing protein	1	F:zinc ion binding	-	N	6	0	0	11	8	22	9	4
gene_4869	29.8905833845144	-3.42474402290555	392	Alpha-ketoglutarate-dependent taurine dioxygenase	Fusarium oxysporum	Ophiostoma piceae			alpha-ketoglutarate-dependent sulfonate dioxygenase	2	P:oxidation-reduction process; F:oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen	EC:1.13.11.0	N	10	2	0	32	312	2	4	46
gene_4950	2.44708740481406	-2.07023229497775	283	Rhamnolipids biosynthesis 3-oxoacyl-acyl-carrier-protein reductase	Togninia minima	Ophiostoma piceae	K08081	E1.1.1.206; tropine dehydrogenase [EC:1.1.1.206]	3-oxoacyl-acyl-carrier-protein reductase	3	F:oxidoreductase activity; P:oxidation-reduction process; F:nucleotide binding	-	N	2	0	0	2	6	8	0	4
gene_496	8.98153489741054	-2.11299773695891	400	Fe/ascorbate oxidoreductase	Grosmannia clavigera	Ophiostoma piceae			naringenin 3-dioxygenase	3	P:oxidation-reduction process; F:oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen; F:oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors	EC:1.13.11.0; EC:1.14.11.0	N	15	0	0	20	68	17	3	10
gene_4969	4.47972905959792	-3.01789567418305	354	Alternative oxidase	Togninia minima	Ophiostoma piceae			alternative oxidase	8	F:metal ion binding; C:mitochondrial inner membrane; P:respiratory gaseous exchange; P:mycelium development; C:respiratory chain; F:alternative oxidase activity; C:integral to membrane; P:electron transport chain	-	N	2	0	0	0	54	6	6	4
gene_4971	31.5276454662198	-4.82588071941462	368	Alpha-ketoglutarate-dependent sulfonate dioxygenase	Colletotrichum fioriniae	Ophiostoma piceae	K03119	tauD; taurine dioxygenase [EC:1.14.11.17]	family taurine catabolism dioxygenase	2	P:oxidation-reduction process; F:oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen	EC:1.13.11.0	N	0	0	0	20	242	6	0	62
gene_4983	4.66027419556202	-2.86697054382411	613	Putative uncharacterized protein	Nectria haematococca	Ophiostoma piceae			bzip transcription	3	P:regulation of transcription, DNA-dependent; F:sequence-specific DNA binding; F:sequence-specific DNA binding transcription factor activity		N	0	0	0	6	24	0	1	10
gene_5004	2.25583340122219	-2.26480105983459	381	TAM domain protein	Grosmannia clavigera	Ophiostoma piceae			tam domain protein	3	F:methyltransferase activity; F:transferase activity; P:methylation		N	0	0	0	2	2	0	0	6
gene_5014	102.576632423141	-3.66046987785354	455	Aminotransferase family protein	Grosmannia clavigera	Ophiostoma piceae			aminotransferase family protein	1	F:catalytic activity	-	N	24	6	0	129	569	50	58	186
gene_5017	4.23622490288196	-2.50446812023241	271	Oxidoreductase ucpA	Exophiala aquamarina	Ophiostoma piceae			2-hydroxycyclohexanecarboxyl- dehydrogenase	1	F:nucleotide binding		N	2	0	0	6	36	12	3	4
gene_5105	298.196772377409	-3.63078128123346	315	Aflatoxin B1 aldehyde reductase member 3	Capronia coronata	Capronia coronata			aldehyde reductase	2	P:oxidation-reduction process; F:oxidoreductase activity		N	170	8	4	220	2553	68	34	503
