Gene_ID	ExprLevel	LogFC	Size..aa.	Final.Description	X.1st.BLASTp.hit...if.blank..see.next.column.	X.1st.BLASTp.hit...blank.are.real.orphans..	KO.	Name.KEGG	Annotation	X.GO.Terms	GO.Terms	Enzyme.Code	SignalP	D_T1_Rep1	D_T1_Rep2	D_T1_Rep3	D_T1_Rep4	D_T2_Rep1	D_T2_Rep2	D_T2_Rep3	D_T2_Rep4
gene_1008	16.0027759308954	0.59974350043222	378	Alcohol dehydrogenase	Grosmannia clavigera	Ophiostoma piceae	K13955	yogA; zinc-binding alcohol dehydrogenase/oxidoreductase	zinc-binding dehydrogenase	1	F:binding	-	N	42	71	22	40	37	16	2	0
gene_1009	7.75019517862626	1.0758692117267	323	KRR1 small subunit processome component KRR-R motif-containing protein 1	Grosmannia clavigera	Ophiostoma piceae	K06961	KRR1; ribosomal RNA assembly protein	ribosomal rna assembly protein krr1	5	F:RNA binding; C:nucleolus; C:90S preribosome; C:small-subunit processome; P:endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	-	N	11	19	4	89	11	12	0	0
gene_101	0.582747629963993	-0.190179107223157	204	Putative uncharacterized protein	 	Ophiostoma piceae			---NA---	0	-		N	4	0	0	0	6	0	0	0
gene_1010	15.687786839118	1.56392110378133	410	GATA type zinc finger protein asd-4 (Ascus development protein 4)	Grosmannia clavigera	Ophiostoma piceae	K09184	GATAF; GATA-binding protein, other eukaryote	gata transcription factor	3	F:metal ion binding; P:transcription, DNA-dependent; F:DNA binding	-	N	68	29	16	130	16	11	0	2
gene_1011	14.8070396055648	0.660668720965854	476	Uncharacterized membrane protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_1569	1	P:mycelium development	-	N	30	41	34	60	28	4	1	4
gene_1012	1.9379795827842	0.455700096273335	303	Putative uncharacterized protein	Grosmannia clavigera	Sporothrix schenckii			hypothetical protein CMQ_417	0	-		N	0	7	2	17	8	2	0	0
gene_1013	23.9939801337053	-0.22128942586581	1 088	Cutinase transcription factor 1 alpha	Grosmannia clavigera	Ophiostoma piceae			cutinase transcription factor 1 alpha	2	P:transcription, DNA-dependent; F:binding	-	N	52	57	17	89	66	25	2	6
gene_1014	47.5296736055317	-1.22603634563781	213	Putative uncharacterized protein	Togninia minima	Ophiostoma piceae			hypothetical protein CMQ_1231	3	F:molecular_function; P:biological_process; C:cellular_component		N	66	68	65	24	108	51	10	17
gene_1015	22.7627764128642	0.48252077786682	1 176	Poly(A) RNA polymerase protein cid1	Grosmannia clavigera	Ophiostoma piceae			caffeine-induced death protein 1	1	F:nucleotidyltransferase activity		N	50	53	27	136	58	12	2	4
gene_1016	15.6988810533217	0.946966230062562	759	Transcription initiation factor IIF subunit alpha (TFIIF large subunit)	Grosmannia clavigera	Ophiostoma piceae	K03138	TFIIF1, GTF2F1, TFG1; transcription initiation factor TFIIF subunit alpha	transcription initiation factor iif subunit alpha	2	F:nucleic acid binding; P:transcription, DNA-dependent	-	N	33	43	13	133	59	13	0	0
gene_1017	4.52744913629147	2.53741604801693	534	Putative uncharacterized protein	Magnaporthe oryzae	Ophiostoma piceae			hypothetical protein MGG_01343	3	F:molecular_function; P:biological_process; C:cellular_component		N	12	18	19	24	3	1	0	0
gene_1018	5.94711281315392	1.26600449499198	274	Serine/threonine-protein kinase BUD32	Grosmannia clavigera	Ophiostoma piceae	K08851	TP53RK, PRPK, BUD32; TP53 regulating kinase [EC:2.7.11.1]	bud32 protein kinase	7	P:lipopolysaccharide biosynthetic process; P:protein phosphorylation; F:protein tyrosine kinase activity; F:ATP binding; P:transcription, DNA-dependent; C:chromosome; C:membrane	EC:2.7.10.0	N	8	22	17	34	22	2	0	0
gene_1019	23.5594078822747	1.5515096018189	413	Glutamate-cysteine ligase modifier subunit	Togninia minima	Ophiostoma piceae	K11205	GCLM; glutamate--cysteine ligase regulatory subunit	glutamate-cysteine ligase modifier subunit	3	F:ligase activity; P:biological_process; C:cellular_component		N	38	81	40	203	49	12	0	2
gene_102	26.7475137870174	0.442076895881513	544	Amino-acid permease	Grosmannia clavigera	Ophiostoma piceae	K16261	YAT; yeast amino acid transporter	amino-acid permease inda1	3	C:integral to membrane; F:amino acid transmembrane transporter activity; P:amino acid transmembrane transport	-	N	124	64	40	32	57	30	4	0
gene_1020	6.31422677104348	1.42283451425093	155	AP-1 complex subunit sigma-1 (Sigma1-adaptin)	Trichoderma reesei	Ophiostoma piceae	K12394	AP1S1_2; AP-1 complex subunit sigma 1/2	mitogen-activated protein kinase maf1	3	P:protein transport; F:protein transporter activity; P:transport		N	21	31	7	34	15	0	0	1
gene_1020.1	23.1952476400457	-0.489282871351856	439	Mitogen-activated protein kinase maf1	Grosmannia clavigera	Ophiostoma piceae				4	F:kinase activity; P:negative regulation of transcription from RNA polymerase III promoter; P:phosphorylation; C:nucleus		N	24	42	14	122	41	40	2	6
gene_1021	28.8465784541882	-0.307908863431755	987	Vacuolar fusion protein CCZ1 homolog	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_887	0	-		N	64	28	47	92	58	32	6	4
gene_1022	0	0	177	Expansin family protein	Grosmannia clavigera	Ophiostoma piceae			allergen asp f7	0	-		N	0	0	0	0	0	0	0	0
gene_1023	2.60158384823334	1.46451051441124	294	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			nicotinamide n-	3	F:methyltransferase activity; F:transferase activity; P:methylation		N	10	9	8	10	8	0	0	0
gene_1024	8.83238944020379	-0.287366228468831	1 389	Axial budding pattern protein 2 (Bud site selection protein 10)	Grosmannia clavigera	Ophiostoma piceae			transmembrane glycoprotein	1	F:catalytic activity	-	Y	6	26	12	30	10	4	0	6
gene_1025	11.3124911595528	0.395039069406486	417	Putative uncharacterized protein	 	Ophiostoma piceae			---NA---	0	-		N	12	59	12	41	67	7	0	0
gene_1026	136.923405347602	0.676764208959556	827	Cell division control protein 48	Grosmannia clavigera	Ophiostoma piceae	K13525	VCP, CDC48; transitional endoplasmic reticulum ATPase	cell division control protein 48	4	F:nucleoside-triphosphatase activity; F:ATP binding; P:mycelium development; P:cell division	EC:3.6.1.15	N	341	456	271	428	353	96	8	18
gene_1027	3.35690589044553	-0.518099068328023	165	Putative uncharacterized protein	Grosmannia clavigera	Grosmannia clavigera			hypothetical protein CMQ_549	0	-		N	3	0	5	18	3	0	2	0
gene_1028	57.6024372008924	0.443563431050727	623	Protein phosphatase PP2A regulatory subunit A	Grosmannia clavigera	Ophiostoma piceae	K03456	PPP2R1; protein phosphatase 2 (formerly 2A), regulatory subunit A	protein phosphatase pp2a regulatory subunit a	2	P:biological_process; C:cellular_component		N	135	205	89	172	140	40	4	11
gene_1029	21.5656287969037	0.57820161526045	1 004	Phosphoinositide 3-phosphatase (3.1.3.64)	Grosmannia clavigera	Ophiostoma piceae	K01104	E3.1.3.48; protein-tyrosine phosphatase [EC:3.1.3.48]	protein phosphatase	2	P:dephosphorylation; F:phosphatase activity	EC:3.1.3.0	N	72	43	32	96	32	21	0	6
gene_103	11.380546906864	1.1669513792199	1 137	Putative uncharacterized protein	Scedosporium apiospermum	Scedosporium apiospermum			hypothetical protein NECHADRAFT_82115	0	-		N	20	106	8	12	53	2	0	0
gene_1030	7.82550194515582	0.29344643313989	415	Diaminohydroxyphosphoribosylamino-pyrimidine deaminase (DRAP deaminase)	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_393	0	-		N	10	8	24	34	36	10	0	0
gene_1031	88.3748939113541	0.39006654415783	695	Long-chain-fatty-acid-CoA ligase 1 (Fatty acid activator 1)	Grosmannia clavigera	Ophiostoma piceae	K01897	ACSL, fadD; long-chain acyl-CoA synthetase [EC:6.2.1.3]	long-chain-fatty-acid- ligase 1	2	F:ligase activity; P:metabolic process	-	N	152	275	159	334	368	77	4	4
gene_1032	46.107334778439	0.512821545760777	190	Calcium-binding protein NCS-1	Togninia minima	Ophiostoma piceae			neuronal calcium sensor 1	5	C:Golgi membrane; F:enzyme activator activity; F:calcium ion binding; P:regulation of signal transduction; P:positive regulation of catalytic activity	-	N	106	118	77	208	99	27	6	6
gene_1033	4.55427133195647	2.26246662735004	920	Cell division control protein 45 homolog (Suppressor of nda4 protein)	Grosmannia clavigera	Ophiostoma piceae	K06628	CDC45; cell division control protein 45	cell division control protein	3	P:translational initiation; P:DNA-dependent DNA replication initiation; F:translation initiation factor activity	-	N	14	18	8	42	8	0	0	0
gene_1034	6.64750639096147	0.999103634485254	612	DNA replication initiation factor cdc45	Grosmannia clavigera	Ophiostoma piceae			dna replication initiation factor cdc45	6	P:translational initiation; P:DNA-dependent DNA replication initiation; F:translation initiation factor activity; F:molecular_function; P:biological_process; C:cellular_component		N	26	12	12	36	26	4	0	0
gene_1035	21.1775440353982	-0.500607362997409	485	Ribose-phosphate diphosphokinase	Togninia minima	Ophiostoma piceae	K00948	PRPS, prsA; ribose-phosphate pyrophosphokinase [EC:2.7.6.1]	ribose-phosphate pyrophosphokinase 1	6	P:nucleotide biosynthetic process; F:kinase activity; P:phosphorylation; P:ribonucleoside monophosphate biosynthetic process; F:ribose phosphate diphosphokinase activity; F:magnesium ion binding	EC:2.7.6.1	N	34	40	20	73	62	10	0	12
gene_1036	9.64603423395133	-0.975013359381428	378	Pre-mRNA-splicing factor CWC26	Grosmannia clavigera	Ophiostoma piceae	K13106	BUD13, CWC26; pre-mRNA-splicing factor CWC26	pre-mrna-splicing factor cwc26	2	P:mycelium development; C:intracellular part	-	N	18	10	2	34	12	6	0	8
gene_1037	13.9420901066594	-0.887289872284788	195	Putative uncharacterized protein	Colletotrichum fioriniae	Ophiostoma piceae			4-carboxymuconolactone decarboxylase family protein	2	P:oxidation-reduction process; F:peroxiredoxin activity	EC:1.11.1.15	N	34	22	18	0	32	12	6	0
gene_1038	24.7614517792608	0.670990573647054	531	Uncharacterized transporter C1683.12	Togninia minima	Ophiostoma piceae			pantothenate transporter liz1	2	P:transmembrane transport; C:integral to membrane	-	N	74	103	54	20	46	8	6	0
gene_1039	17.2800541617163	-4.09672709050016	567	Amino acid permease	Grosmannia clavigera	Ophiostoma piceae			amino acid permease	3	C:integral to membrane; F:amino acid transmembrane transporter activity; P:amino acid transmembrane transport	-	N	0	8	0	2	44	12	0	20
gene_104	164.439403562323	0.185555441312615	148	Hypersensitive response-inducing protein	Eutypa lata	Ophiostoma ulmi			22kda glycoprotein	0	-		Y	320	416	243	662	195	84	51	9
gene_1040	0.572431161820783	-1.10088504568557	481	Putative uncharacterized protein	 	Ophiostoma piceae			hypothetical protein PCYB_083920	0	-		Y	0	0	0	0	10	0	0	0
gene_1041	17.9674104598624	-0.295287050147755	181	Protein orm1	Togninia minima	Ophiostoma piceae			protein orm1	4	C:integral to membrane; C:SPOTS complex; P:response to unfolded protein; P:negative regulation of sphingolipid biosynthetic process	-	N	52	30	23	35	44	17	4	2
gene_1042	15.1457095891498	0.783849228837269	717	Arginine methyltransferase-interacting ring finger protein	Grosmannia clavigera	Ophiostoma piceae			arginine methyltransferase-interacting ring finger protein	7	F:nucleic acid binding; F:methyltransferase activity; F:transferase activity; F:zinc ion binding; P:methylation; P:biological_process; C:cellular_component		N	54	26	22	84	36	24	0	0
gene_1043	4.54716797416775	0.497336468801279	985	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_1727	3	F:molecular_function; P:biological_process; C:cellular_component		N	18	15	2	18	2	12	0	0
gene_1044	23.8826168280365	-0.242491946349452	1 289	Osmolarity two-component system protein sln1	Grosmannia clavigera	Ophiostoma piceae	K11231	SLN1; osomolarity two-component system, sensor histidine kinase SLN1 [EC:2.7.13.3]	histidine kinase group protein	9	F:two-component response regulator activity; P:two-component signal transduction system (phosphorelay); P:intracellular signal transduction; C:intracellular; P:regulation of transcription, DNA-dependent; P:signal transduction by phosphorylation; F:ATP binding; F:two-component sensor activity; C:membrane	-	N	37	61	42	48	70	28	4	2
gene_1045	0.22267570641618	-0.0148598393775987	629	Putative uncharacterized protein	 	Ophiostoma piceae			---NA---	0	-		N	0	2	0	0	2	0	0	0
gene_1046	29.1044659427647	0.872187674514743	440	DUF124 domain containing protein	Grosmannia clavigera	Ophiostoma piceae			duf124 domain containing protein	0	-		N	68	101	95	37	74	42	0	0
gene_1047	11.7823704687732	-0.639181924251984	277	Peptide alpha-n-acetyltransferase	Grosmannia clavigera	Ophiostoma piceae			peptide alpha-n-acetyltransferase	1	F:transferase activity		N	21	14	9	45	11	16	2	4
gene_1048	5.31587130349468	1.26255638436937	756	Asparagine amidase a	Grosmannia clavigera	Ophiostoma piceae			peptide-n4-(n-acetyl-beta-glucosaminyl)asparagine amidase a	3	F:molecular_function; P:biological_process; C:cellular_component		N	23	30	10	3	9	6	0	0
gene_1049	1.0836906462738	-0.374713851415943	528	Maltose permease MAL61	Fusarium oxysporum	Fusarium oxysporum			maltose permease mal61	7	F:transmembrane transporter activity; C:integral to membrane; C:membrane; P:transmembrane transport; P:transport; F:transporter activity; P:carbohydrate transport		N	5	2	0	0	2	4	0	0
gene_105	13.0461830371413	0.891295584645934	1 202	Heat repeat protein	Grosmannia clavigera	Ophiostoma piceae			heat repeat protein	0	-		N	32	24	16	106	16	16	0	2
gene_1050	0.733812967795203	0.463030296422185	928	Alpha-rhamnosidase Eurofung	Fusarium oxysporum	Ophiostoma piceae			tpa: alpha-rhamnosidase	1	F:catalytic activity	-	N	2	4	2	0	4	0	0	0
gene_1051	85.094241242404	-1.16119349388875	287	Fumarylacetoacetate hydrolase domain-containing protein 2	Scedosporium apiospermum	Ophiostoma piceae	K01828	E5.3.3.-; unclassified metabolism	fumarylacetoacetate hydrolase	6	P:transcription, DNA-dependent; P:mycelium development; F:DNA binding; F:hydrolase activity; C:nucleus; F:zinc ion binding	-	N	56	164	149	34	76	169	26	10
gene_1052	9.48803661649566	1.8148647634431	695	Copper amine oxidase 1	Togninia minima	Ophiostoma piceae	K00276	E1.4.3.21, AOC2, AOC3, tynA; primary-amine oxidase [EC:1.4.3.21]	copper amine oxidase 1	5	F:copper ion binding; P:oxidation-reduction process; F:quinone binding; F:primary amine oxidase activity; P:amine metabolic process	EC:1.4.3.21	N	26	90	12	6	22	4	0	0
gene_1053	4.30707370387063	1.08923951383111	616	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			c6 zinc finger domain containing protein	7	F:molecular_function; P:biological_process; C:cellular_component; P:transcription, DNA-dependent; F:zinc ion binding; C:nucleus; F:DNA binding		N	6	14	10	30	16	2	0	0
gene_1054	7.88309590783867	1.11357086567895	611	tRNA pseudouridine synthase	Grosmannia clavigera	Ophiostoma piceae	K06173	truA, PUS1; tRNA pseudouridine38-40 synthase [EC:5.4.99.12]	trna pseudouridine synthase	1	P:RNA modification	-	N	10	18	22	56	11	3	0	2
gene_1055	4.8576502104617	1.02386409645141	932	Ankyrin repeat-containing protein	Trichomonas vaginalis	Ophiostoma piceae	K10380	ANK; ankyrin		0	-		N	18	25	10	4	25	0	0	0
gene_1055.1	16.6511122300222	1.30769371855699	339	Metacaspase	Grosmannia clavigera	Ophiostoma piceae			mca1_debha ame: full=metacaspase-1 flags: precursor	5	P:proteolysis; F:cysteine-type endopeptidase activity; F:RNA polymerase II transcription cofactor activity; C:mediator complex; P:regulation of transcription from RNA polymerase II promoter		N	67	66	21	71	26	22	0	0
gene_1056	11.9048240902374	0.723225715856547	389	Fructosyl peptide oxidase (Octopine oxidase subunit B)	Grosmannia clavigera	Ophiostoma piceae			glycine d-amino acid deaminating	2	P:oxidation-reduction process; F:oxidoreductase activity		N	74	28	8	24	20	14	0	2
gene_1057	0.239288932871524	0.564210221519334	134	Putative uncharacterized protein	Eutypa lata	Ophiostoma piceae			hypothetical protein MAC_07925	0	-		N	4	0	0	0	0	0	0	0
gene_1058	0.89271261531466	1.47789759014705	322	Arabinan endo-1,5-alpha-L-arabinosidase	Grosmannia clavigera	Ophiostoma piceae	K06113	abnA; arabinan endo-1,5-alpha-L-arabinosidase [EC:3.2.1.99]	extracellular endo- -alpha-l-	2	F:hydrolase activity, hydrolyzing O-glycosyl compounds; P:polysaccharide catabolic process	EC:3.2.1.0	Y	0	8	0	12	0	0	0	0
gene_1059	6.09255645657037	1.10751760667258	697	PdmS protein	Colletotrichum sublineola	Ophiostoma piceae			glycosyltransferase (n-glycosyltransferase) (n-glycosyl transferase ngt)	7	P:lipid glycosylation; F:transferase activity; P:metabolic process; P:carbohydrate metabolic process; P:antibiotic metabolic process; F:transferase activity, transferring hexosyl groups; F:transferase activity, transferring glycosyl groups		N	20	27	10	22	6	10	0	0
gene_106	21.1577977658543	0.234400844182037	316	DUF1749 domain containing protein	Grosmannia clavigera	Ophiostoma piceae			dolichol-phosphate mannosyltransferase	4	F:transferase activity; P:biological_process; F:transferase activity, transferring glycosyl groups; C:cellular_component		N	65	24	50	54	25	14	0	10
gene_1060	4.95918962068674	1.0093824684298	473	Serine/threonine-protein kinase RIO1	Grosmannia clavigera	Ophiostoma piceae	K07178	RIOK1; RIO kinase 1 [EC:2.7.11.1]	serine threonine-protein kinase rio1	1	F:kinase activity	-	N	12	8	4	52	16	4	0	0
gene_1061	1.65556242510667	2.10806434358239	482	Lipase 5	Chaetomium globosum	Ophiostoma piceae			lipase 1 precursor	4	P:lipid catabolic process; F:triglyceride lipase activity; F:hydrolase activity; F:retinyl-palmitate esterase activity		Y	2	4	12	8	0	0	0	0
gene_1062	0	0	99	FAD binding domain-containing protein	Magnaporthe oryzae	Sporothrix schenckii			fad binding domain-containing protein	6	P:oxidation-reduction process; F:oxidoreductase activity; F:UDP-N-acetylmuramate dehydrogenase activity; F:catalytic activity; F:oxidoreductase activity, acting on CH-OH group of donors; F:flavin adenine dinucleotide binding		N	0	0	0	0	0	0	0	0
gene_1063	22.1815802187847	0.377248567793476	276	Extradiol ring-cleavage class 3 subunit b	Grosmannia clavigera	Ophiostoma piceae	K15777	DOPA; 4,5-DOPA dioxygenase extradiol [EC:1.13.11.-]	extradiol ring-cleavage class 3 subunit b	4	F:ferrous iron binding; P:cellular aromatic compound metabolic process; P:oxidation-reduction process; F:oxidoreductase activity, acting on single donors with incorporation of molecular oxygen	-	N	76	46	60	13	51	7	6	0
gene_1064	64.6311082094836	0.0467549428093354	451	6-hydroxynicotinate 3-monooxygenase	Pestalotiopsis fici	Ophiostoma piceae			salicylate hydroxylase	2	P:metabolic process; F:oxidoreductase activity	-	N	16	226	203	66	128	98	2	14
gene_1065	61.900533949521	-0.374477683116685	557	Cycloheximide resistance protein	Pestalotiopsis fici	Ophiostoma piceae			cycloheximide resistance	1	P:cellular process	-	N	19	89	239	20	168	100	8	6
gene_1066	1.45014176411406	0.361387826040238	333	Putative uncharacterized protein	 	Ophiostoma piceae			---NA---	0	-		N	4	4	5	0	10	0	0	0
gene_1067	1.17517673257696	0.0681543247236213	374	Kinase activator protein	Grosmannia clavigera	Ophiostoma piceae			kinase activator protein	3	F:kinase activity; P:autophagy; P:phosphorylation		N	0	0	0	16	0	4	0	0
gene_1068	11.8085938971058	1.61428743820925	366	Ribosomal large subunit biogenesis protein	Grosmannia clavigera	Ophiostoma piceae	K14831	MAK16; protein MAK16	ribosomal large subunit biogenesis protein	3	C:nucleolus; P:ribosomal large subunit biogenesis; P:rRNA processing	-	N	20	1	11	182	12	14	0	0
gene_1069	13.6878419701409	1.67241327247905	358	1-aminocyclopropane-1-carboxylate deaminase	Togninia minima	Ophiostoma piceae	K01505	E3.5.99.7; 1-aminocyclopropane-1-carboxylate deaminase [EC:3.5.99.7]	1-aminocyclopropane-1-carboxylate deaminase	8	P:amine catabolic process; F:1-aminocyclopropane-1-carboxylate deaminase activity; P:regulation of transcription from RNA polymerase II promoter; F:zinc ion binding; F:sequence-specific DNA binding RNA polymerase II transcription factor activity; F:DNA binding; F:pyridoxal phosphate binding; C:nucleus	EC:3.5.99.7	N	42	52	48	34	28	10	0	0
gene_107	0.757279755723901	-0.64702806778281	263	Sterol isomerase	Grosmannia clavigera	Ophiostoma piceae	K01824	EBP; cholestenol delta-isomerase [EC:5.3.3.5]	ebp domain containing protein	5	C:integral to membrane; C:endoplasmic reticulum; P:sterol metabolic process; F:cholestenol delta-isomerase activity; F:isomerase activity		N	0	2	0	2	10	0	0	0
gene_1070	84.8386073379169	-0.923632675539769	849	Protein phosphatase regulatory subunit	Grosmannia clavigera	Ophiostoma piceae	K07189	PPP1R3; protein phosphatase 1, regulatory (inhibitor) subunit 3	carbohydrate-binding module family 21 protein	0	-		N	54	138	84	296	243	78	12	31
gene_1071	0	0	42	Putative uncharacterized protein	 				---NA---	0	-		N	0	0	0	0	0	0	0	0
gene_1072	1.08237509229094	1.25629014745181	327	Putative uncharacterized protein	 	Ophiostoma piceae			---NA---	0	-		Y	0	4	3	13	2	0	0	0
gene_1073	12.0009933404519	-1.89487380573941	609	Autophagy-related protein 17	Grosmannia clavigera	Ophiostoma piceae	K08329	ATG17; autophagy-related protein 17	kinase activator	1	P:cellular metabolic process	-	N	10	2	2	36	14	10	0	12
gene_1074	27.9387817290147	0.966145068689754	292	Carbohydrate esterase family 1 protein 	Pestalotiopsis fici	Sporothrix schenckii			probable acetylxylan esterase	5	C:extracellular region; F:hydrolase activity, hydrolyzing O-glycosyl compounds; F:polysaccharide binding; F:carbohydrate binding; P:carbohydrate metabolic process		Y	0	95	120	88	18	14	4	4
gene_1075	17.305294836048	0.387624689195862	395	Cyclin-dependent protein kinase complex component	Grosmannia clavigera	Ophiostoma piceae			cyclin-dependent protein kinase complex component	4	F:protein kinase binding; F:kinase activity; P:phosphorylation; P:regulation of cyclin-dependent protein kinase activity		N	41	68	33	25	66	26	0	0
gene_1076	34.6526090408737	-0.282567602308071	477	Prolidase	Grosmannia clavigera	Ophiostoma piceae	K14213	PEPD; Xaa-Pro dipeptidase [EC:3.4.13.9]	xaa-pro dipeptidase	6	P:cellular process; F:metallopeptidase activity; P:mycelium development; P:proteolysis; F:manganese ion binding; F:aminopeptidase activity	EC:3.4.11.0	N	119	71	48	15	113	27	2	11
gene_1077	2.33658071035655	-0.247999484545791	534	Pisatin demethylase (CYP5077C1)	Podospora anserina	Ophiostoma piceae	K07436	CYP24A1; cytochrome P450, family 24, subfamily A, polypeptide 1 (vitamin D3 24-hydroxylase) [EC:1.14.13.126]	benzoate 4-monooxygenase cytochrome	2	F:oxidoreductase activity; F:binding	-	N	9	9	0	0	18	2	0	0
gene_1078	18.9127082513359	1.14763092743319	2 206	Conidial yellow pigment biosynthesis polyketide synthase (PKS)	Podospora anserina	Ophiostoma piceae			polyketide synthase	1	F:catalytic activity	-	N	95	126	4	10	70	12	0	0
gene_1079	9.41305531782588	0.177591561893713	902	C6 zinc finger fungal transcription factor	Neurospora tetrasperma	Ophiostoma piceae			c6 zinc finger domain containing protein	9	P:transcription from RNA polymerase II promoter; F:DNA binding; C:nucleus; F:zinc ion binding; P:regulation of transcription from RNA polymerase II promoter; F:sequence-specific DNA binding RNA polymerase II transcription factor activity; P:regulation of transcription, DNA-dependent; F:metal ion binding; P:transcription, DNA-dependent		N	31	14	0	63	18	6	0	4
gene_108	15.206311638686	0.844597077152493	587	Putative C6 transcription factor	Grosmannia clavigera	Ophiostoma piceae	K09242	LEU3; transcriptional regulatory protein LEU3		9	P:transcription, DNA-dependent; F:zinc ion binding; C:nucleus; F:DNA binding; P:transcription from RNA polymerase II promoter; P:regulation of transcription from RNA polymerase II promoter; F:sequence-specific DNA binding RNA polymerase II transcription factor activity; P:regulation of transcription, DNA-dependent; F:metal ion binding		N	24	20	24	140	30	12	2	0
gene_108.1	9.84797381087995	0.858426928331609	306	Pre-mRNA-splicing factor cwc15	Botrytis cinerea	Ophiostoma piceae			c6 transcription factor	4	P:transcription, DNA-dependent; F:DNA binding; C:nucleus; F:zinc ion binding		N	22	16	22	64	39	8	0	0
gene_1080	0.916894753738222	-0.701295907098493	449	Riboflavin transporter MCH5	Talaromyces marneffei	Ophiostoma piceae			mfs monocarboxylate transporter	2	P:transmembrane transport; C:integral to membrane	-	N	0	0	0	6	12	0	0	0
