Gene_ID	ExprLevel	LogFC	Size..aa.	Final.Description	X.1st.BLASTp.hit...if.blank..see.next.column.	X.1st.BLASTp.hit...blank.are.real.orphans..	KO.	Name.KEGG	Annotation	X.GO.Terms	GO.Terms	Enzyme.Code	SignalP	D_T1_Rep1	D_T1_Rep2	D_T1_Rep3	D_T1_Rep4	D_T2_Rep1	D_T2_Rep2	D_T2_Rep3	D_T2_Rep4
gene_1567	18.7322539964038	-3.41864682484267	379	Endopolygalacturonase AN8327 (Pectinase AN8327)	Penicillium oxalicum	Ophiostoma ulmi	K01184	E3.2.1.15; polygalacturonase [EC:3.2.1.15]	pglr_emeni ame: full=endopolygalacturonase an8327 ame: full=pectinase an8327 ame: full=polygalacturonase an8327 flags: precursor	4	C:extracellular region; F:polygalacturonase activity; P:cellular cell wall organization; P:pectin catabolic process	EC:3.2.1.15	Y	12	4	3	0	3	70	0	12
gene_1654	5.75313674939848	-2.34258213850936	166	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_7288	0	-		N	6	0	3	0	2	0	0	8
gene_1655	45.5975374335021	-2.05283360782477	215	Superoxide dismutase	Trichoderma reesei	Ophiostoma piceae	K04564	SOD2; superoxide dismutase, Fe-Mn family [EC:1.15.1.1]	manganese superoxide dismutase	4	F:metal ion binding; P:superoxide metabolic process; F:superoxide dismutase activity; P:oxidation-reduction process	EC:1.15.1.1	N	69	30	10	51	107	21	3	40
gene_1699	3.67059873325783	-2.41079983592623	415	Putative uncharacterized protein	Ophiocordyceps sinensis	Ophiostoma piceae			---NA---	0	-		N	4	0	0	0	0	2	2	2
gene_1813	248.905223552872	-4.86915981629409	431	Chitinase 1	Colletotrichum sublineola	Ophiostoma piceae	K01183	E3.2.1.14; chitinase [EC:3.2.1.14]	glycoside hydrolase family 18 protein	2	F:hydrolase activity, hydrolyzing O-glycosyl compounds; P:metabolic process	EC:3.2.1.0	Y	71	18	22	18	324	292	69	185
gene_186	12.5332785482938	-2.14051224862922	342	CAAX prenyl protease 2	Gaeumannomyces graminis	Ophiostoma piceae	K08658	RCE1, FACE2; prenyl protein peptidase [EC:3.4.22.-]	prenyl proteinase rce1	5	C:membrane; P:proteolysis; F:peptidase activity; P:biological_process; C:cellular_component		N	6	23	2	6	25	29	0	8
gene_1864	33.9297582911383	-2.0956223252833	345	3-dehydroshikimate dehydratase (DHS dehydratase)	Sordaria macrospora	Ophiostoma piceae			3-dehydroshikimate dehydratase	1	F:catalytic activity	-	N	49	59	0	0	47	6	19	10
gene_1887	48.7188782765667	-4.42717778680925	721	Sterol uptake control protein 2 (Mannoprotein regulation by oxygen protein 4)	Nectria haematococca	Nectria haematococca			c6 finger domain protein	8	P:regulation of transcription, DNA-dependent; P:transcription from RNA polymerase II promoter; F:sequence-specific DNA binding RNA polymerase II transcription factor activity; F:zinc ion binding; P:regulation of transcription from RNA polymerase II promoter; C:nucleus; F:sequence-specific DNA binding transcription factor activity; F:DNA binding		N	8	6	8	6	51	76	26	14
gene_2060	6.27983437277221	-2.17979696902715	518	RING finger domain protein	Grosmannia clavigera	Ophiostoma piceae			ring finger domain protein	1	F:metal ion binding	-	N	8	0	4	0	35	0	1	4
gene_2199	31.8665422869873	-2.66011388256288	1 502	Putative uncharacterized protein	Fusarium oxysporum	Ophiostoma piceae			hypothetical protein CH063_15259	3	F:molecular_function; P:biological_process; C:cellular_component		N	20	22	9	22	30	7	10	25
gene_2204	7.47053494940665	-2.08020753246136	229	PITH domain-containing protein CG6153	Thielavia terrestris	Ophiostoma piceae			duf1000 domain protein	0	-		N	2	8	4	6	12	0	2	6
gene_2233	47.7495721858849	-2.31597170227152	277	Cell polarity protein alp11 (Altered polarity protein 11)	Grosmannia clavigera	Ophiostoma piceae			cell polarity protein alp11	0	-		N	23	22	53	16	125	28	24	10
gene_2252	43.6733225194929	-3.02360173290723	291	Heat shock protein 30	Grosmannia clavigera	Ophiostoma piceae			opsin related protein	4	C:membrane; F:ion channel activity; P:response to stress; P:ion transport	-	N	24	27	10	17	100	127	2	22
gene_2260	7.51704302018537	-2.26546903411259	862	Uncharacterized transcriptional regulatory protein C139.03	Colletotrichum sublineola	Ophiostoma piceae			binuclear zinc transcription factor	2	F:metal ion binding; P:transcription, DNA-dependent	-	N	0	0	6	12	8	12	2	4
gene_2403	43.8206656524557	-3.24081167753817	390	Zinc-regulated transporter 1 (High-affinity zinc transport protein ZRT1)	Trichoderma virens	Ophiostoma piceae	K14709	SLC39A1_2_3, ZIP1_2_3; solute carrier family 39 (zinc transporter), member 1/2/3	zinc-regulated transporter 1	4	P:metal ion transport; C:membrane; F:metal ion transmembrane transporter activity; P:transmembrane transport	-	N	27	24	4	14	37	28	12	36
gene_2547	6.552116849413	-2.70126258167131	576	Phosphate/H+ symporter	Grosmannia clavigera	Ophiostoma piceae	K08176	PHO84; MFS transporter, PHS family, inorganic phosphate transporter	phosphate h+ symporter	4	P:phosphate ion transport; C:integral to membrane; F:inorganic phosphate transmembrane transporter activity; P:transmembrane transport	-	N	0	0	6	0	18	2	5	0
gene_2764	18.0529194156039	-3.28283012829631	232	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_2358	0	-		N	2	12	6	0	41	58	0	10
gene_2856	1737.35017475782	-2.21732598009564	255	Short chain dehydrogenase reductase	Grosmannia clavigera	Ophiostoma piceae	K00079	CBR1; carbonyl reductase 1 [EC:1.1.1.184 1.1.1.189 1.1.1.197]	short chain dehydrogenase reductase	4	P:oxidation-reduction process; F:oxidoreductase activity; P:metabolic process; F:nucleotide binding		N	1281	2447	1003	352	2057	1281	563	954
gene_2948	11.0521544548309	-2.74776123693506	357	Chitinase 1	Podospora anserina	Ophiostoma piceae			glycosyl hydrolase family 18	2	F:hydrolase activity, hydrolyzing O-glycosyl compounds; P:metabolic process	EC:3.2.1.0	N	2	16	0	2	6	15	0	12
gene_2949	38.1003137742958	-3.14920436591408	820	Putative uncharacterized protein	Colletotrichum gloeosporioides	Ophiostoma piceae			hypothetical protein THITE_2115474	0	-		N	19	18	16	0	31	41	20	13
gene_2960	8.52169301772009	-2.39709752146603	1 691	Dicer-like protein 1 (Endoribonuclease DCL1)	Thielavia terrestris	Sporothrix schenckii	K11592	DICER1, DCR1; endoribonuclease Dicer [EC:3.1.26.-]	rnase3 domain-containing protein	3	F:RNA binding; F:endoribonuclease activity, producing 5'-phosphomonoesters; F:nucleotide binding	EC:3.1.26.0	N	6	2	2	10	22	4	6	0
gene_3124	6.20207713524722	-2.59808614244737	205	G patch domain-containing protein 8	Grosmannia clavigera	Ophiostoma piceae			c2h2 finger domain containing protein	2	F:zinc ion binding; C:intracellular		N	2	6	0	2	0	0	6	0
gene_3292	8.36730575143743	-2.23279363210377	323	5-nitrosalicylic acid 1,2-dioxygenase	Fusarium oxysporum	Fusarium oxysporum			gentisate -dioxygenase	1	F:oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen		N	2	8	7	0	5	0	6	2
gene_3297	4.47672774028888	-2.20181423457788	524	Lactose permease	Colletotrichum gloeosporioides	Colletotrichum gloeosporioides			lactose permease	3	C:membrane; P:transport; F:transmembrane transporter activity	-	N	0	6	0	4	4	0	0	6
gene_3369	1.65972161022674	-2.11084535987508	55	Putative uncharacterized protein	Leptosphaeria maculans	Leptosphaeria maculans			hypothetical protein LEMA_P105280.1	0	-		N	0	0	0	0	2	11	0	0
gene_3390	30.5021878698397	-2.46094266719318	548	Arrestin N-terminal domain containing protein	Grosmannia clavigera	Ophiostoma piceae			arrestin n-terminal domain containing protein	0	-		N	12	11	15	46	18	58	4	21
gene_3394	19.8180881166944	-3.00035816732117	288	Putative uncharacterized protein	Nectria haematococca	Ophiostoma piceae			hypothetical protein NECHADRAFT_82696	0	-		Y	15	7	0	14	26	28	4	14
gene_3415	123.184730798589	-2.0053526123427	564	Hexose transporter	Fusarium graminearum	Ophiostoma piceae	K08139	HXT; MFS transporter, SP family, sugar:H+ symporter	hexose transporter	4	F:substrate-specific transmembrane transporter activity; C:integral to membrane; P:transmembrane transport; P:carbohydrate transport	-	N	146	81	108	53	329	189	30	40
gene_3417	142.646070732274	-6.74928754250033	563	Putative metal chaperone YciC	Fusarium oxysporum	Ophiostoma piceae			cobw domain-containing protein	0	-		N	4	2	2	8	6	4	40	164
gene_3427	41.7516363782437	-2.07829861832913	450	Histidinol dehydrogenase 2	Grosmannia clavigera	Ophiostoma piceae	K00013	hisD; histidinol dehydrogenase [EC:1.1.1.23]	histidinol dehydrogenase	5	F:histidinol dehydrogenase activity; F:NAD binding; P:histidine biosynthetic process; F:zinc ion binding; P:oxidation-reduction process	EC:1.1.1.23	N	12	61	38	12	82	70	14	10
gene_3440	156.025972368159	-4.54374897050526	407	Glycoside hydrolase family 18 protein	Pestalotiopsis fici	Pestalotiopsis fici			glycoside hydrolase family 18 protein	5	F:hydrolase activity, hydrolyzing O-glycosyl compounds; F:hydrolase activity; P:carbohydrate metabolic process; F:cation binding; F:catalytic activity		Y	53	21	10	21	146	176	28	144
gene_3764	5.03514593625109	-2.23855232884037	309	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			set domain-containing protein	4	F:damaged DNA binding; P:nucleotide-excision repair; C:nucleus; F:DNA binding		N	8	0	0	2	0	14	0	4
gene_3839	5.04405927086322	-2.49969942310131	170	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_832	0	-		N	4	0	2	0	4	0	2	4
gene_387	242.659889043673	-3.21586852606572	668	6-hydroxy-D-nicotine oxidase (6-HDNO)	Grosmannia clavigera	Ophiostoma piceae			restculine oxidase precursor	1	F:oxidoreductase activity, acting on CH-OH group of donors	-	Y	102	96	84	125	285	210	58	189
gene_3907	16.4178804278501	-2.10366973250594	233	Signal peptidase complex subunit 2	Magnaporthe oryzae	Ophiostoma piceae			microsomal signal peptidase 25 kda subunit	4	C:signal peptidase complex; C:integral to membrane; F:peptidase activity; P:signal peptide processing		N	26	12	6	2	16	10	0	18
gene_3928	24.0811174835214	-2.7858989194657	90	Putative uncharacterized protein	Magnaporthe grisea	Ophiostoma piceae			hypothetical protein MGG_16792	0	-		N	8	8	20	2	35	100	3	4
gene_4093	5.82319399721999	-2.35572249222161	292	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_4991	0	-		N	0	4	2	6	15	4	4	0
gene_411	284.63951639316	-2.70896465443488	784	Sterol O-acyltransferase 1	Grosmannia clavigera	Ophiostoma piceae	K00637	E2.3.1.26, SOAT; sterol O-acyltransferase [EC:2.3.1.26]	mboat family protein	3	C:integral to membrane; F:O-acyltransferase activity; C:endoplasmic reticulum membrane	-	N	124	176	176	146	473	301	89	149
gene_4127	7.81886963240384	-2.84824069090272	504	Isotrichodermin/trichothecene C-15 hydroxylase (CYP65CE1)	Sordaria macrospora	Sporothrix schenckii			cytochrome p450	2	F:oxidoreductase activity; F:binding	-	N	6	4	0	0	102	10	0	0
gene_4215	72.3000911873866	-3.34388414564172	573	MYB DNA-binding domain containing protein	Grosmannia clavigera	Ophiostoma piceae			myb dna-binding domain containing protein	2	F:chromatin binding; F:DNA binding		N	29	46	16	13	111	72	28	37
gene_4432	11.157954517061	-2.06510357953555	291	Steroid 5 alpha-reductase	Togninia minima	Ophiostoma piceae	K12343	SRD5A1; 3-oxo-5-alpha-steroid 4-dehydrogenase 1 [EC:1.3.99.5]	steroid 5 alpha-reductase	9	C:cytoplasm; F:3-oxo-5-alpha-steroid 4-dehydrogenase activity; F:ATP-dependent helicase activity; F:nucleic acid binding; P:steroid metabolic process; F:ATP binding; C:integral to membrane; P:DNA recombination; P:oxidation-reduction process	EC:1.3.99.5	N	8	3	7	16	23	3	8	0
gene_4500	34.5120249430536	-3.22567759118139	406	Zinc finger protein 143 (Selenocysteine tRNA gene transcription-activating factor)	Myceliophthora thermophila	Ophiostoma piceae	K06235	ZIC2; zinc finger protein ZIC 2	related to epithelial zinc-finger ezf protein	3	F:zinc ion binding; F:nucleic acid binding; C:intracellular		N	12	6	16	14	38	39	12	20
gene_4506	42.7727421346837	-5.88608945152987	299	Putative uncharacterized protein	Pestalotiopsis fici	Ophiostoma piceae			rta1 like partial	2	P:response to stress; C:integral to membrane		N	2	2	0	0	49	50	10	37
gene_4544	11.5659250948698	-2.35396656995722	619	Lariat debranching enzyme B	Colletotrichum graminicola	Ophiostoma piceae	K01175	E3.1.-.-; unclassified metabolism	lariat debranching enzyme	5	F:hydrolase activity, acting on ester bonds; F:hydrolase activity; P:mRNA processing; C:integral to membrane; P:transmembrane transport		N	6	2	2	24	18	10	8	0
gene_4725	4.05317193459355	-2.71268095258893	515	Lactose permease	Nectria haematococca	Nectria haematococca			sugar transporter	4	F:substrate-specific transmembrane transporter activity; C:integral to membrane; P:transmembrane transport; P:carbohydrate transport	-	N	0	0	2	0	2	0	0	6
gene_4727	5.62654855053208	-2.44562708920733	287	Nucleoside-diphosphate-sugar epimerase	Grosmannia clavigera	Ophiostoma piceae			nucleoside-diphosphate-sugar epimerase	1	F:nucleotide binding		Y	6	0	2	0	18	2	4	0
gene_4733	32.2171043138497	-3.45267915644867	502	Unsaturated glucuronyl hydrolase (Glycuronidase)	Colletotrichum fioriniae	Ophiostoma piceae			unsaturated glucuronyl hydrolase	5	P:metabolic process; F:catalytic activity; F:hydrolase activity; P:biological_process; C:cellular_component		N	4	19	12	0	20	3	22	12
gene_4791	26.3851914658386	-2.00576410625464	1 675	F-box domain containing protein	Grosmannia clavigera	Ophiostoma piceae			f-box domain containing protein	2	F:molecular_function; C:cellular_component		N	6	34	20	28	34	22	12	8
gene_483	4.01644254926451	-3.17518685731284	343	Retinol dehydrogenase 11 	Togninia minima	Ophiostoma piceae	K11152	RDH11; retinol dehydrogenase 11 [EC:1.1.1.-]	short-chain dehydrogenase	4	P:oxidation-reduction process; F:oxidoreductase activity; P:metabolic process; F:nucleotide binding		N	0	0	0	0	4	0	4	0
gene_5076	144.970976265933	-2.95132575725791	550	Major facilitator superfamily transporter	Grosmannia clavigera	Ophiostoma piceae			major facilitator superfamily transporter	2	P:transmembrane transport; C:integral to membrane	-	N	83	80	52	66	181	117	40	102
gene_5157	9.66321623377667	-2.50850659259213	276	Putative uncharacterized protein	Gaeumannomyces graminis	Sporothrix schenckii			hypothetical protein GGTG_11509	0	-		N	12	0	4	1	20	8	4	4
gene_5158	111.542107179046	-3.85827597734761	243	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_2567	0	-		Y	44	22	13	48	97	101	50	60
gene_5185	13.8955248656983	-3.34873457563578	505	Probable aspartic-type endopeptidase OPSB	Togninia minima	Ophiostoma piceae	K06009	E3.4.23.41; yapsin 1 [EC:3.4.23.41]	aspartic-type endopeptidase	4	F:peptidase activity; P:protein metabolic process; F:nucleotide binding; P:cellular metabolic process	-	Y	9	4	0	2	23	12	2	13
gene_5223	5.14447327802966	-2.77328275497224	201	Putative uncharacterized protein	Verticillium alfalfae	Ophiostoma piceae			predicted protein	0	-		Y	0	1	0	6	80	2	0	0
gene_5230	14.0426440374309	-2.88101846367782	76	Putative uncharacterized protein	Togninia minima	Ophiostoma piceae			hypothetical protein CMQ_4680	0	-		N	1	8	5	10	24	72	0	2
gene_5332	2.38524828503647	-2.064062718618	93	Acylphosphatase	Colletotrichum graminicola	Sporothrix schenckii			acylphosphatase family protein	1	F:acylphosphatase activity	EC:3.6.1.7	N	0	0	0	4	1	2	2	0
gene_5349	17.5773934167383	-2.8601389307703	60	Putative uncharacterized protein	 				---NA---	0	-		N	22	8	0	0	98	10	4	8
gene_5489	11.4705554808766	-2.34892598418984	186	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_4050	0	-		N	0	12	2	19	8	18	6	2
gene_5535	125.041282705784	-2.51231961856547	554	Inositol transporter 1	Fusarium graminearum	Ophiostoma piceae			sugar transporter	4	F:substrate-specific transmembrane transporter activity; C:integral to membrane; P:transmembrane transport; P:carbohydrate transport	-	N	182	39	31	70	194	147	50	44
gene_5543	145.498000598808	-4.35837267882277	1 113	Bifunctional CYP450:NADPH-P450 reductase (CYP505A28; fatty acid hydroxylase)	Grosmannia clavigera	Ophiostoma piceae	K14338	cypD_E, CYP102A2_3; cytochrome P450 / NADPH-cytochrome P450 reductase [EC:1.14.14.1 1.6.2.4]	bifunctional p-450:nadph-p450 reductase	6	F:metal ion binding; F:monooxygenase activity; F:oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; ; F:organic cyclic compound binding; P:oxidation-reduction process	-	N	42	20	24	18	118	125	47	112
gene_5602	12.4409164586976	-2.43428748892976	520	mRNA cleavage factor complex 2 protein	Grosmannia clavigera	Ophiostoma piceae	K14399	CLP1, HERB; polyribonucleotide 5'-hydroxyl-kinase [EC:2.7.1.78]	mrna cleavage factor complex 2 protein	3	F:ATP binding; F:nucleotide binding; F:nucleoside-triphosphatase activity		N	6	12	2	11	8	20	8	0
gene_5612	13.6633918771402	-2.02430915698011	411	Translation factor pelota 	Togninia minima	Ophiostoma piceae	K06965	PELO, DOM34, pelA; protein pelota	translation factor pelota	0	-		N	4	16	8	16	22	22	2	8
gene_5661	81.0349289740736	-2.60138086373097	352	Voltage-gated potassium channel subunit beta-2 	Glarea lozoyensis	Ophiostoma piceae			aldo-keto reductase	0	-		N	88	28	34	38	94	110	20	48
gene_5834	11.5475055025103	-2.4597565047861	1 336	Activator of stress genes 1	Grosmannia clavigera	Ophiostoma piceae			c6 transcription	2	F:binding; P:transcription, DNA-dependent	-	N	8	2	0	22	30	6	4	6
gene_5869	3.70389880038658	-2.2340965287401	361	Protocatechuate-dioxygenase subunit beta	Grosmannia clavigera	Ophiostoma piceae	K05713	mhpB; 2,3-dihydroxyphenylpropionate 1,2-dioxygenase [EC:1.13.11.16]	protocatechuate -dioxygenase subunit beta	4	F:ferrous iron binding; P:cellular aromatic compound metabolic process; F:oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen; P:oxidation-reduction process	EC:1.13.11.0	N	0	6	0	0	4	0	2	2
gene_6144	100.378724758266	-4.12578497983607	274	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_1203	1	P:transport	-	N	35	36	9	5	101	178	45	35
gene_6324	360.62860661031	-3.38128152796945	143	Putative uncharacterized protein	 	Sporothrix schenckii			---NA---	0	-		Y	162	195	124	12	405	331	137	207
gene_6325	79.5768677061799	-2.36172249526662	291	Putative uncharacterized protein	Magnaporthe oryzae	Sporothrix schenckii			tat pathway signal sequence	0	-		N	61	95	30	34	82	76	14	61
gene_6367	10.7543890954778	-3.89720048719378	534	Riboflavin transporter MCH5	Fusarium oxysporum	Ophiostoma piceae			major facilitator superfamily transporter	5	C:integral to membrane; P:transmembrane transport; F:molecular_function; P:biological_process; C:cellular_component		N	4	0	0	0	16	10	6	4
gene_6432	15.8874993921221	-3.50029910676335	305	Putative uncharacterized protein	 				---NA---	0	-		N	4	7	3	0	19	32	2	12
gene_6531	26.6758659717138	-2.73519804857104	429	FAD binding domain protein	Colletotrichum gloeosporioides	Colletotrichum gloeosporioides			fad binding domain protein	4	P:oxidation-reduction process; F:oxidoreductase activity; P:metabolic process; F:monooxygenase activity		N	4	14	16	20	311	41	0	0
gene_6683	4.82400097262654	-2.36669907783786	342	Putative uncharacterized protein	Grosmannia clavigera	Grosmannia clavigera			hypothetical protein CMQ_8295	0	-		N	0	2	4	0	0	2	3	2
gene_700	3.90195631690035	-3.13814482862249	474	Nuclear divisionprotein rft1	Grosmannia clavigera	Ophiostoma piceae			nuclear divisionprotein rft1	0	-		N	0	0	0	0	2	0	4	0
gene_7074	9.70779770863199	-3.82135900982167	210	Putative uncharacterized protein	Colletotrichum fioriniae	Ophiostoma piceae			hypothetical protein CH063_03867	0	-		N	0	1	0	4	4	66	0	0
gene_7118	3.02568485894288	-2.15229607683647	189	Putative uncharacterized protein	Colletotrichum graminicola	Ophiostoma piceae			hypothetical protein GLRG_10997	0	-		N	4	0	0	0	12	6	0	2
gene_7150	15.0805527016837	-3.36114385010203	454	Putative uncharacterized protein	Colletotrichum fioriniae	Ophiostoma piceae			hypothetical protein MGG_13953	3	F:molecular_function; P:biological_process; C:cellular_component		Y	0	14	2	0	23	42	6	2
gene_7162	8.74017088168871	-3.4959634063703	635	Beta-1,2-xylosyltransferase 1 (Cxt1p)	Neurospora tetrasperma	Ophiostoma piceae			glycosyltransferase family 90 protein	1	F:transferase activity		N	0	4	0	2	2	19	2	6
gene_7165	21.0829331903723	-3.95915897909662	513	Probable transporter SEO1	Capronia epimyces	Ophiostoma piceae			mfs transporter	2	C:integral to membrane; P:transmembrane transport		N	2	3	2	10	3	2	1	30
gene_7210	170.85010044837	-2.07186155614683	566	Putative uncharacterized protein	Togninia minima	Ophiostoma piceae			hypothetical protein CMQ_1674	0	-		N	134	89	142	201	154	140	47	104
gene_7218	7.35475632002077	-2.24293951906417	585	Cytochrome P450 (CYP590B1)	Fusarium oxysporum	Ophiostoma piceae			cytochrome p450	9	F:heme binding; F:iron ion binding; F:oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; F:electron carrier activity; P:oxidation-reduction process; F:oxidoreductase activity; C:cellular_component; F:metal ion binding; F:monooxygenase activity		Y	16	0	0	0	2	0	0	10
gene_7303	11.9478340384451	-2.97923698754531	413	Sterigmatocystin 8-O-methyltransferase	Setosphaeria turcica	Setosphaeria turcica			sterigmatocystin 8-o-methyltransferase	7	F:methyltransferase activity; F:transferase activity; P:methylation; F:O-methyltransferase activity; P:oxidation-reduction process; F:oxidoreductase activity; P:metabolic process		N	16	0	0	0	192	0	0	0
gene_7305	7.78506380076265	-4.0505128072463	304	Putative uncharacterized protein	Scedosporium apiospermum	Scedosporium apiospermum			n-terminal domain protein	0	-		N	0	0	0	0	136	0	0	0
gene_7306	11.3913801202336	-4.57184425968234	415	Sterigmatocystin 8-O-methyltransferase	Scedosporium apiospermum	Scedosporium apiospermum			o-methyltransferase	4	F:methyltransferase activity; F:transferase activity; P:methylation; F:O-methyltransferase activity		N	0	0	0	0	199	0	0	0
gene_7307	2.16894165660684	-2.07397488956628	494	Uncharacterized monooxygenase	Scedosporium apiospermum	Scedosporium apiospermum			fad binding domain protein	4	P:oxidation-reduction process; F:oxidoreductase activity; P:metabolic process; F:monooxygenase activity		N	0	2	0	0	36	0	0	0
gene_7308	5.95013570378008	-3.52897461030737	570	Major facilitator superfamily (MFS) transporter	Scedosporium apiospermum	Scedosporium apiospermum			major facilitator superfamily transporter	2	C:integral to membrane; P:transmembrane transport		N	0	1	0	0	103	0	0	0
gene_7310	3.15352962408591	-2.51174257420848	292	Peptidase S15	Scedosporium apiospermum	Scedosporium apiospermum			n-terminal domain protein	0	-		N	2	0	0	0	53	0	0	0
gene_7311	3.89253190038132	-3.1350527637191	351	Protein TOXD	Scedosporium apiospermum	Scedosporium apiospermum			zinc-binding dehydrogenase family	6	P:oxidation-reduction process; F:oxidoreductase activity; F:nucleotide binding; F:zinc ion binding; F:enoyl-[acyl-carrier-protein] reductase (NADPH, B-specific) activity; F:alcohol dehydrogenase (NAD) activity		N	0	0	0	0	68	0	0	0
gene_7312	12.2914840810972	-4.2897263942986	2 833	Polyketide synthase (PKS)	Scedosporium apiospermum	Scedosporium apiospermum	K12431	pks2; polyketide synthase 2	hybrid pks-nrps	5	F:transferase activity; P:metabolic process; F:nucleotide binding; F:catalytic activity; F:phosphopantetheine binding		N	0	2	0	1	146	0	4	0
gene_7318	13.5787818566864	-2.06857817174044	607	Glutamyl-tRNA synthetase	Magnaporthe oryzae	Ophiostoma piceae	K01885	EARS, gltX; glutamyl-tRNA synthetase [EC:6.1.1.17]	glutamyl-trna synthetase	3	F:aminoacyl-tRNA ligase activity; P:tRNA aminoacylation for protein translation; F:nucleotide binding	-	N	10	14	4	16	22	4	6	6
