Gene_ID	level	Log2FC	Size..aa.	Final.Description	X.1st.BLASTp.hit...if.blank..see.next.column.	X.1st.BLASTp.hit...blank.are.real.orphans..	KO.	Name.KEGG	Annotation	X.GO.Terms	GO.Terms	Enzyme.Code	SignalP	ï..Gene_ID	C_T1_Rep1	C_T1_Rep2	C_T1_Rep3	C_T1_Rep4	C_T2_Rep1	C_T2_Rep2	C_T2_Rep3	C_T2_Rep4	protein_ID	transcript_ID
gene_2200	4.38613755636872	-2.11453803636048	220	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_4564	3	F:molecular_function; P:biological_process; C:cellular_component		N	gene_2213	8	0	0	2	21	6	7	24	1980773	1981027
gene_2223	2.01325535646449	-2.32955726206172	752	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			myocyte-specific enhancer factor 2d	13	C:integral to membrane; C:membrane; P:cation transport; F:ATPase activity, coupled to transmembrane movement of ions, phosphorylative mechanism; F:hydrolase activity; P:ATP catabolic process; F:nucleotide binding; F:ATP binding; F:ATPase activity; P:ATP biosynthetic process; F:catalytic activity; F:metal ion binding; P:metabolic process		N	gene_2235	0	0	0	0	14	0	10	6	1980795	1981049
gene_2436	44.9525484393817	-2.46066033725392	344	Putative uncharacterized protein	Sclerotinia sclerotiorum	Ophiostoma piceae			fungal cellulose binding domain-containing partial	3	P:lipid metabolic process; F:hydrolase activity, acting on ester bonds; F:hydrolase activity		N	gene_2448	8	0	2	70	161	56	134	157	1981008	1981262
gene_2470	2.32337725399811	-2.08043133322747	75	Vacuolar ATP synthase subunit E	Grosmannia clavigera	Grosmannia clavigera			vacuolar atp synthase subunit	12	P:pentose-phosphate shunt; F:nucleotide binding; C:fungal-type vacuole membrane; P:cell wall mannoprotein biosynthetic process; P:protein complex assembly; P:ATP hydrolysis coupled proton transport; F:hydrogen ion transmembrane transporter activity; C:vacuolar proton-transporting V-type ATPase, V0 domain; P:vacuolar acidification; F:coenzyme binding; F:ATPase activity, coupled to transmembrane movement of ions; F:phosphogluconate dehydrogenase (decarboxylating) activity	EC:1.1.1.44	Y	gene_2483	3	0	0	0	14	10	1	3	1981043	1981297
gene_2532	1.65165957796448	-2.10544984182029	752	DNA mismatch repair protein MLH1 (MutL protein homolog 1)	Grosmannia clavigera	Ophiostoma piceae	K08734	MLH1; DNA mismatch repair protein MLH1	dna mismatch repair protein	13	P:reciprocal meiotic recombination; C:MutLbeta complex; F:MutSalpha complex binding; C:chiasma; F:single-stranded DNA binding; C:cytoplasm; C:synaptonemal complex; F:ATPase activity; F:DNA insertion or deletion binding; P:ATP catabolic process; C:MutLalpha complex; P:mismatch repair; F:ATP binding	EC:3.6.1.3	N	gene_2544	0	0	0	0	9	0	4	14	1981104	1981358
gene_2538	3.16197825129987	-2.35452404348125	947	Uncharacterized transcriptional regulatory protein C1683.13c	Grosmannia clavigera	Ophiostoma piceae			c6 finger domain	9	P:transcription from RNA polymerase II promoter; F:DNA binding; C:nucleus; F:zinc ion binding; P:regulation of transcription from RNA polymerase II promoter; F:sequence-specific DNA binding RNA polymerase II transcription factor activity; P:regulation of transcription, DNA-dependent; F:metal ion binding; P:transcription, DNA-dependent		N	gene_2550	4	0	0	0	12	8	4	16	1981110	1981364
gene_263	1.51592462246136	-2.0114416959637	400	Putative uncharacterized protein	 	Ophiostoma piceae			---NA---	0	-		N	gene_264	0	0	0	0	2	4	8	0	1978824	1979078
gene_268	7.92007365471423	-2.0615177704967	2 033	Canalicular multispecific organic anion transporter 1 (ATP-binding cassette sub-family C member 2)	Colletotrichum fioriniae	Ophiostoma piceae			abc transporter	9	F:ATPase activity, coupled to transmembrane movement of substances; C:integral to membrane; P:transport; P:ATP catabolic process; F:nucleotide binding; F:nucleoside-triphosphatase activity; F:ATP binding; F:ATPase activity; P:transmembrane transport		N	gene_269	4	0	0	14	34	12	15	34	1978829	1979083
gene_2698	7.56940659550126	-2.76230857244331	178	Helix-turn-helix-domain containing protein type	Grosmannia clavigera	Ophiostoma piceae			helix-turn-helix-domain containing protein type	4	F:hydrolase activity; F:molecular_function; P:biological_process; C:cellular_component		N	gene_2707	10	0	0	2	2	28	18	17	1981267	1981521
gene_2764	9.2649351300264	-3.81557043118895	232	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_2358	0	-		N	gene_2774	4	0	0	0	154	8	20	0	1981334	1981588
gene_2789	5.0846907090061	-2.04556080692405	984	Transcription factor	Grosmannia clavigera	Ophiostoma piceae			transcription factor	2	P:transcription, DNA-dependent; F:binding	-	N	gene_2798	2	0	0	8	20	12	8	18	1981358	1981612
gene_2850	5.6592342665584	-2.51376206741703	304	Putative uncharacterized protein	 	Ophiostoma piceae			---NA---	0	-		N	gene_2860	1	0	0	6	19	12	8	31	1981420	1981674
gene_286	4.22873263045787	-2.09404563237251	284	Glycoside hydrolase	Eutypa lata	Ophiostoma piceae			glycoside hydrolase	1	F:hydrolase activity	-	Y	gene_287	1	0	0	6	9	2	8	36	1978847	1979101
gene_2903	6.74876522896987	-2.29920361804622	376	Putative uncharacterized protein	Magnaporthe oryzae	Ophiostoma piceae			golgi reassembly stacking protein	2	P:biological_process; C:cellular_component		N	gene_2915	8	0	0	6	18	22	18	4	1981475	1981729
gene_2946	131.182950107921	-3.00732609063037	230	Probable endo-beta-1,4-glucanase D (Endoglucanase D/Cellulase D)	Togninia minima	Sporothrix schenckii			glycoside hydrolase family 61 protein	4	F:molecular_function; P:biological_process; C:cellular_component; F:hydrolase activity		Y	gene_2958	12	0	10	116	479	270	330	409	1981518	1981772
gene_2960	5.69130315620206	-2.49113478965885	1 691	Dicer-like protein 1 (Endoribonuclease DCL1)	Thielavia terrestris	Sporothrix schenckii	K11592	DICER1, DCR1; endoribonuclease Dicer [EC:3.1.26.-]	rnase3 domain-containing protein	3	F:RNA binding; F:endoribonuclease activity, producing 5'-phosphomonoesters; F:nucleotide binding	EC:3.1.26.0	N	gene_2972	8	0	0	2	22	13	12	20	1981532	1981786
gene_297	2.96940819757179	-2.02127110995777	399	Checkpoint protein hus1	Grosmannia clavigera	Ophiostoma piceae	K10903	HUS1; HUS1 checkpoint protein	checkpoint protein hus1	3	F:metal ion binding; F:zinc ion binding; C:cellular_component		N	gene_298	3	0	0	2	28	0	8	12	1978858	1979112
gene_2970	6.15636912492926	-2.43891527410901	1 085	Putative uncharacterized protein	 	Ophiostoma piceae			---NA---	0	-		N	gene_2982	7	0	0	4	22	16	16	12	1981542	1981796
gene_3145	14.8419377394382	-2.18510366225056	341	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_4720	3	P:mycelium development; F:molecular_function; C:cellular_component		N	gene_3157	34	0	0	11	70	14	39	58	1981717	1981971
gene_3162	2.966507417276	-2.05112329115024	185	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_4772	0	-		N	gene_3174	6	0	0	0	9	2	12	12	1981734	1981988
gene_3180	2.02616726116795	-2.33695016520176	461	Putative uncharacterized protein	 	Sporothrix schenckii			---NA---	0	-		N	gene_3192	0	0	0	0	10	10	2	1	1981752	1982006
gene_3202	4.1522458680769	-2.7945898387567	600	Putative sterigmatocystin biosynthesis monooxygenase stcW	Pestalotiopsis fici	Ophiostoma piceae			related to monooxigenase	0	-		N	gene_3214	0	0	0	2	40	4	12	10	1981774	1982028
gene_324	6.6356283246457	-2.08363069279397	470	FAD-dependent oxidoreductase superfamily	Grosmannia clavigera	Ophiostoma piceae			fad dependent oxidoreductase superfamily	2	P:oxidation-reduction process; F:oxidoreductase activity		N	gene_326	8	0	0	8	41	10	6	34	1978886	1979140
gene_3264.1	10.4546576055119	-2.14103619078491	802	AP endonuclease 2	Grosmannia clavigera	Ophiostoma piceae	K10772	APEX2; AP endonuclease 2 [EC:4.2.99.18]		8	P:DNA repair; P:nucleic acid phosphodiester bond hydrolysis; F:zinc ion binding; F:endonuclease activity; F:lyase activity; F:nuclease activity; C:intracellular; F:DNA binding		N	gene_3277	16	0	0	12	49	28	24	8	1981837	1982091
gene_3278	7.07230068199771	-2.36991768131073	604	Siderophore iron transporter	Byssochlamys spectabilis	Ophiostoma piceae			siderophore iron transporter	4	C:membrane; P:transmembrane transport; P:transport; F:transporter activity		N	gene_3291	8	0	0	6	34	22	10	14	1981851	1982105
gene_332	18.5791881321837	-2.69118061962116	1 593	CENP-A multicopy suppressor protein 2	Grosmannia clavigera	Ophiostoma piceae			gata transcription factor	1	F:DNA binding		N	gene_333	19	0	0	17	118	12	62	56	1978893	1979147
gene_3335	19.0619521481562	-2.01860900554207	2 324	Putative uncharacterized protein	Sordaria macrospora	Ophiostoma piceae			hypothetical protein CMQ_5348	5	F:molecular_function; P:biological_process; C:cellular_component; F:transcription coactivator activity; C:nucleus		N	gene_3346	22	0	2	20	142	34	36	26	1981906	1982160
gene_3346	117.620453680935	-2.16289660233475	575	Serine/threonine-protein kinase	Colletotrichum gloeosporioides	Sporothrix schenckii	K08832	SRPK3, STK23; serine/threonine-protein kinase SRPK3 [EC:2.7.11.1]	cmgc srpk protein kinase	3	P:protein phosphorylation; F:ATP binding; F:protein serine/threonine kinase activity	EC:2.7.11.0	N	gene_3357	119	2	15	92	633	118	304	366	1981917	1982171
gene_3349	10.5682570338493	-2.59965338567222	995	Nitrogen assimilation transcription factor nit-4	Scedosporium apiospermum	Ophiostoma piceae			c6 zinc finger domain containing protein	5	F:sequence-specific DNA binding RNA polymerase II transcription factor activity; P:regulation of transcription from RNA polymerase II promoter; F:DNA binding; C:nucleus; F:zinc ion binding	-	N	gene_3360	12	0	0	8	48	12	32	39	1981920	1982174
gene_3383	13.6939668349372	-2.16636624113179	253	Carbohydrate-binding module family 52 protein	Myceliophthora thermophila	Ophiostoma piceae				0	-		Y	gene_3394	3	2	0	7	28	32	39	28	1981954	1982208
gene_3406	125.872582558104	-3.01623625600883	257	Glycoside hydrolase family 61 protein	Scedosporium apiospermum	Ophiostoma piceae			glycoside hydrolase family 61 protein	1	F:hydrolase activity	-	Y	gene_3418	8	0	6	136	436	233	378	355	1981978	1982232
gene_3435	22.0125822081139	-2.36605724917531	286	Aromatic ring-opening dioxygenase family protein	Macrophomina phaseolina	Ophiostoma piceae			aromatic ring-opening dioxygenase family protein	5	F:ferrous iron binding; P:cellular aromatic compound metabolic process; F:oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen; P:oxidation-reduction process; F:zinc ion binding	EC:1.13.11.0	N	gene_3446	42	0	0	18	67	40	70	48	1982006	1982260
gene_3476	56.5932770597307	-2.03308989289122	185	Iron sulfur cluster assembly protein, mitochondrial	Grosmannia clavigera	Ophiostoma piceae	K04488	iscU, nifU; nitrogen fixation protein NifU and related proteins	iron sulfur cluster assembly protein 1	1	F:binding	-	N	gene_3489	90	0	4	64	252	44	165	192	1982049	1982303
gene_3483	6.89543315903572	-2.41707261529877	224	GPI anchored cell wall protein	Colletotrichum gloeosporioides	Ophiostoma piceae			gpi anchored	0	-		Y	gene_3496	0	0	0	10	21	10	28	14	1982056	1982310
gene_35	7.53172520530628	-2.2046934434554	427	Ubiquitin and WLM domain-containing protein	Neurospora tetrasperma	Ophiostoma piceae			ubiquitin metalloprotease fusion protein	3	P:proteolysis; F:metallopeptidase activity; F:peptidase activity		N	gene_37	16	0	0	4	44	8	16	32	1978597	1978851
gene_3539	3.00881423335151	-2.81098356936536	299	Putative uncharacterized protein	Thielavia terrestris	Ophiostoma piceae			dead deah box dna helicase	7	F:helicase activity; F:nucleic acid binding; F:ATP binding; F:hydrolase activity; F:nucleotide binding; F:nucleoside-triphosphatase activity; F:ATP-dependent helicase activity		N	gene_3549	0	0	0	0	42	0	4	16	1982109	1982363
gene_3548	3.71624122332421	-2.16191285854501	657	Acyl-dehydrogenase domain containing protein	Grosmannia clavigera	Ophiostoma piceae			acyl-dehydrogenase domain containing protein	2	P:metabolic process; F:oxidoreductase activity, acting on the CH-CH group of donors	-	N	gene_3558	8	0	0	0	18	10	4	14	1982118	1982372
gene_3565	2.27954231055701	-2.18752926908601	651	CAMK family protein kinase	Ajellomyces capsulatus	Ophiostoma piceae			camk family protein kinase	12	F:transferase activity; F:protein serine/threonine kinase activity; P:phosphorylation; F:protein kinase activity; P:protein phosphorylation; F:nucleotide binding; F:ATP binding; F:kinase activity; F:transferase activity, transferring phosphorus-containing groups; F:sequence-specific DNA binding transcription factor activity; F:DNA binding; P:regulation of transcription, DNA-dependent		N	gene_3577	2	0	0	0	30	6	0	4	1982137	1982391
gene_3592	11.8219530581499	-2.21621378454895	387	Putative uncharacterized protein	Myceliophthora thermophila	Myceliophthora thermophila			hypothetical protein MYCTH_2312885	0	-		N	gene_3603	26	0	0	8	49	15	33	40	1982163	1982417
gene_3616	6.32217757106691	-2.36379420836218	396	DSC E3 ubiquitin ligase complex subunit 4 (Defective for SREBP cleavage protein 4)	Magnaporthe oryzae	Ophiostoma piceae			duf1746-domain-containing protein	3	F:molecular_function; P:biological_process; C:cellular_component		N	gene_3629	12	0	0	2	55	4	16	20	1982189	1982443
gene_3673	2.82243058962692	-2.45281954757604	118	Putative uncharacterized protein	Colletotrichum fioriniae	Ophiostoma piceae			ethanolamine utilization protein	6	P:RNA splicing; F:ATP-dependent helicase activity; F:nucleic acid binding; P:mRNA processing; F:ATP binding; C:nucleus	-	N	gene_3686	2	0	0	0	18	0	4	26	1982246	1982500
gene_3675	18.5485688360451	-3.03805465143459	374	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_6572	0	-		N	gene_3688	26	0	0	6	82	6	44	131	1982248	1982502
gene_3683	13.8282522497605	-2.53627529344377	1 513	Vegetative incompatibility protein Het-E	Capronia epimyces	Capronia epimyces	K06666	TUP1; glucose repression regulatory protein TUP1	vegetative incompatibility protein het-e-1	0	-		N	gene_3693	24	0	0	8	104	40	20	9	1982253	1982507
gene_3684	9.99541440667137	-2.30932134168914	287	Arylamine N-acetyltransferase	Fusarium pseudograminearum	Fusarium pseudograminearum			tpa: arylamine n-acetyltransferase 2	2	F:acetyltransferase activity; P:metabolic process		N	gene_3694	10	0	0	12	50	32	6	28	1982254	1982508
gene_3703	11.1533486728024	-2.37579202585485	241	Putative uncharacterized protein	Togninia minima	Ophiostoma piceae			hypothetical protein THITE_2142691	0	-		Y	gene_3713	6	0	0	16	39	30	12	45	1982273	1982527
gene_3732.1	5.31303042748679	-2.31627774088899	656	Conserved hypothetical protein	Thielavia terrestris	Thielavia terrestris				0	-		N	gene_3744	9	0	0	2	14	14	8	23	1982304	1982558
gene_3811	13.4107989136743	-2.55329605076039	247	Glycoside hydrolase family 61 protein	Togninia minima	Ophiostoma piceae			glycoside hydrolase family 61 protein	2	F:hydrolase activity; P:mycelium development	-	Y	gene_3826	3	0	1	13	25	31	35	44	1982386	1982640
gene_382	3.38713851760138	-2.10010368976858	648	Serine/threonine-protein kinase haspin	Grosmannia clavigera	Ophiostoma piceae	K16315	GSG2; serine/threonine-protein kinase haspin [EC:2.7.11.1]	haspin protein kinase	2	F:kinase activity; P:phosphorylation	-	N	gene_383	4	0	0	2	16	12	4	6	1978943	1979197
gene_3933	14.9579833750984	-3.09697534660695	590	Ferric reductase transmembrane component 5	Gaeumannomyces graminis	Ophiostoma piceae			ferric reductase like transmembrane component	4	P:oxidation-reduction process; F:oxidoreductase activity; C:integral to membrane; C:membrane		N	gene_3952	16	0	0	6	40	30	40	60	1982512	1982766
gene_3950	57.8206793152232	-2.99584578566608	198	Putative uncharacterized protein	Togninia minima	Ophiostoma piceae			hypothetical protein GGTG_10186	0	-		Y	gene_3969	14	0	6	33	81	317	24	44	1982529	1982783
