Gene_ID	Level	logFC	Size..aa.	Final.Description	X.1st.BLASTp.hit...if.blank..see.next.column.	X.1st.BLASTp.hit...blank.are.real.orphans..	KO.	Name.KEGG	Annotation	X.GO.Terms	GO.Terms	Enzyme.Code	SignalP	F_T1_Rep1	F_T1_Rep2	F_T1_Rep3	F_T1_Rep4	F_T2_Rep1	F_T2_Rep2	F_T2_Rep3	F_T2_Rep4
gene_1015	0	0	1 176	Poly(A) RNA polymerase protein cid1	Grosmannia clavigera	Ophiostoma piceae			caffeine-induced death protein 1	1	F:nucleotidyltransferase activity		N	0	0	0	0	0	0	0	0
gene_1016	0.608014373892326	-1.1479765970989	759	Transcription initiation factor IIF subunit alpha (TFIIF large subunit)	Grosmannia clavigera	Ophiostoma piceae	K03138	TFIIF1, GTF2F1, TFG1; transcription initiation factor TFIIF subunit alpha	transcription initiation factor iif subunit alpha	2	F:nucleic acid binding; P:transcription, DNA-dependent	-	N	0	0	0	0	0	2	0	2
gene_1017	0.175387107701771	0.433786545470403	534	Putative uncharacterized protein	Magnaporthe oryzae	Ophiostoma piceae			hypothetical protein MGG_01343	3	F:molecular_function; P:biological_process; C:cellular_component		N	0	4	0	0	0	0	0	0
gene_1018	0	0	274	Serine/threonine-protein kinase BUD32	Grosmannia clavigera	Ophiostoma piceae	K08851	TP53RK, PRPK, BUD32; TP53 regulating kinase [EC:2.7.11.1]	bud32 protein kinase	7	P:lipopolysaccharide biosynthetic process; P:protein phosphorylation; F:protein tyrosine kinase activity; F:ATP binding; P:transcription, DNA-dependent; C:chromosome; C:membrane	EC:2.7.10.0	N	0	0	0	0	0	0	0	0
gene_1019	0	0	413	Glutamate-cysteine ligase modifier subunit	Togninia minima	Ophiostoma piceae	K11205	GCLM; glutamate--cysteine ligase regulatory subunit	glutamate-cysteine ligase modifier subunit	3	F:ligase activity; P:biological_process; C:cellular_component		N	0	0	0	0	0	0	0	0
gene_102	1.95346367247917	0.12834915269081	544	Amino-acid permease	Grosmannia clavigera	Ophiostoma piceae	K16261	YAT; yeast amino acid transporter	amino-acid permease inda1	3	C:integral to membrane; F:amino acid transmembrane transporter activity; P:amino acid transmembrane transport	-	N	0	16	0	8	0	0	6	0
gene_1020	0.824884084223182	0.345528393059336	155	AP-1 complex subunit sigma-1 (Sigma1-adaptin)	Trichoderma reesei	Ophiostoma piceae	K12394	AP1S1_2; AP-1 complex subunit sigma 1/2	mitogen-activated protein kinase maf1	3	P:protein transport; F:protein transporter activity; P:transport		N	0	8	0	4	0	0	2	0
gene_1020.1	0	0	439	Mitogen-activated protein kinase maf1	Grosmannia clavigera	Ophiostoma piceae				4	F:kinase activity; P:negative regulation of transcription from RNA polymerase III promoter; P:phosphorylation; C:nucleus		N	0	0	0	0	0	0	0	0
gene_1021	0	0	987	Vacuolar fusion protein CCZ1 homolog	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_887	0	-		N	0	0	0	0	0	0	0	0
gene_1022	0	0	177	Expansin family protein	Grosmannia clavigera	Ophiostoma piceae			allergen asp f7	0	-		N	0	0	0	0	0	0	0	0
gene_1023	0	0	294	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			nicotinamide n-	3	F:methyltransferase activity; F:transferase activity; P:methylation		N	0	0	0	0	0	0	0	0
gene_1024	0	0	1 389	Axial budding pattern protein 2 (Bud site selection protein 10)	Grosmannia clavigera	Ophiostoma piceae			transmembrane glycoprotein	1	F:catalytic activity	-	Y	0	0	0	0	0	0	0	0
gene_1025	0.0852071823934164	0.227019381253042	417	Putative uncharacterized protein	 	Ophiostoma piceae			---NA---	0	-		N	0	0	0	2	0	0	0	0
gene_1026	41.1866339323313	-0.256028649086669	827	Cell division control protein 48	Grosmannia clavigera	Ophiostoma piceae	K13525	VCP, CDC48; transitional endoplasmic reticulum ATPase	cell division control protein 48	4	F:nucleoside-triphosphatase activity; F:ATP binding; P:mycelium development; P:cell division	EC:3.6.1.15	N	26	173	12	88	28	16	23	90
gene_1027	0	0	165	Putative uncharacterized protein	Grosmannia clavigera	Grosmannia clavigera			hypothetical protein CMQ_549	0	-		N	0	0	0	0	0	0	0	0
gene_1028	3.60289804806563	0.199713219062055	623	Protein phosphatase PP2A regulatory subunit A	Grosmannia clavigera	Ophiostoma piceae	K03456	PPP2R1; protein phosphatase 2 (formerly 2A), regulatory subunit A	protein phosphatase pp2a regulatory subunit a	2	P:biological_process; C:cellular_component		N	6	20	0	16	0	4	0	10
gene_1029	0	0	1 004	Phosphoinositide 3-phosphatase (3.1.3.64)	Grosmannia clavigera	Ophiostoma piceae	K01104	E3.1.3.48; protein-tyrosine phosphatase [EC:3.1.3.48]	protein phosphatase	2	P:dephosphorylation; F:phosphatase activity	EC:3.1.3.0	N	0	0	0	0	0	0	0	0
gene_103	0	0	1 137	Putative uncharacterized protein	Scedosporium apiospermum	Scedosporium apiospermum			hypothetical protein NECHADRAFT_82115	0	-		N	0	0	0	0	0	0	0	0
gene_1030	0	0	415	Diaminohydroxyphosphoribosylamino-pyrimidine deaminase (DRAP deaminase)	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_393	0	-		N	0	0	0	0	0	0	0	0
gene_1031	2.55831685176526	0.328301812389965	695	Long-chain-fatty-acid-CoA ligase 1 (Fatty acid activator 1)	Grosmannia clavigera	Ophiostoma piceae	K01897	ACSL, fadD; long-chain acyl-CoA synthetase [EC:6.2.1.3]	long-chain-fatty-acid- ligase 1	2	F:ligase activity; P:metabolic process	-	N	4	16	0	12	2	0	2	2
gene_1032	7.26449895423679	1.35128856559081	190	Calcium-binding protein NCS-1	Togninia minima	Ophiostoma piceae			neuronal calcium sensor 1	5	C:Golgi membrane; F:enzyme activator activity; F:calcium ion binding; P:regulation of signal transduction; P:positive regulation of catalytic activity	-	N	22	32	2	38	2	0	6	4
gene_1033	0	0	920	Cell division control protein 45 homolog (Suppressor of nda4 protein)	Grosmannia clavigera	Ophiostoma piceae	K06628	CDC45; cell division control protein 45	cell division control protein	3	P:translational initiation; P:DNA-dependent DNA replication initiation; F:translation initiation factor activity	-	N	0	0	0	0	0	0	0	0
gene_1034	0.0852071823934164	0.227019381253042	612	DNA replication initiation factor cdc45	Grosmannia clavigera	Ophiostoma piceae			dna replication initiation factor cdc45	6	P:translational initiation; P:DNA-dependent DNA replication initiation; F:translation initiation factor activity; F:molecular_function; P:biological_process; C:cellular_component		N	0	0	0	2	0	0	0	0
gene_1035	1.15343577805841	-0.988416045632326	485	Ribose-phosphate diphosphokinase	Togninia minima	Ophiostoma piceae	K00948	PRPS, prsA; ribose-phosphate pyrophosphokinase [EC:2.7.6.1]	ribose-phosphate pyrophosphokinase 1	6	P:nucleotide biosynthetic process; F:kinase activity; P:phosphorylation; P:ribonucleoside monophosphate biosynthetic process; F:ribose phosphate diphosphokinase activity; F:magnesium ion binding	EC:2.7.6.1	N	2	2	0	0	0	4	0	0
gene_1036	0	0	378	Pre-mRNA-splicing factor CWC26	Grosmannia clavigera	Ophiostoma piceae	K13106	BUD13, CWC26; pre-mRNA-splicing factor CWC26	pre-mrna-splicing factor cwc26	2	P:mycelium development; C:intracellular part	-	N	0	0	0	0	0	0	0	0
gene_1037	0	0	195	Putative uncharacterized protein	Colletotrichum fioriniae	Ophiostoma piceae			4-carboxymuconolactone decarboxylase family protein	2	P:oxidation-reduction process; F:peroxiredoxin activity	EC:1.11.1.15	N	0	0	0	0	0	0	0	0
gene_1038	0.0852071823934164	0.227019381253042	531	Uncharacterized transporter C1683.12	Togninia minima	Ophiostoma piceae			pantothenate transporter liz1	2	P:transmembrane transport; C:integral to membrane	-	N	0	0	0	2	0	0	0	0
gene_1039	0	0	567	Amino acid permease	Grosmannia clavigera	Ophiostoma piceae			amino acid permease	3	C:integral to membrane; F:amino acid transmembrane transporter activity; P:amino acid transmembrane transport	-	N	0	0	0	0	0	0	0	0
gene_104	0.678906121725181	-0.437917749310876	148	Hypersensitive response-inducing protein	Eutypa lata	Ophiostoma ulmi			22kda glycoprotein	0	-		Y	0	0	0	5	0	2	0	0
gene_1040	0	0	481	Putative uncharacterized protein	 	Ophiostoma piceae			hypothetical protein PCYB_083920	0	-		Y	0	0	0	0	0	0	0	0
gene_1041	0.0852071823934164	0.227019381253042	181	Protein orm1	Togninia minima	Ophiostoma piceae			protein orm1	4	C:integral to membrane; C:SPOTS complex; P:response to unfolded protein; P:negative regulation of sphingolipid biosynthetic process	-	N	0	0	0	2	0	0	0	0
gene_1042	0.303695504032807	-0.684720916430889	717	Arginine methyltransferase-interacting ring finger protein	Grosmannia clavigera	Ophiostoma piceae			arginine methyltransferase-interacting ring finger protein	7	F:nucleic acid binding; F:methyltransferase activity; F:transferase activity; F:zinc ion binding; P:methylation; P:biological_process; C:cellular_component		N	0	0	0	0	0	0	2	0
gene_1043	0	0	985	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_1727	3	F:molecular_function; P:biological_process; C:cellular_component		N	0	0	0	0	0	0	0	0
gene_1044	0.260594290095187	0.605199013575912	1 289	Osmolarity two-component system protein sln1	Grosmannia clavigera	Ophiostoma piceae	K11231	SLN1; osomolarity two-component system, sensor histidine kinase SLN1 [EC:2.7.13.3]	histidine kinase group protein	9	F:two-component response regulator activity; P:two-component signal transduction system (phosphorelay); P:intracellular signal transduction; C:intracellular; P:regulation of transcription, DNA-dependent; P:signal transduction by phosphorylation; F:ATP binding; F:two-component sensor activity; C:membrane	-	N	0	4	0	2	0	0	0	0
gene_1045	0	0	629	Putative uncharacterized protein	 	Ophiostoma piceae			---NA---	0	-		N	0	0	0	0	0	0	0	0
gene_1046	0.133965892724244	0.342477130775086	440	DUF124 domain containing protein	Grosmannia clavigera	Ophiostoma piceae			duf124 domain containing protein	0	-		N	2	0	0	0	0	0	0	0
gene_1047	0	0	277	Peptide alpha-n-acetyltransferase	Grosmannia clavigera	Ophiostoma piceae			peptide alpha-n-acetyltransferase	1	F:transferase activity		N	0	0	0	0	0	0	0	0
gene_1048	0.46588816574164	-0.949928063045303	756	Asparagine amidase a	Grosmannia clavigera	Ophiostoma piceae			peptide-n4-(n-acetyl-beta-glucosaminyl)asparagine amidase a	3	F:molecular_function; P:biological_process; C:cellular_component		N	0	0	0	0	0	2	0	0
gene_1049	0	0	528	Maltose permease MAL61	Fusarium oxysporum	Fusarium oxysporum			maltose permease mal61	7	F:transmembrane transporter activity; C:integral to membrane; C:membrane; P:transmembrane transport; P:transport; F:transporter activity; P:carbohydrate transport		N	0	0	0	0	0	0	0	0
gene_105	0	0	1 202	Heat repeat protein	Grosmannia clavigera	Ophiostoma piceae			heat repeat protein	0	-		N	0	0	0	0	0	0	0	0
gene_1050	0	0	928	Alpha-rhamnosidase Eurofung	Fusarium oxysporum	Ophiostoma piceae			tpa: alpha-rhamnosidase	1	F:catalytic activity	-	N	0	0	0	0	0	0	0	0
gene_1051	0.303695504032807	-0.684720916430889	287	Fumarylacetoacetate hydrolase domain-containing protein 2	Scedosporium apiospermum	Ophiostoma piceae	K01828	E5.3.3.-; unclassified metabolism	fumarylacetoacetate hydrolase	6	P:transcription, DNA-dependent; P:mycelium development; F:DNA binding; F:hydrolase activity; C:nucleus; F:zinc ion binding	-	N	0	0	0	0	0	0	2	0
gene_1052	0.133965892724244	0.342477130775086	695	Copper amine oxidase 1	Togninia minima	Ophiostoma piceae	K00276	E1.4.3.21, AOC2, AOC3, tynA; primary-amine oxidase [EC:1.4.3.21]	copper amine oxidase 1	5	F:copper ion binding; P:oxidation-reduction process; F:quinone binding; F:primary amine oxidase activity; P:amine metabolic process	EC:1.4.3.21	N	2	0	0	0	0	0	0	0
gene_1053	0	0	616	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			c6 zinc finger domain containing protein	7	F:molecular_function; P:biological_process; C:cellular_component; P:transcription, DNA-dependent; F:zinc ion binding; C:nucleus; F:DNA binding		N	0	0	0	0	0	0	0	0
gene_1054	0.631771828965698	-1.17858313272832	611	tRNA pseudouridine synthase	Grosmannia clavigera	Ophiostoma piceae	K06173	truA, PUS1; tRNA pseudouridine38-40 synthase [EC:5.4.99.12]	trna pseudouridine synthase	1	P:RNA modification	-	N	0	0	0	0	2	0	0	0
gene_1055	0	0	932	Ankyrin repeat-containing protein	Trichomonas vaginalis	Ophiostoma piceae	K10380	ANK; ankyrin		0	-		N	0	0	0	0	0	0	0	0
gene_1055.1	0.303695504032807	-0.684720916430889	339	Metacaspase	Grosmannia clavigera	Ophiostoma piceae			mca1_debha ame: full=metacaspase-1 flags: precursor	5	P:proteolysis; F:cysteine-type endopeptidase activity; F:RNA polymerase II transcription cofactor activity; C:mediator complex; P:regulation of transcription from RNA polymerase II promoter		N	0	0	0	0	0	0	2	0
gene_1056	0	0	389	Fructosyl peptide oxidase (Octopine oxidase subunit B)	Grosmannia clavigera	Ophiostoma piceae			glycine d-amino acid deaminating	2	P:oxidation-reduction process; F:oxidoreductase activity		N	0	0	0	0	0	0	0	0
gene_1057	0	0	134	Putative uncharacterized protein	Eutypa lata	Ophiostoma piceae			hypothetical protein MAC_07925	0	-		N	0	0	0	0	0	0	0	0
gene_1058	0	0	322	Arabinan endo-1,5-alpha-L-arabinosidase	Grosmannia clavigera	Ophiostoma piceae	K06113	abnA; arabinan endo-1,5-alpha-L-arabinosidase [EC:3.2.1.99]	extracellular endo- -alpha-l-	2	F:hydrolase activity, hydrolyzing O-glycosyl compounds; P:polysaccharide catabolic process	EC:3.2.1.0	Y	0	0	0	0	0	0	0	0
gene_1059	0	0	697	PdmS protein	Colletotrichum sublineola	Ophiostoma piceae			glycosyltransferase (n-glycosyltransferase) (n-glycosyl transferase ngt)	7	P:lipid glycosylation; F:transferase activity; P:metabolic process; P:carbohydrate metabolic process; P:antibiotic metabolic process; F:transferase activity, transferring hexosyl groups; F:transferase activity, transferring glycosyl groups		N	0	0	0	0	0	0	0	0
gene_106	0.175387107701771	0.433786545470403	316	DUF1749 domain containing protein	Grosmannia clavigera	Ophiostoma piceae			dolichol-phosphate mannosyltransferase	4	F:transferase activity; P:biological_process; F:transferase activity, transferring glycosyl groups; C:cellular_component		N	0	4	0	0	0	0	0	0
gene_1060	0.485441309181821	0.39321490566394	473	Serine/threonine-protein kinase RIO1	Grosmannia clavigera	Ophiostoma piceae	K07178	RIOK1; RIO kinase 1 [EC:2.7.11.1]	serine threonine-protein kinase rio1	1	F:kinase activity	-	N	0	2	0	6	0	0	0	2
gene_1061	0	0	482	Lipase 5	Chaetomium globosum	Ophiostoma piceae			lipase 1 precursor	4	P:lipid catabolic process; F:triglyceride lipase activity; F:hydrolase activity; F:retinyl-palmitate esterase activity		Y	0	0	0	0	0	0	0	0
gene_1062	0	0	99	FAD binding domain-containing protein	Magnaporthe oryzae	Sporothrix schenckii			fad binding domain-containing protein	6	P:oxidation-reduction process; F:oxidoreductase activity; F:UDP-N-acetylmuramate dehydrogenase activity; F:catalytic activity; F:oxidoreductase activity, acting on CH-OH group of donors; F:flavin adenine dinucleotide binding		N	0	0	0	0	0	0	0	0
gene_1063	0.216747513169745	0.5195368990062	276	Extradiol ring-cleavage class 3 subunit b	Grosmannia clavigera	Ophiostoma piceae	K15777	DOPA; 4,5-DOPA dioxygenase extradiol [EC:1.13.11.-]	extradiol ring-cleavage class 3 subunit b	4	F:ferrous iron binding; P:cellular aromatic compound metabolic process; P:oxidation-reduction process; F:oxidoreductase activity, acting on single donors with incorporation of molecular oxygen	-	N	0	3	0	2	0	0	0	0
gene_1064	0.142126208150686	-0.360928788096184	451	6-hydroxynicotinate 3-monooxygenase	Pestalotiopsis fici	Ophiostoma piceae			salicylate hydroxylase	2	P:metabolic process; F:oxidoreductase activity	-	N	0	0	0	0	0	0	0	2
gene_1065	0.931776331483281	-1.51780613599385	557	Cycloheximide resistance protein	Pestalotiopsis fici	Ophiostoma piceae			cycloheximide resistance	1	P:cellular process	-	N	0	0	0	0	0	4	0	0
gene_1066	0	0	333	Putative uncharacterized protein	 	Ophiostoma piceae			---NA---	0	-		N	0	0	0	0	0	0	0	0
gene_1067	0	0	374	Kinase activator protein	Grosmannia clavigera	Ophiostoma piceae			kinase activator protein	3	F:kinase activity; P:autophagy; P:phosphorylation		N	0	0	0	0	0	0	0	0
gene_1068	1.86705628352719	0.015664389866187	366	Ribosomal large subunit biogenesis protein	Grosmannia clavigera	Ophiostoma piceae	K14831	MAK16; protein MAK16	ribosomal large subunit biogenesis protein	3	C:nucleolus; P:ribosomal large subunit biogenesis; P:rRNA processing	-	N	5	8	0	6	2	0	1	2
gene_1069	19.8110138399765	0.353811653860448	358	1-aminocyclopropane-1-carboxylate deaminase	Togninia minima	Ophiostoma piceae	K01505	E3.5.99.7; 1-aminocyclopropane-1-carboxylate deaminase [EC:3.5.99.7]	1-aminocyclopropane-1-carboxylate deaminase	8	P:amine catabolic process; F:1-aminocyclopropane-1-carboxylate deaminase activity; P:regulation of transcription from RNA polymerase II promoter; F:zinc ion binding; F:sequence-specific DNA binding RNA polymerase II transcription factor activity; F:DNA binding; F:pyridoxal phosphate binding; C:nucleus	EC:3.5.99.7	N	46	95	4	48	0	12	16	48
gene_107	0	0	263	Sterol isomerase	Grosmannia clavigera	Ophiostoma piceae	K01824	EBP; cholestenol delta-isomerase [EC:5.3.3.5]	ebp domain containing protein	5	C:integral to membrane; C:endoplasmic reticulum; P:sterol metabolic process; F:cholestenol delta-isomerase activity; F:isomerase activity		N	0	0	0	0	0	0	0	0
gene_1070	0	0	849	Protein phosphatase regulatory subunit	Grosmannia clavigera	Ophiostoma piceae	K07189	PPP1R3; protein phosphatase 1, regulatory (inhibitor) subunit 3	carbohydrate-binding module family 21 protein	0	-		N	0	0	0	0	0	0	0	0
gene_1071	0	0	42	Putative uncharacterized protein	 				---NA---	0	-		N	0	0	0	0	0	0	0	0
gene_1072	0	0	327	Putative uncharacterized protein	 	Ophiostoma piceae			---NA---	0	-		Y	0	0	0	0	0	0	0	0
gene_1073	0	0	609	Autophagy-related protein 17	Grosmannia clavigera	Ophiostoma piceae	K08329	ATG17; autophagy-related protein 17	kinase activator	1	P:cellular metabolic process	-	N	0	0	0	0	0	0	0	0
gene_1074	0	0	292	Carbohydrate esterase family 1 protein 	Pestalotiopsis fici	Sporothrix schenckii			probable acetylxylan esterase	5	C:extracellular region; F:hydrolase activity, hydrolyzing O-glycosyl compounds; F:polysaccharide binding; F:carbohydrate binding; P:carbohydrate metabolic process		Y	0	0	0	0	0	0	0	0
gene_1075	0	0	395	Cyclin-dependent protein kinase complex component	Grosmannia clavigera	Ophiostoma piceae			cyclin-dependent protein kinase complex component	4	F:protein kinase binding; F:kinase activity; P:phosphorylation; P:regulation of cyclin-dependent protein kinase activity		N	0	0	0	0	0	0	0	0
gene_1076	1.46030240702696	-0.477227765970883	477	Prolidase	Grosmannia clavigera	Ophiostoma piceae	K14213	PEPD; Xaa-Pro dipeptidase [EC:3.4.13.9]	xaa-pro dipeptidase	6	P:cellular process; F:metallopeptidase activity; P:mycelium development; P:proteolysis; F:manganese ion binding; F:aminopeptidase activity	EC:3.4.11.0	N	4	4	0	2	0	4	0	0
gene_1077	0	0	534	Pisatin demethylase (CYP5077C1)	Podospora anserina	Ophiostoma piceae	K07436	CYP24A1; cytochrome P450, family 24, subfamily A, polypeptide 1 (vitamin D3 24-hydroxylase) [EC:1.14.13.126]	benzoate 4-monooxygenase cytochrome	2	F:oxidoreductase activity; F:binding	-	N	0	0	0	0	0	0	0	0
gene_1078	0	0	2 206	Conidial yellow pigment biosynthesis polyketide synthase (PKS)	Podospora anserina	Ophiostoma piceae			polyketide synthase	1	F:catalytic activity	-	N	0	0	0	0	0	0	0	0
gene_1079	0	0	902	C6 zinc finger fungal transcription factor	Neurospora tetrasperma	Ophiostoma piceae			c6 zinc finger domain containing protein	9	P:transcription from RNA polymerase II promoter; F:DNA binding; C:nucleus; F:zinc ion binding; P:regulation of transcription from RNA polymerase II promoter; F:sequence-specific DNA binding RNA polymerase II transcription factor activity; P:regulation of transcription, DNA-dependent; F:metal ion binding; P:transcription, DNA-dependent		N	0	0	0	0	0	0	0	0
gene_108	0	0	587	Putative C6 transcription factor	Grosmannia clavigera	Ophiostoma piceae	K09242	LEU3; transcriptional regulatory protein LEU3		9	P:transcription, DNA-dependent; F:zinc ion binding; C:nucleus; F:DNA binding; P:transcription from RNA polymerase II promoter; P:regulation of transcription from RNA polymerase II promoter; F:sequence-specific DNA binding RNA polymerase II transcription factor activity; P:regulation of transcription, DNA-dependent; F:metal ion binding		N	0	0	0	0	0	0	0	0
gene_108.1	0.258107918637718	0.600475139526457	306	Pre-mRNA-splicing factor cwc15	Botrytis cinerea	Ophiostoma piceae			c6 transcription factor	4	P:transcription, DNA-dependent; F:DNA binding; C:nucleus; F:zinc ion binding		N	0	2	0	4	0	0	0	0
gene_1080	0	0	449	Riboflavin transporter MCH5	Talaromyces marneffei	Ophiostoma piceae			mfs monocarboxylate transporter	2	P:transmembrane transport; C:integral to membrane	-	N	0	0	0	0	0	0	0	0
gene_1081	4.46141798854392	-1.00646462251937	245	Microtubule integrity protein mal3	Togninia minima	Ophiostoma piceae	K10436	MAPRE; microtubule-associated protein, RP/EB family	microtubule associated protein	1	F:microtubule binding	-	N	12	0	0	12	2	4	2	18
gene_1082	0.892366119060885	-0.57338411915241	410	Vacuolar morphogenesis protein 7 homolog	Togninia minima	Ophiostoma piceae			snare complex subunit	2	F:phosphatidylinositol binding; P:cell communication		N	0	4	0	2	2	0	0	0
gene_1083	0.957169977987334	1.54316917671339	920	Reticulocyte-binding protein 2 homolog A	Gaeumannomyces graminis	Ophiostoma piceae			trans-sialidase-like protein	0	-		N	0	16	0	6	0	0	0	0
gene_1084	0.267931785448488	0.619050068707501	853	ATP-dependent RNA helicase DRS1	Grosmannia clavigera	Ophiostoma piceae	K13181	DDX27, DRS1; ATP-dependent RNA helicase DDX27 [EC:3.6.4.13]	atp-dependent rna helicase	3	F:helicase activity; F:nucleic acid binding; F:nucleotide binding	-	N	4	0	0	0	0	0	0	0
gene_1085	0	0	1 064	Actin patch protein 1	Grosmannia clavigera	Ophiostoma piceae			atp-dependent rna helicase	9	F:helicase activity; F:nucleic acid binding; F:ATP binding; F:hydrolase activity; F:nucleotide binding; F:ATP-dependent helicase activity; F:molecular_function; P:biological_process; C:cellular_component		N	0	0	0	0	0	0	0	0
