Gene_ID	Level	logFC	Size..aa.	Final.Description	X.1st.BLASTp.hit...if.blank..see.next.column.	X.1st.BLASTp.hit...blank.are.real.orphans..	KO.	Name.KEGG	Annotation	X.GO.Terms	GO.Terms	Enzyme.Code	SignalP	A_T1_Rep1	A_T1_Rep2	A_T1_Rep3	A_T1_Rep4	A_T2_Rep1	A_T2_Rep2	A_T2_Rep3	A_T2_Rep4
gene_1009	11.8265417249608	-0.308244238834455	323	KRR1 small subunit processome component KRR-R motif-containing protein 1	Grosmannia clavigera	Ophiostoma piceae	K06961	KRR1; ribosomal RNA assembly protein	ribosomal rna assembly protein krr1	5	F:RNA binding; C:nucleolus; C:90S preribosome; C:small-subunit processome; P:endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	-	N	3	53	20	6	2	5	16	24
gene_101	0	0	204	Putative uncharacterized protein	 	Ophiostoma piceae			---NA---	0	-		N	0	0	0	0	0	0	0	0
gene_1010	9.16690164912587	0.911058580169249	410	GATA type zinc finger protein asd-4 (Ascus development protein 4)	Grosmannia clavigera	Ophiostoma piceae	K09184	GATAF; GATA-binding protein, other eukaryote	gata transcription factor	3	F:metal ion binding; P:transcription, DNA-dependent; F:DNA binding	-	N	20	17	9	21	0	0	9	17
gene_1011	12.3961676450701	0.349848050685529	476	Uncharacterized membrane protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_1569	1	P:mycelium development	-	N	33	34	13	11	0	16	12	9
gene_1012	8.98946581434868	-1.09399792050288	303	Putative uncharacterized protein	Grosmannia clavigera	Sporothrix schenckii			hypothetical protein CMQ_417	0	-		N	10	4	10	7	10	0	6	6
gene_1013	18.159452809361	-0.12765059450063	1 088	Cutinase transcription factor 1 alpha	Grosmannia clavigera	Ophiostoma piceae			cutinase transcription factor 1 alpha	2	P:transcription, DNA-dependent; F:binding	-	N	18	46	31	19	0	18	12	58
gene_1014	21.9619315934044	0.0595698943437587	213	Putative uncharacterized protein	Togninia minima	Ophiostoma piceae			hypothetical protein CMQ_1231	3	F:molecular_function; P:biological_process; C:cellular_component		N	13	72	47	23	2	8	24	52
gene_1015	16.9355391948191	0.705437477841767	1 176	Poly(A) RNA polymerase protein cid1	Grosmannia clavigera	Ophiostoma piceae			caffeine-induced death protein 1	1	F:nucleotidyltransferase activity		N	38	54	35	16	0	16	5	38
gene_1016	27.2906859787211	0.144836714891949	759	Transcription initiation factor IIF subunit alpha (TFIIF large subunit)	Grosmannia clavigera	Ophiostoma piceae	K03138	TFIIF1, GTF2F1, TFG1; transcription initiation factor TFIIF subunit alpha	transcription initiation factor iif subunit alpha	2	F:nucleic acid binding; P:transcription, DNA-dependent	-	N	38	46	65	32	10	16	2	70
gene_1017	7.64301176827537	0.284581809032596	534	Putative uncharacterized protein	Magnaporthe oryzae	Ophiostoma piceae			hypothetical protein MGG_01343	3	F:molecular_function; P:biological_process; C:cellular_component		N	2	28	16	11	4	0	8	0
gene_1018	3.46820507236916	2.02875848128974	274	Serine/threonine-protein kinase BUD32	Grosmannia clavigera	Ophiostoma piceae	K08851	TP53RK, PRPK, BUD32; TP53 regulating kinase [EC:2.7.11.1]	bud32 protein kinase	7	P:lipopolysaccharide biosynthetic process; P:protein phosphorylation; F:protein tyrosine kinase activity; F:ATP binding; P:transcription, DNA-dependent; C:chromosome; C:membrane	EC:2.7.10.0	N	10	15	18	2	0	2	0	1
gene_1019	9.72467318707405	0.125480007072951	413	Glutamate-cysteine ligase modifier subunit	Togninia minima	Ophiostoma piceae	K11205	GCLM; glutamate--cysteine ligase regulatory subunit	glutamate-cysteine ligase modifier subunit	3	F:ligase activity; P:biological_process; C:cellular_component		N	5	15	45	7	0	4	4	42
gene_102	46.0916258720842	-0.416775373069759	544	Amino-acid permease	Grosmannia clavigera	Ophiostoma piceae	K16261	YAT; yeast amino acid transporter	amino-acid permease inda1	3	C:integral to membrane; F:amino acid transmembrane transporter activity; P:amino acid transmembrane transport	-	N	90	90	86	12	8	64	12	138
gene_1020	2.27069888793068	0.804903391230107	155	AP-1 complex subunit sigma-1 (Sigma1-adaptin)	Trichoderma reesei	Ophiostoma piceae	K12394	AP1S1_2; AP-1 complex subunit sigma 1/2	mitogen-activated protein kinase maf1	3	P:protein transport; F:protein transporter activity; P:transport		N	7	10	7	0	0	2	0	5
gene_1020.1	14.9859705434791	-0.983331147834599	439	Mitogen-activated protein kinase maf1	Grosmannia clavigera	Ophiostoma piceae				4	F:kinase activity; P:negative regulation of transcription from RNA polymerase III promoter; P:phosphorylation; C:nucleus		N	12	16	16	14	10	12	10	22
gene_1021	10.8464823496039	0.73313858151848	987	Vacuolar fusion protein CCZ1 homolog	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_887	0	-		N	26	24	18	16	0	8	12	6
gene_1022	0	0	177	Expansin family protein	Grosmannia clavigera	Ophiostoma piceae			allergen asp f7	0	-		N	0	0	0	0	0	0	0	0
gene_1023	1.36446393953951	0.146366747647249	294	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			nicotinamide n-	3	F:methyltransferase activity; F:transferase activity; P:methylation		N	0	5	3	2	0	0	0	8
gene_1024	7.70033482952004	-1.0161071392815	1 389	Axial budding pattern protein 2 (Bud site selection protein 10)	Grosmannia clavigera	Ophiostoma piceae			transmembrane glycoprotein	1	F:catalytic activity	-	Y	6	20	8	2	0	18	8	14
gene_1025	1.93532923034526	0.37519118697742	417	Putative uncharacterized protein	 	Ophiostoma piceae			---NA---	0	-		N	0	7	10	1	0	0	0	10
gene_1026	116.370478828393	0.0241960700928341	827	Cell division control protein 48	Grosmannia clavigera	Ophiostoma piceae	K13525	VCP, CDC48; transitional endoplasmic reticulum ATPase	cell division control protein 48	4	F:nucleoside-triphosphatase activity; F:ATP binding; P:mycelium development; P:cell division	EC:3.6.1.15	N	174	243	236	112	42	87	60	173
gene_1027	1.26867651971171	1.29899485663819	165	Putative uncharacterized protein	Grosmannia clavigera	Grosmannia clavigera			hypothetical protein CMQ_549	0	-		N	0	0	13	2	0	0	0	2
gene_1028	42.524629748777	-0.0431687456739341	623	Protein phosphatase PP2A regulatory subunit A	Grosmannia clavigera	Ophiostoma piceae	K03456	PPP2R1; protein phosphatase 2 (formerly 2A), regulatory subunit A	protein phosphatase pp2a regulatory subunit a	2	P:biological_process; C:cellular_component		N	79	101	87	23	6	40	29	93
gene_1029	22.0464285310181	-0.167717277927878	1 004	Phosphoinositide 3-phosphatase (3.1.3.64)	Grosmannia clavigera	Ophiostoma piceae	K01104	E3.1.3.48; protein-tyrosine phosphatase [EC:3.1.3.48]	protein phosphatase	2	P:dephosphorylation; F:phosphatase activity	EC:3.1.3.0	N	56	30	36	12	6	38	10	16
gene_103	7.42896880507624	1.10257515789385	1 137	Putative uncharacterized protein	Scedosporium apiospermum	Scedosporium apiospermum			hypothetical protein NECHADRAFT_82115	0	-		N	26	11	12	12	0	0	0	28
gene_1030	4.27229557761776	-0.609053052312684	415	Diaminohydroxyphosphoribosylamino-pyrimidine deaminase (DRAP deaminase)	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_393	0	-		N	4	8	4	4	0	2	6	16
gene_1031	61.6689056376572	0.161532192280335	695	Long-chain-fatty-acid-CoA ligase 1 (Fatty acid activator 1)	Grosmannia clavigera	Ophiostoma piceae	K01897	ACSL, fadD; long-chain acyl-CoA synthetase [EC:6.2.1.3]	long-chain-fatty-acid- ligase 1	2	F:ligase activity; P:metabolic process	-	N	68	161	119	75	10	24	50	145
gene_1032	38.6337444718659	0.0116995785909732	190	Calcium-binding protein NCS-1	Togninia minima	Ophiostoma piceae			neuronal calcium sensor 1	5	C:Golgi membrane; F:enzyme activator activity; F:calcium ion binding; P:regulation of signal transduction; P:positive regulation of catalytic activity	-	N	60	59	62	51	15	38	16	44
gene_1033	6.91525090428364	0.505165468435332	920	Cell division control protein 45 homolog (Suppressor of nda4 protein)	Grosmannia clavigera	Ophiostoma piceae	K06628	CDC45; cell division control protein 45	cell division control protein	3	P:translational initiation; P:DNA-dependent DNA replication initiation; F:translation initiation factor activity	-	N	20	16	16	4	0	0	6	21
gene_1034	6.36072425598345	0.666607729696764	612	DNA replication initiation factor cdc45	Grosmannia clavigera	Ophiostoma piceae			dna replication initiation factor cdc45	6	P:translational initiation; P:DNA-dependent DNA replication initiation; F:translation initiation factor activity; F:molecular_function; P:biological_process; C:cellular_component		N	14	10	27	4	0	8	6	0
gene_1035	12.4090792042925	1.43097876523081	485	Ribose-phosphate diphosphokinase	Togninia minima	Ophiostoma piceae	K00948	PRPS, prsA; ribose-phosphate pyrophosphokinase [EC:2.7.6.1]	ribose-phosphate pyrophosphokinase 1	6	P:nucleotide biosynthetic process; F:kinase activity; P:phosphorylation; P:ribonucleoside monophosphate biosynthetic process; F:ribose phosphate diphosphokinase activity; F:magnesium ion binding	EC:2.7.6.1	N	20	54	27	21	0	11	2	14
gene_1036	7.93551963660791	0.574976257650658	378	Pre-mRNA-splicing factor CWC26	Grosmannia clavigera	Ophiostoma piceae	K13106	BUD13, CWC26; pre-mRNA-splicing factor CWC26	pre-mrna-splicing factor cwc26	2	P:mycelium development; C:intracellular part	-	N	24	18	20	4	2	2	4	14
gene_1037	12.4371842213751	0.233069601476423	195	Putative uncharacterized protein	Colletotrichum fioriniae	Ophiostoma piceae			4-carboxymuconolactone decarboxylase family protein	2	P:oxidation-reduction process; F:peroxiredoxin activity	EC:1.11.1.15	N	32	6	45	6	2	14	4	24
gene_1038	44.3431658308876	1.42022261155746	531	Uncharacterized transporter C1683.12	Togninia minima	Ophiostoma piceae			pantothenate transporter liz1	2	P:transmembrane transport; C:integral to membrane	-	N	134	105	174	31	4	16	9	75
gene_1039	6.58563843672079	-0.841614634560749	567	Amino acid permease	Grosmannia clavigera	Ophiostoma piceae			amino acid permease	3	C:integral to membrane; F:amino acid transmembrane transporter activity; P:amino acid transmembrane transport	-	N	16	6	4	2	2	9	6	12
gene_104	309.122961194613	0.553800130670051	148	Hypersensitive response-inducing protein	Eutypa lata	Ophiostoma ulmi			22kda glycoprotein	0	-		Y	688	1264	410	223	67	195	265	180
gene_1040	0	0	481	Putative uncharacterized protein	 	Ophiostoma piceae			hypothetical protein PCYB_083920	0	-		Y	0	0	0	0	0	0	0	0
gene_1041	18.0640723283323	-0.824656569366476	181	Protein orm1	Togninia minima	Ophiostoma piceae			protein orm1	4	C:integral to membrane; C:SPOTS complex; P:response to unfolded protein; P:negative regulation of sphingolipid biosynthetic process	-	N	26	21	30	8	14	20	2	22
gene_1042	23.0889811880546	0.147677051344703	717	Arginine methyltransferase-interacting ring finger protein	Grosmannia clavigera	Ophiostoma piceae			arginine methyltransferase-interacting ring finger protein	7	F:nucleic acid binding; F:methyltransferase activity; F:transferase activity; F:zinc ion binding; P:methylation; P:biological_process; C:cellular_component		N	42	50	44	22	2	16	10	73
gene_1043	19.1322504409258	-3.33205719374988	985	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_1727	3	F:molecular_function; P:biological_process; C:cellular_component		N	8	0	10	0	0	0	0	229
gene_1044	17.9488818085077	0.000814734629253511	1 289	Osmolarity two-component system protein sln1	Grosmannia clavigera	Ophiostoma piceae	K11231	SLN1; osomolarity two-component system, sensor histidine kinase SLN1 [EC:2.7.13.3]	histidine kinase group protein	9	F:two-component response regulator activity; P:two-component signal transduction system (phosphorelay); P:intracellular signal transduction; C:intracellular; P:regulation of transcription, DNA-dependent; P:signal transduction by phosphorylation; F:ATP binding; F:two-component sensor activity; C:membrane	-	N	19	38	48	16	8	8	8	32
gene_1045	1.50512993396558	-0.0474364062226167	629	Putative uncharacterized protein	 	Ophiostoma piceae			---NA---	0	-		N	0	6	2	2	0	1	0	8
gene_1046	12.2659656656991	0.0781501412652958	440	DUF124 domain containing protein	Grosmannia clavigera	Ophiostoma piceae			duf124 domain containing protein	0	-		N	6	29	18	22	0	12	12	24
gene_1047	4.52929173964255	0.357426272388632	277	Peptide alpha-n-acetyltransferase	Grosmannia clavigera	Ophiostoma piceae			peptide alpha-n-acetyltransferase	1	F:transferase activity		N	10	12	2	7	1	1	4	7
gene_1048	2.73744540701418	0.944632927998424	756	Asparagine amidase a	Grosmannia clavigera	Ophiostoma piceae			peptide-n4-(n-acetyl-beta-glucosaminyl)asparagine amidase a	3	F:molecular_function; P:biological_process; C:cellular_component		N	10	4	14	0	0	0	0	10
gene_1049	4.33352588836171	1.799050421079	528	Maltose permease MAL61	Fusarium oxysporum	Fusarium oxysporum			maltose permease mal61	7	F:transmembrane transporter activity; C:integral to membrane; C:membrane; P:transmembrane transport; P:transport; F:transporter activity; P:carbohydrate transport		N	8	19	4	12	0	0	2	4
gene_105	14.8229927056063	-0.426572169957922	1 202	Heat repeat protein	Grosmannia clavigera	Ophiostoma piceae			heat repeat protein	0	-		N	44	24	6	6	4	24	8	20
gene_1050	4.17613699793222	1.4243469752203	928	Alpha-rhamnosidase Eurofung	Fusarium oxysporum	Ophiostoma piceae			tpa: alpha-rhamnosidase	1	F:catalytic activity	-	N	8	22	22	0	0	6	0	0
gene_1051	110.998076799316	-1.60851448623937	287	Fumarylacetoacetate hydrolase domain-containing protein 2	Scedosporium apiospermum	Ophiostoma piceae	K01828	E5.3.3.-; unclassified metabolism	fumarylacetoacetate hydrolase	6	P:transcription, DNA-dependent; P:mycelium development; F:DNA binding; F:hydrolase activity; C:nucleus; F:zinc ion binding	-	N	92	115	74	60	12	321	100	139
gene_1052	14.4813842232946	-1.10160793481517	695	Copper amine oxidase 1	Togninia minima	Ophiostoma piceae	K00276	E1.4.3.21, AOC2, AOC3, tynA; primary-amine oxidase [EC:1.4.3.21]	copper amine oxidase 1	5	F:copper ion binding; P:oxidation-reduction process; F:quinone binding; F:primary amine oxidase activity; P:amine metabolic process	EC:1.4.3.21	N	19	8	24	6	14	16	4	4
gene_1053	1.8244974388676	2.21691883629566	616	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			c6 zinc finger domain containing protein	7	F:molecular_function; P:biological_process; C:cellular_component; P:transcription, DNA-dependent; F:zinc ion binding; C:nucleus; F:DNA binding		N	0	22	10	0	0	0	0	0
gene_1054	6.78239179870579	2.17059852711372	611	tRNA pseudouridine synthase	Grosmannia clavigera	Ophiostoma piceae	K06173	truA, PUS1; tRNA pseudouridine38-40 synthase [EC:5.4.99.12]	trna pseudouridine synthase	1	P:RNA modification	-	N	26	22	8	14	0	2	2	3
gene_1055	1.84400796723881	-0.481822168885272	932	Ankyrin repeat-containing protein	Trichomonas vaginalis	Ophiostoma piceae	K10380	ANK; ankyrin		0	-		N	0	8	4	0	0	0	2	10
gene_1055.1	3.12469425287253	0.790198389688297	339	Metacaspase	Grosmannia clavigera	Ophiostoma piceae			mca1_debha ame: full=metacaspase-1 flags: precursor	5	P:proteolysis; F:cysteine-type endopeptidase activity; F:RNA polymerase II transcription cofactor activity; C:mediator complex; P:regulation of transcription from RNA polymerase II promoter		N	8	11	0	6	0	0	0	13
gene_1056	7.89979310413768	-1.46653654427354	389	Fructosyl peptide oxidase (Octopine oxidase subunit B)	Grosmannia clavigera	Ophiostoma piceae			glycine d-amino acid deaminating	2	P:oxidation-reduction process; F:oxidoreductase activity		N	2	12	12	2	8	12	0	6
gene_1057	0	0	134	Putative uncharacterized protein	Eutypa lata	Ophiostoma piceae			hypothetical protein MAC_07925	0	-		N	0	0	0	0	0	0	0	0
gene_1058	0.209413317722281	-0.243310929257522	322	Arabinan endo-1,5-alpha-L-arabinosidase	Grosmannia clavigera	Ophiostoma piceae	K06113	abnA; arabinan endo-1,5-alpha-L-arabinosidase [EC:3.2.1.99]	extracellular endo- -alpha-l-	2	F:hydrolase activity, hydrolyzing O-glycosyl compounds; P:polysaccharide catabolic process	EC:3.2.1.0	Y	0	1	0	0	0	0	0	2
gene_1059	11.9007344343445	1.29030519464952	697	PdmS protein	Colletotrichum sublineola	Ophiostoma piceae			glycosyltransferase (n-glycosyltransferase) (n-glycosyl transferase ngt)	7	P:lipid glycosylation; F:transferase activity; P:metabolic process; P:carbohydrate metabolic process; P:antibiotic metabolic process; F:transferase activity, transferring hexosyl groups; F:transferase activity, transferring glycosyl groups		N	43	28	24	14	0	0	13	10
gene_106	6.59287281131317	0.430545573131243	316	DUF1749 domain containing protein	Grosmannia clavigera	Ophiostoma piceae			dolichol-phosphate mannosyltransferase	4	F:transferase activity; P:biological_process; F:transferase activity, transferring glycosyl groups; C:cellular_component		N	18	6	27	2	0	14	0	8
gene_1060	8.42056051773491	0.684409736034324	473	Serine/threonine-protein kinase RIO1	Grosmannia clavigera	Ophiostoma piceae	K07178	RIOK1; RIO kinase 1 [EC:2.7.11.1]	serine threonine-protein kinase rio1	1	F:kinase activity	-	N	9	16	29	13	0	14	2	8
gene_1061	0	0	482	Lipase 5	Chaetomium globosum	Ophiostoma piceae			lipase 1 precursor	4	P:lipid catabolic process; F:triglyceride lipase activity; F:hydrolase activity; F:retinyl-palmitate esterase activity		Y	0	0	0	0	0	0	0	0
gene_1062	0	0	99	FAD binding domain-containing protein	Magnaporthe oryzae	Sporothrix schenckii			fad binding domain-containing protein	6	P:oxidation-reduction process; F:oxidoreductase activity; F:UDP-N-acetylmuramate dehydrogenase activity; F:catalytic activity; F:oxidoreductase activity, acting on CH-OH group of donors; F:flavin adenine dinucleotide binding		N	0	0	0	0	0	0	0	0
gene_1063	12.8043861987287	-1.05295886134286	276	Extradiol ring-cleavage class 3 subunit b	Grosmannia clavigera	Ophiostoma piceae	K15777	DOPA; 4,5-DOPA dioxygenase extradiol [EC:1.13.11.-]	extradiol ring-cleavage class 3 subunit b	4	F:ferrous iron binding; P:cellular aromatic compound metabolic process; P:oxidation-reduction process; F:oxidoreductase activity, acting on single donors with incorporation of molecular oxygen	-	N	17	25	10	4	0	36	8	24
gene_1064	93.2583284525725	-0.887888265479398	451	6-hydroxynicotinate 3-monooxygenase	Pestalotiopsis fici	Ophiostoma piceae			salicylate hydroxylase	2	P:metabolic process; F:oxidoreductase activity	-	N	99	254	85	36	2	145	123	187
gene_1065	106.468495799589	-0.828379245663952	557	Cycloheximide resistance protein	Pestalotiopsis fici	Ophiostoma piceae			cycloheximide resistance	1	P:cellular process	-	N	61	290	88	84	0	198	115	213
gene_1066	4.75987452303614	-2.11698384948047	333	Putative uncharacterized protein	 	Ophiostoma piceae			---NA---	0	-		N	0	6	4	0	6	4	4	0
gene_1067	1.87911240377677	-2.25042343508396	374	Kinase activator protein	Grosmannia clavigera	Ophiostoma piceae			kinase activator protein	3	F:kinase activity; P:autophagy; P:phosphorylation		N	0	0	0	0	4	0	0	0
gene_1068	13.5447822657072	0.563684008220676	366	Ribosomal large subunit biogenesis protein	Grosmannia clavigera	Ophiostoma piceae	K14831	MAK16; protein MAK16	ribosomal large subunit biogenesis protein	3	C:nucleolus; P:ribosomal large subunit biogenesis; P:rRNA processing	-	N	6	60	32	17	0	16	0	38
gene_1069	23.0517541856429	0.726286010154928	358	1-aminocyclopropane-1-carboxylate deaminase	Togninia minima	Ophiostoma piceae	K01505	E3.5.99.7; 1-aminocyclopropane-1-carboxylate deaminase [EC:3.5.99.7]	1-aminocyclopropane-1-carboxylate deaminase	8	P:amine catabolic process; F:1-aminocyclopropane-1-carboxylate deaminase activity; P:regulation of transcription from RNA polymerase II promoter; F:zinc ion binding; F:sequence-specific DNA binding RNA polymerase II transcription factor activity; F:DNA binding; F:pyridoxal phosphate binding; C:nucleus	EC:3.5.99.7	N	50	39	22	48	4	10	8	47
gene_107	1.41929491110009	0.987340122863898	263	Sterol isomerase	Grosmannia clavigera	Ophiostoma piceae	K01824	EBP; cholestenol delta-isomerase [EC:5.3.3.5]	ebp domain containing protein	5	C:integral to membrane; C:endoplasmic reticulum; P:sterol metabolic process; F:cholestenol delta-isomerase activity; F:isomerase activity		N	0	8	4	3	0	0	0	4
gene_1070	37.3588990283047	-1.00504424600547	849	Protein phosphatase regulatory subunit	Grosmannia clavigera	Ophiostoma piceae	K07189	PPP1R3; protein phosphatase 1, regulatory (inhibitor) subunit 3	carbohydrate-binding module family 21 protein	0	-		N	22	57	31	38	14	37	26	103
gene_1071	0	0	42	Putative uncharacterized protein	 				---NA---	0	-		N	0	0	0	0	0	0	0	0
gene_1072	1.48276195972158	-0.222083042498598	327	Putative uncharacterized protein	 	Ophiostoma piceae			---NA---	0	-		Y	0	12	0	0	0	4	0	3
gene_1073	4.862116330476	-0.154301922755897	609	Autophagy-related protein 17	Grosmannia clavigera	Ophiostoma piceae	K08329	ATG17; autophagy-related protein 17	kinase activator	1	P:cellular metabolic process	-	N	8	13	14	0	0	4	8	6
gene_1074	13.2223190795098	-0.00972335762542366	292	Carbohydrate esterase family 1 protein 	Pestalotiopsis fici	Sporothrix schenckii			probable acetylxylan esterase	5	C:extracellular region; F:hydrolase activity, hydrolyzing O-glycosyl compounds; F:polysaccharide binding; F:carbohydrate binding; P:carbohydrate metabolic process		Y	28	26	22	10	4	0	14	27
gene_1075	14.0508750001591	0.39207538996864	395	Cyclin-dependent protein kinase complex component	Grosmannia clavigera	Ophiostoma piceae			cyclin-dependent protein kinase complex component	4	F:protein kinase binding; F:kinase activity; P:phosphorylation; P:regulation of cyclin-dependent protein kinase activity		N	34	22	16	21	2	24	6	4
gene_1076	28.4669275551361	-0.0136535946784625	477	Prolidase	Grosmannia clavigera	Ophiostoma piceae	K14213	PEPD; Xaa-Pro dipeptidase [EC:3.4.13.9]	xaa-pro dipeptidase	6	P:cellular process; F:metallopeptidase activity; P:mycelium development; P:proteolysis; F:manganese ion binding; F:aminopeptidase activity	EC:3.4.11.0	N	32	63	82	20	8	28	12	52
gene_1077	0	0	534	Pisatin demethylase (CYP5077C1)	Podospora anserina	Ophiostoma piceae	K07436	CYP24A1; cytochrome P450, family 24, subfamily A, polypeptide 1 (vitamin D3 24-hydroxylase) [EC:1.14.13.126]	benzoate 4-monooxygenase cytochrome	2	F:oxidoreductase activity; F:binding	-	N	0	0	0	0	0	0	0	0
gene_1078	4.78111204146571	-0.512490012877031	2 206	Conidial yellow pigment biosynthesis polyketide synthase (PKS)	Podospora anserina	Ophiostoma piceae			polyketide synthase	1	F:catalytic activity	-	N	8	15	4	1	0	0	12	8
gene_1079	3.84655540516657	0.656472944357838	902	C6 zinc finger fungal transcription factor	Neurospora tetrasperma	Ophiostoma piceae			c6 zinc finger domain containing protein	9	P:transcription from RNA polymerase II promoter; F:DNA binding; C:nucleus; F:zinc ion binding; P:regulation of transcription from RNA polymerase II promoter; F:sequence-specific DNA binding RNA polymerase II transcription factor activity; P:regulation of transcription, DNA-dependent; F:metal ion binding; P:transcription, DNA-dependent		N	2	22	2	7	0	4	0	10
gene_108	7.16181719827378	-0.985352573726747	587	Putative C6 transcription factor	Grosmannia clavigera	Ophiostoma piceae	K09242	LEU3; transcriptional regulatory protein LEU3		9	P:transcription, DNA-dependent; F:zinc ion binding; C:nucleus; F:DNA binding; P:transcription from RNA polymerase II promoter; P:regulation of transcription from RNA polymerase II promoter; F:sequence-specific DNA binding RNA polymerase II transcription factor activity; P:regulation of transcription, DNA-dependent; F:metal ion binding		N	3	15	14	2	2	7	6	23
gene_108.1	15.4354774275017	-0.190130649130974	306	Pre-mRNA-splicing factor cwc15	Botrytis cinerea	Ophiostoma piceae			c6 transcription factor	4	P:transcription, DNA-dependent; F:DNA binding; C:nucleus; F:zinc ion binding		N	21	10	32	20	0	14	16	40
gene_1080	0	0	449	Riboflavin transporter MCH5	Talaromyces marneffei	Ophiostoma piceae			mfs monocarboxylate transporter	2	P:transmembrane transport; C:integral to membrane	-	N	0	0	0	0	0	0	0	0
gene_1081	29.6750407874591	0.274725103813155	245	Microtubule integrity protein mal3	Togninia minima	Ophiostoma piceae	K10436	MAPRE; microtubule-associated protein, RP/EB family	microtubule associated protein	1	F:microtubule binding	-	N	63	53	87	18	10	36	11	15
