Gene_ID	Level	logFC	Size..aa.	Final.Description	X.1st.BLASTp.hit...if.blank..see.next.column.	X.1st.BLASTp.hit...blank.are.real.orphans..	KO.	Name.KEGG	Annotation	X.GO.Terms	GO.Terms	Enzyme.Code	SignalP	A_T1_Rep1	A_T1_Rep2	A_T1_Rep3	A_T1_Rep4	A_T2_Rep1	A_T2_Rep2	A_T2_Rep3	A_T2_Rep4
gene_3427	44.9793528259632	-3.31260726675967	450	Histidinol dehydrogenase 2	Grosmannia clavigera	Ophiostoma piceae	K00013	hisD; histidinol dehydrogenase [EC:1.1.1.23]	histidinol dehydrogenase	5	F:histidinol dehydrogenase activity; F:NAD binding; P:histidine biosynthetic process; F:zinc ion binding; P:oxidation-reduction process	EC:1.1.1.23	N	17	24	2	6	58	28	32	48
gene_3440	42.7183015191823	-2.46516049327003	407	Glycoside hydrolase family 18 protein	Pestalotiopsis fici	Pestalotiopsis fici			glycoside hydrolase family 18 protein	5	F:hydrolase activity, hydrolyzing O-glycosyl compounds; F:hydrolase activity; P:carbohydrate metabolic process; F:cation binding; F:catalytic activity		Y	40	18	20	4	25	137	20	4
gene_3445	2.78373070850831	-2.32906990869349	597	DNA photolyase	Trichoderma virens	Ophiostoma piceae	K01669	E4.1.99.3, phrB; deoxyribodipyrimidine photo-lyase [EC:4.1.99.3]	dna photolyase	2	P:DNA repair; F:DNA photolyase activity	-	N	0	0	2	0	0	0	14	0
gene_3496	5.56907825830092	-2.09473274761113	830	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			phosphotransferase-like protein	2	F:transferase activity, transferring phosphorus-containing groups; F:transferase activity		N	3	2	6	0	0	0	0	62
gene_3503	52.3050838063458	-2.36891385601697	137	Putative uncharacterized protein	Gaeumannomyces graminis	Sporothrix schenckii			hypothetical protein GGTG_05480	0	-		N	39	11	40	12	12	119	17	223
gene_3547	3.19167915040055	-2.23191691621413	308	Acyl-protein thioesterase 1	Fusarium pseudograminearum	Sporothrix schenckii			acyl-protein thioesterase	1	P:transcription, DNA-dependent	-	N	0	2	2	0	0	0	0	38
gene_3552	13.7132496166614	-2.0747413765105	491	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_6379	2	P:biological_process; C:cellular_component		N	0	8	12	8	6	38	8	17
gene_3607	10.9436043181592	-3.19963585853248	322	Putative uncharacterized protein	Fusarium oxysporum	Ophiostoma piceae			hypothetical protein FOXB_14697	1	F:nucleotide binding		N	4	5	1	0	1	0	0	126
gene_3679	3.19814383081249	-2.88680133614412	413	FAD dependent oxidoreductase	Colletotrichum graminicola	Ophiostoma piceae			fad dependent oxidoreductase	2	; F:catalytic activity	-	N	0	0	0	0	6	2	0	1
gene_3761	2.44610518538977	-2.0518762458186	346	Glutathione S-transferase omega-like 2	Metarhizium acridum	Sporothrix schenckii			hypothetical protein MAC_04496	0	-		N	2	0	0	0	0	4	8	2
gene_379	9.18544917774163	-2.4552875717689	450	Estradiol 17-beta-dehydrogenase 1	Fusarium verticillioides	Ophiostoma piceae			short chain dehydrogenase reductase	5	P:oxidation-reduction process; F:oxidoreductase activity; P:metabolic process; F:nucleotide binding; C:cellular_component		N	0	8	10	0	0	34	10	14
gene_3856	8.91867721484894	-2.20187992403017	241	MDS1 and EVI1 complex locus protein EVI1 (Ecotropic virus integration site 1 protein)	Sordaria macrospora	Ophiostoma piceae			zinc finger	3	F:nucleic acid binding; F:zinc ion binding; C:intracellular		N	2	5	13	0	0	30	14	6
gene_387	90.9481340516934	-2.10440675748969	668	6-hydroxy-D-nicotine oxidase (6-HDNO)	Grosmannia clavigera	Ophiostoma piceae			restculine oxidase precursor	1	F:oxidoreductase activity, acting on CH-OH group of donors	-	Y	71	76	35	32	50	216	77	44
gene_3875	5.84558810648549	-3.66575387864346	461	Phosphatidylglycerol specific phospholipase	Grosmannia clavigera	Ophiostoma piceae	K01114	plcC; phospholipase C [EC:3.1.4.3]	phosphoesterase superfamily protein	2	P:metabolic process; F:phosphatidylcholine phospholipase C activity	EC:3.1.4.3	Y	0	0	0	0	10	2	2	6
gene_3928	47.6560713852302	-5.52304941904215	90	Putative uncharacterized protein	Magnaporthe grisea	Ophiostoma piceae			hypothetical protein MGG_16792	0	-		N	2	3	1	1	88	27	9	0
gene_3929	10.736756504813	-2.88774254404936	585	Vegetative incompatibility protein Het-E	Galerina marginata	Ophiostoma piceae			ankyrin repeat-containing	0	-		N	2	4	8	0	12	10	6	20
gene_393	4.99252989384567	-2.99082880399798	858	GPI anchored peptidase m48	Grosmannia clavigera	Ophiostoma piceae			glycoside hydrolase family 16 protein	9	F:hydrolase activity, hydrolyzing O-glycosyl compounds; P:proteolysis; P:carbohydrate metabolic process; C:membrane; F:metalloendopeptidase activity; F:hydrolase activity; F:molecular_function; P:biological_process; C:cellular_component		Y	2	0	0	0	0	0	0	62
gene_3982	3.01686168484709	-2.81428859612071	221	Putative uncharacterized protein	Nectria haematococca	Nectria haematococca			hypothetical protein NECHADRAFT_90611	0	-		Y	0	0	0	0	0	20	0	0
gene_3983	21.6724157509558	-2.5329526952738	576	Zinc/iron transporter protein	Dactylellina haptotyla	Dactylellina haptotyla	K14709	SLC39A1_2_3, ZIP1_2_3; solute carrier family 39 (zinc transporter), member 1/2/3	zinc iron transporter protein	4	C:membrane; P:transmembrane transport; P:metal ion transport; F:metal ion transmembrane transporter activity		Y	14	6	12	4	10	81	6	10
gene_406	26.6642810996555	-2.15598375782154	337	Mitochondrial dicarboxylate carrier protein	Colletotrichum orbiculare	Ophiostoma piceae	K15104	SLC25A11, OGC; solute carrier family 25 (mitochondrial oxoglutarate transporter), member 11	mitochondrial dicarboxylate carrier protein	5	P:transmembrane transport; F:damaged DNA binding; C:integral to membrane; P:nucleotide-excision repair; C:nucleus	-	N	16	25	16	6	10	67	29	23
gene_4122	11.541862894711	-4.58998669139225	404	Acid phosphatase phoa	Togninia minima	Ophiostoma piceae	K01078	E3.1.3.2; acid phosphatase [EC:3.1.3.2]	acid phosphatase	2	F:hydrolase activity, acting on ester bonds; P:metabolic process	-	Y	0	0	0	0	22	8	0	0
gene_4125	5.59760962185982	-2.49739894539084	532	Histidine phosphatase	Grosmannia clavigera	Ophiostoma piceae			histidine phosphatase	1	F:acid phosphatase activity	EC:3.1.3.2	Y	2	6	0	0	6	10	0	10
gene_429	4.54870421630964	-2.86522433129591	209	Sedlin	Grosmannia clavigera	Ophiostoma piceae			sedlin	1	P:transport	-	N	2	0	0	0	0	26	2	1
gene_4392	7.14028475330933	-2.84211086437266	441	Tetracycline resistance protein from transposon Tn4351/Tn4400	Togninia minima	Ophiostoma piceae			tetracycline resistance protein from transposon	3	P:oxidation-reduction process; F:oxidoreductase activity; P:metabolic process		N	0	4	0	2	0	14	12	29
gene_4414	19.4303061940415	-2.98965095289791	476	Coproporphyrinogen 3 oxidase	Grosmannia clavigera	Ophiostoma piceae	K00228	hemF, CPOX; coproporphyrinogen III oxidase [EC:1.3.3.3]	coproporphyrinogen iii oxidase	4	P:porphyrin-containing compound biosynthetic process; P:mycelium development; F:coproporphyrinogen oxidase activity; P:oxidation-reduction process	EC:1.3.3.3	N	7	10	8	1	34	4	4	4
gene_4430	43.1410854646817	-2.73221932718869	344	NAD dependent epimerase	Grosmannia clavigera	Ophiostoma piceae			nad dependent epimerase dehydratase	1	F:binding	-	N	20	8	36	6	4	40	7	368
gene_4506	28.5586389877756	-2.74469787239863	299	Putative uncharacterized protein	Pestalotiopsis fici	Ophiostoma piceae			rta1 like partial	2	P:response to stress; C:integral to membrane		N	12	17	0	10	13	77	26	33
gene_460	3.31449465403641	-2.1404916479935	71	RNA polymerase 2 general transcription and DNA repair factor tfiih component	Grosmannia clavigera	Sporothrix schenckii	K10845	TTDA, GTF2H5, TFB5; TFIIH basal transcription factor complex TTD-A subunit	rna polymerase ii transcription factor b subunit 5	4	F:DNA binding; P:nucleotide-excision repair; C:nucleus; P:regulation of transcription, DNA-dependent	-	N	2	0	2	0	0	20	0	0
gene_4612	20.0211482009171	-2.97884406557449	684	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_3242	0	-		N	2	8	11	4	0	0	10	209
gene_4646	7.19296673767134	-2.15316382916322	1 054	Sodium/potassium-transporting ATPase subunit alpha-A 	Colletotrichum gloeosporioides	Ophiostoma piceae	K01539	ATP1A; sodium/potassium-transporting ATPase subunit alpha [EC:3.6.3.9]	k antiporter p-type atpase	5	P:ion transport; F:hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances; F:nucleotide binding; P:metabolic process; C:membrane	EC:3.6.3.0	N	0	2	14	0	0	36	4	0
gene_4676	1.55578113325257	-2.03968667757704	304	Putative alpha/beta hydrolase R526	Cladophialophora psammophila	Ophiostoma piceae	K01066	E3.1.1.-; esterase / lipase [EC:3.1.1.-]	arylesterase monoxygenase	2	F:hydrolase activity; P:metabolic process		N	0	0	0	0	0	0	0	20
gene_4703	7.43742675037056	-3.68760646718729	557	3-phytase A	Pestalotiopsis fici	Ophiostoma piceae			acid phosphatase	2	P:dephosphorylation; F:acid phosphatase activity	EC:3.1.3.2	Y	0	2	0	0	12	4	0	14
gene_4727	7.12892779231318	-2.46774295055292	287	Nucleoside-diphosphate-sugar epimerase	Grosmannia clavigera	Ophiostoma piceae			nucleoside-diphosphate-sugar epimerase	1	F:nucleotide binding		Y	6	2	2	0	0	6	1	68
gene_4739	60.1945905061152	-3.69543888927471	638	Flavin-containing monooxygenase	Aspergillus kawachii	Ophiostoma piceae	K11816	YUCCA; YUCCA family monooxygenase [EC:1.14.13.-]	flavin-containing monooxygenase	4	F:flavin adenine dinucleotide binding; F:N,N-dimethylaniline monooxygenase activity; P:oxidation-reduction process; F:NADP binding	EC:1.14.13.8	N	0	18	28	8	90	38	38	14
gene_4838	20.7323656679715	-4.97523291443014	523	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_7843	0	-		N	2	0	0	0	33	26	6	0
gene_4886	37.3438730479999	-2.15368180915211	665	Amidase 1 (AtAMI1)	Togninia minima	Ophiostoma piceae			glutamyl-trna amidotransferase	1	F:catalytic activity	-	Y	41	16	8	12	4	150	16	42
gene_4986	7.84659096190664	-3.36851023422919	602	N amino acid transport system protein (Methyltryptophan resistance protein)	Byssochlamys spectabilis	Ophiostoma piceae			amino acid	1	C:integral to membrane	-	N	0	0	0	2	6	12	4	28
gene_5045	5.69113645357062	-2.2286845299351	420	Acyl-CoA dehydrogenase	Aureobasidium pullulans	Ophiostoma piceae	K00257	E1.3.99.-; gene involved in geraniol degradation	acyl- dehydrogenase	2	P:metabolic process; F:oxidoreductase activity, acting on the CH-CH group of donors	-	N	0	9	3	0	2	0	10	28
